EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.010000,Normal,9.51,9.510000,,,14511955412201165739,null,0,1,0
2,20,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,11945279991478774412,null,0,1,0
3,30,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,9079230601133310635,null,0,1,0
4,40,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,9390305422890177215,null,0,1,0
5,50,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,11616210251671324067,null,0,1,0
6,60,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,3671484680834873195,null,0,1,0
7,70,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,8931243509176273875,null,0,1,0
8,70,0.260000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,1691880805387439223,null,0,1,0
9,80,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,5393968636055619543,null,0,1,0
10,90,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,17865316840812112452,null,0,1,0
11,100,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,9216522901356812838,null,0,1,0
12,110,10.010000,Normal,9.13,9.130000,,,12866738854345733094,null,0,1,0
13,120,10.010000,Normal,9.38,9.380000,,,4165447816007687178,null,0,1,0
14,130,10.010000,Normal,7.49,7.490000,,,10537256547840798108,null,0,1,0
15,140,10.010000,Normal,6.49,6.490000,,,5475335784905711567,null,0,1,0
16,150,10.010000,Normal,6.49,6.490000,,,4669059353925473342,null,0,1,0
17,160,10.010000,Normal,11.38,11.380000,,,12691149486175976950,null,0,1,0
18,170,10.010000,Normal,6.49,6.490000,,,6172594062640120105,null,0,1,0
19,180,10.010000,Normal,12.02,12.020000,,,9632145986414072412,null,0,1,0
20,190,10.010000,Normal,8.75,8.750000,,,8691480935827360938,null,0,1,0
21,200,10.010000,Normal,6.49,6.490000,,,18190718390629630586,null,0,1,0
22,210,10.010000,Normal,6.49,6.490000,,,10423600938928880954,null,0,1,0
23,220,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,9416901504996764129,null,0,1,0
24,230,10.010000,Normal,11.38,11.380000,,,15817693708877889170,null,0,1,0
25,240,10.010000,Normal,5.49,5.490000,,,3340771109115830539,null,0,1,0
26,250,10.010000,Normal,5.49,5.490000,,,5802739027383557947,null,0,1,0
27,260,10.010000,Normal,5.49,5.490000,,,10681646398779936050,null,0,1,0
28,270,10.010000,Normal,6.49,6.490000,,,3250595138696356459,null,0,1,0
29,280,10.010000,Normal,5.49,5.490000,,,1989470451804117524,null,0,1,0
30,290,10.010000,Normal,10.17,10.170000,,,8989781999865594883,null,0,1,0
31,300,10.010000,Normal,5.49,5.490000,,,2369084395646729163,null,0,1,0
32,310,10.010000,Normal,5.49,5.490000,,,223803250671898932,null,0,1,0
33,320,10.010000,Normal,5.49,5.490000,,,6039380397968960011,null,0,1,0
34,330,10.010000,Normal,7.98,7.980000,,,13617621006367307375,null,0,1,0
35,340,10.010000,Normal,5.49,5.490000,,,9388903245133642714,null,0,1,0
36,350,10.010000,Normal,5.49,5.490000,,,16966712497284244737,null,0,1,0
37,360,10.010000,Normal,5.49,5.490000,,,1700794363705978159,null,0,1,0
38,370,10.010000,Normal,8.57,8.570000,,,16946715743623655963,null,0,1,0
39,380,10.010000,Normal,6.49,6.490000,,,12739692660963589471,null,0,1,0
40,390,10.010000,Normal,5.49,5.490000,,,177287590528099931,null,0,1,0
41,400,10.010000,Normal,8.72,8.720000,,,8197249855581512510,null,0,1,0
42,410,10.010000,Normal,10.36,10.360000,,,10414769672214584325,null,0,1,0
43,420,10.010000,Normal,5.06,5.060000,,,1825349419556272901,null,0,1,0
44,430,10.010000,Normal,5.06,5.060000,,,16258198986309487580,null,0,1,0
45,440,10.010000,Normal,5.06,5.060000,,,10183487874077368355,null,0,1,0
46,450,10.010000,Normal,5.06,5.060000,,,7986649813593300766,null,0,1,0
47,460,10.010000,Normal,5.06,5.060000,,,17568706320337618682,null,0,1,0
48,470,10.010000,Normal,4.98,4.980000,,,5075276284594894725,null,0,1,0
49,480,10.010000,Normal,4.98,4.980000,,,10696690813464650676,null,0,1,0
50,490,10.010000,Normal,4.98,4.980000,,,4652839675955630307,null,0,1,0
51,500,10.010000,Normal,3.37,3.370000,,,13783049327094762953,null,0,1,0
52,510,10.010000,Normal,3.37,3.370000,,,323202407027744402,null,0,1,0
53,520,10.010000,Normal,2.43,2.430000,,,12887279907154425326,null,0,1,0
54,530,10.010000,Normal,2.43,2.430000,,,18183284645956892575,null,0,1,0
55,540,10.010000,Normal,2.43,2.430000,,,15938233033963379461,null,0,1,0
56,550,10.010000,Normal,7.39,7.390000,,,8919297485162618192,null,0,1,0
57,560,10.010000,Normal,2.43,2.430000,,,15369231872351846726,null,0,1,0
58,570,10.010000,Normal,2.43,2.430000,,,6450580703669497636,null,0,1,0
59,580,10.010000,Normal,2.33,2.330000,,,10186963217985059218,null,0,1,0
60,590,10.010000,Normal,2.33,2.330000,,,11306927019049386575,null,0,1,0
61,600,10.010000,Normal,2.41,2.410000,,,14686620035087523232,null,0,1,0
62,610,10.010000,Normal,2.41,2.410000,,,17506953816451437041,null,0,1,0
63,620,10.010000,Normal,2.33,2.330000,,,14856935483067126633,null,0,1,0
64,630,10.010000,Normal,2.41,2.410000,,,4693464402568027188,null,0,1,0
65,640,10.010000,Normal,11.94,11.940000,,,3005668019734503041,null,0,1,0
66,650,10.010000,Normal,3.25,3.250000,,,7321572977283991425,null,0,1,0
