EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.010000,Normal,28.57,28.570000,,,14511955412201165739,null,0,1,0
2,20,10.090000,Normal,78.36,78.360000,,,14076583716494957645,null,0,1,0
3,30,10.150000,Normal,71.16,71.160000,,,10450704365361391369,null,0,1,0
4,36,5.840000,Normal,81.27,81.270000,,,6881841439520406202,null,0,1,0
5,46,10.010000,Normal,25.88,25.880000,,,18018753352663905893,null,0,1,0
6,49,3.480000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,17438570941304673848,null,0,1,0
7,59,10.020000,Normal,80.11,80.110000,,,965262532871074048,null,0,1,0
8,69,10.030000,Normal,74.67,74.670000,,,8988888992911718495,null,0,1,0
9,78,9.190000,Normal,79.39,79.390000,,,10304580964402719926,null,0,1,0
10,88,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,13467434465423665619,null,0,1,0
11,98,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,18351012814133938731,null,0,1,0
12,108,10.010000,Normal,25.88,25.880000,,,7372721626754475855,null,0,1,0
13,118,10.010000,Normal,81.03,81.030000,,,8561131237178704508,null,0,1,0
14,128,10.010000,Normal,25.88,25.880000,,,3493665312198274040,null,0,1,0
15,138,10.010000,Normal,25.88,25.880000,,,11314562548740112144,null,0,1,0
16,148,10.090000,Normal,77.05,77.050000,,,2416451085612200815,null,0,1,0
17,158,10.010000,Normal,78.73,78.730000,,,8403175739271427626,null,0,1,0
18,168,10.010000,Normal,25.88,25.880000,,,15964928433590156766,null,0,1,0
19,178,10.010000,Normal,25.88,25.880000,,,9377303339878326809,null,0,1,0
20,188,10.010000,Normal,25.88,25.880000,,,13556580842322153035,null,0,1,0
21,199,10.010000,Normal,25.88,25.880000,,,16970712651037723601,null,0,1,0
22,209,10.010000,Normal,78.84,78.840000,,,2760220358080658308,null,0,1,0
23,219,10.010000,Normal,74.4,74.400000,,,10694101432272188158,null,0,1,0
24,229,10.010000,Normal,77.31,77.310000,,,1735845140309920685,null,0,1,0
25,239,10.010000,Normal,25.88,25.880000,,,15731417304083568413,null,0,1,0
26,249,10.010000,Normal,78.73,78.730000,,,14795901217272103149,null,0,1,0
27,259,10.010000,Normal,25.83,25.830000,,,13369542006413211747,null,0,1,0
28,269,10.010000,Normal,74.82,74.820000,,,596573397529937594,null,0,1,0
29,279,10.010000,Normal,25.83,25.830000,,,9372971136744792356,null,0,1,0
30,289,10.010000,Normal,25.83,25.830000,,,16791927079677324425,null,0,1,0
31,299,10.010000,Normal,25.83,25.830000,,,9475927557202295803,null,0,1,0
32,309,10.010000,Normal,25.83,25.830000,,,12173029271088198747,null,0,1,0
33,319,10.010000,Normal,29.58,29.580000,,,2769821071606205753,null,0,1,0
34,329,10.010000,Normal,25.83,25.830000,,,7975690637498929244,null,0,1,0
35,339,10.010000,Normal,37.95,37.950000,,,18331816227034784651,null,0,1,0
36,349,10.010000,Normal,75.18,75.180000,,,4942199481870117568,null,0,1,0
37,359,10.010000,Normal,75.85,75.850000,,,4829471922053063005,null,0,1,0
38,369,10.010000,Normal,78.66,78.660000,,,4419674930384863779,null,0,1,0
39,379,10.010000,Normal,25.83,25.830000,,,13672116905612953473,null,0,1,0
40,389,10.010000,Normal,32.9,32.900000,,,209682786768170025,null,0,1,0
41,399,10.000000,Normal,25.83,25.830000,,,14667874567906725226,null,0,1,0
42,409,10.010000,Normal,30.47,30.470000,,,6446001958317763360,null,0,1,0
43,419,10.010000,Normal,77.81,77.810000,,,5047720154560887293,null,0,1,0
44,429,10.010000,Normal,40.98,40.980000,,,13619832564747857173,null,0,1,0
45,439,10.010000,Normal,25.83,25.830000,,,7294670651920028304,null,0,1,0
46,449,10.010000,Normal,25.86,25.860000,,,7039907563413171389,null,0,1,0
47,459,10.010000,Normal,78.6,78.600000,,,8112213667443202393,null,0,1,0
48,469,10.010000,Normal,25.83,25.830000,,,9559973298396077942,null,0,1,0
49,479,10.010000,Normal,25.83,25.830000,,,13091824925177926516,null,0,1,0
50,489,10.010000,Normal,78.05,78.050000,,,15319629638131130859,null,0,1,0
51,499,10.010000,Normal,25.83,25.830000,,,2302008878363185805,null,0,1,0
52,509,10.010000,Normal,39.2,39.200000,,,1757407930910233515,null,0,1,0
53,519,10.010000,Normal,25.83,25.830000,,,6778656414120120865,null,0,1,0
54,529,10.020000,Normal,29.53,29.530000,,,3146440404920680650,null,0,1,0
55,539,10.010000,Normal,32.91,32.910000,,,4274121664306722765,null,0,1,0
56,549,10.010000,Normal,40.27,40.270000,,,10767701034717599390,null,0,1,0
57,559,10.010000,Normal,25.83,25.830000,,,3339956025966618880,null,0,1,0
58,569,10.010000,Normal,38.71,38.710000,,,1968115706866879591,null,0,1,0
59,579,10.010000,Normal,25.83,25.830000,,,17263216662793833368,null,0,1,0
60,589,10.010000,Normal,25.83,25.830000,,,11632088999873562316,null,0,1,0
61,599,10.010000,Normal,76.52,76.520000,,,14944464458245972210,null,0,1,0
62,609,10.010000,Normal,25.83,25.830000,,,695917412709082019,null,0,1,0
63,619,10.010000,Normal,25.83,25.830000,,,12028955316675830081,null,0,1,0
64,629,10.010000,Normal,77.81,77.810000,,,6776846909899423304,null,0,1,0
65,639,10.010000,Normal,19.94,19.940000,,,8711691355014864149,null,0,1,0
66,649,10.010000,Normal,19.94,19.940000,,,4772664901564412891,null,0,1,0
67,659,10.010000,Normal,15.23,15.230000,,,14191487849724966354,null,0,1,0
68,669,10.010000,Normal,15.23,15.230000,,,7338289511338502900,null,0,1,0
69,679,10.010000,Normal,15.23,15.230000,,,3888557867553134369,null,0,1,0
70,689,10.010000,Normal,21.31,21.310000,,,3450753389612065331,null,0,1,0
71,699,10.010000,Normal,15.22,15.220000,,,16258549507569447633,null,0,1,0
72,709,10.010000,Normal,15.23,15.230000,,,3981361436521487073,null,0,1,0
73,719,10.010000,Normal,15.23,15.230000,,,2087306872990515804,null,0,1,0
74,729,10.010000,Normal,15.23,15.230000,,,1928711604721341268,null,0,1,0
75,739,10.010000,Normal,15.22,15.220000,,,11175179189323966702,null,0,1,0
76,749,10.010000,Normal,15.23,15.230000,,,12657398088687577522,null,0,1,0
77,759,10.010000,Normal,15.23,15.230000,,,7618246284663729942,null,0,1,0
78,769,10.010000,Normal,39.95,39.950000,,,16600369185702649007,null,0,1,0
79,779,10.010000,Normal,24.2,24.200000,,,1979582334631231739,null,0,1,0
80,789,10.020000,Normal,27.98,27.980000,,,8744457243336781214,null,0,1,0
81,799,10.010000,Normal,76.63,76.630000,,,5619637506659645601,null,0,1,0
82,809,10.010000,Normal,15.22,15.220000,,,7234478796419191259,null,0,1,0
83,819,10.010000,Normal,25.89,25.890000,,,9311046691620130164,null,0,1,0
84,829,10.030000,Normal,39.95,39.950000,,,409680934919488692,null,0,1,0
85,839,10.010000,Normal,21.5,21.500000,,,4706577875032952290,null,0,1,0
86,849,10.010000,Normal,15.23,15.230000,,,12667224985103569236,null,0,1,0
87,859,10.010000,Normal,15.23,15.230000,,,11759345346984825385,null,0,1,0
88,869,10.010000,Normal,15.23,15.230000,,,7448972700375486605,null,0,1,0
89,879,10.010000,Normal,75.45,75.450000,,,2550668932699922288,null,0,1,0
90,889,10.010000,Normal,39.95,39.950000,,,6124605525710284120,null,0,1,0
91,899,10.010000,Normal,41.69,41.690000,,,13221252397507789893,null,0,1,0
92,909,10.010000,Normal,15.23,15.230000,,,12374807002859197172,null,0,1,0
93,919,10.010000,Normal,15.23,15.230000,,,6758759870413416040,null,0,1,0
94,929,10.010000,Normal,15.23,15.230000,,,12217548222956703470,null,0,1,0
95,939,10.010000,Normal,15.23,15.230000,,,14480169038018402021,null,0,1,0
96,949,10.010000,Normal,15.23,15.230000,,,3160771153496649851,null,0,1,0
97,959,10.050000,Normal,77.57,77.570000,,,17231139550500540614,null,0,1,0
98,969,10.010000,Normal,15.23,15.230000,,,14589232769666061217,null,0,1,0
99,979,10.010000,Normal,27.98,27.980000,,,2490615274818297367,null,0,1,0
100,989,10.010000,Normal,30.36,30.360000,,,6669169097166311153,null,0,1,0
101,999,10.010000,Normal,15.23,15.230000,,,5770268513735757082,null,0,1,0
102,1009,10.020000,Normal,44.02,44.020000,,,6323747907948368889,null,0,1,0
103,1019,10.010000,Normal,15.23,15.230000,,,10656783373775270271,null,0,1,0
104,1029,10.010000,Normal,48.3,48.300000,,,4372955730912901967,null,0,1,0
105,1039,10.010000,Normal,77.4,77.400000,,,10997264810634114216,null,0,1,0
106,1049,10.010000,Normal,27.98,27.980000,,,14469249206053879312,null,0,1,0
107,1059,10.010000,Normal,15.23,15.230000,,,56950440344410102,null,0,1,0
108,1069,10.010000,Normal,15.23,15.230000,,,11442217248015313664,null,0,1,0
109,1079,10.010000,Normal,15.23,15.230000,,,14713472842150508206,null,0,1,0
110,1089,10.010000,Normal,53.9,53.900000,,,862702813512006006,null,0,1,0
111,1099,10.010000,Normal,73.74,73.740000,,,2491613760392712520,null,0,1,0
112,1110,10.020000,Normal,16.48,16.480000,,,4933069988277566497,null,0,1,0
113,1120,10.010000,Normal,15.23,15.230000,,,8380752259357135749,null,0,1,0
114,1130,10.030000,Normal,29.84,29.840000,,,8798278218692872233,null,0,1,0
115,1140,10.020000,Normal,15.23,15.230000,,,3586975617011826172,null,0,1,0
116,1150,10.010000,Normal,15.23,15.230000,,,12006417776007862489,null,0,1,0
117,1160,10.010000,Normal,15.23,15.230000,,,12593806331915017743,null,0,1,0
118,1170,10.010000,Normal,15.23,15.230000,,,9646512135102468465,null,0,1,0
119,1180,10.010000,Normal,29.59,29.590000,,,16502463876353621944,null,0,1,0
120,1190,10.010000,Normal,15.24,15.240000,,,397446237004128166,null,0,1,0
121,1200,10.010000,Normal,15.23,15.230000,,,8071814086944359762,null,0,1,0
122,1210,10.010000,Normal,19.94,19.940000,,,5287042491560975576,null,0,1,0
123,1220,10.020000,Normal,27.96,27.960000,,,17277861385652134680,null,0,1,0
124,1230,10.010000,Normal,15.23,15.230000,,,10759036079509638854,null,0,1,0
125,1240,10.010000,Normal,15.23,15.230000,,,5903651859703261373,null,0,1,0
126,1250,10.010000,Normal,19.94,19.940000,,,17958895354369090322,null,0,1,0
127,1260,10.010000,Normal,24.15,24.150000,,,10044564956054235370,null,0,1,0
128,1270,10.010000,Normal,15.23,15.230000,,,16714343370427062707,null,0,1,0
129,1280,10.020000,Normal,15.23,15.230000,,,16467986485841343514,null,0,1,0
130,1290,10.010000,Normal,25.9,25.900000,,,3845830303095502123,null,0,1,0
131,1300,10.010000,Normal,15.23,15.230000,,,12542293618250965042,null,0,1,0
132,1310,10.010000,Normal,76.9,76.900000,,,401917508656772301,null,0,1,0
133,1320,10.010000,Normal,28.03,28.030000,,,11671933408851896701,null,0,1,0
134,1330,10.010000,Normal,15.23,15.230000,,,6724127441860880089,null,0,1,0
135,1340,10.010000,Normal,15.23,15.230000,,,7305893016611922275,null,0,1,0
136,1350,10.010000,Normal,15.23,15.230000,,,1484230354684295219,null,0,1,0
137,1360,10.010000,Normal,15.23,15.230000,,,11630808385189364468,null,0,1,0
138,1370,10.010000,Normal,15.23,15.230000,,,1976796785248669656,null,0,1,0
139,1380,10.010000,Normal,15.23,15.230000,,,5395421796939385944,null,0,1,0
140,1390,10.020000,Normal,41.34,41.340000,,,1053731252173637350,null,0,1,0
141,1400,10.010000,Normal,81.03,81.030000,,,14664404319693646170,null,0,1,0
142,1410,10.010000,Normal,15.23,15.230000,,,15269633638097197812,null,0,1,0
143,1420,10.010000,Normal,15.23,15.230000,,,2211921695364934078,null,0,1,0
144,1430,10.010000,Normal,76.97,76.970000,,,11169594160645663158,null,0,1,0
145,1440,10.010000,Normal,15.23,15.230000,,,8996559095882644817,null,0,1,0
146,1450,10.020000,Normal,39.95,39.950000,,,14005823630239055610,null,0,1,0
147,1460,10.010000,Normal,15.23,15.230000,,,2693277957668311947,null,0,1,0
148,1470,10.010000,Normal,15.23,15.230000,,,3537610107954998450,null,0,1,0
149,1480,10.020000,Normal,31.75,31.750000,,,6951205515668980821,null,0,1,0
150,1490,10.010000,Normal,15.23,15.230000,,,17797955579554476161,null,0,1,0
151,1500,10.010000,Normal,15.24,15.240000,,,18395974163905154752,null,0,1,0
152,1510,10.020000,Normal,45.52,45.520000,,,14055386316024744297,null,0,1,0
153,1520,10.010000,Normal,15.23,15.230000,,,6884743442561764911,null,0,1,0
154,1530,10.010000,Normal,15.23,15.230000,,,8306272345718836567,null,0,1,0
155,1540,10.010000,Normal,15.23,15.230000,,,3351330480200442381,null,0,1,0
156,1550,10.010000,Normal,75.85,75.850000,,,14666620901006278939,null,0,1,0
157,1560,10.010000,Normal,15.23,15.230000,,,13286426551221256793,null,0,1,0
158,1570,10.010000,Normal,75.85,75.850000,,,9766358630044340048,null,0,1,0
159,1580,10.010000,Normal,15.23,15.230000,,,11710689417542735236,null,0,1,0
160,1590,10.010000,Normal,15.23,15.230000,,,7327824402119000481,null,0,1,0
161,1600,10.010000,Normal,24.62,24.620000,,,3609306046992979595,null,0,1,0
162,1610,10.010000,Normal,19.95,19.950000,,,10530740625696220481,null,0,1,0
163,1620,10.010000,Normal,30.23,30.230000,,,9877424178368285949,null,0,1,0
164,1630,10.010000,Normal,15.23,15.230000,,,770628218993172959,null,0,1,0
165,1640,10.010000,Normal,34.51,34.510000,,,8248357845867693211,null,0,1,0
166,1650,10.010000,Normal,15.23,15.230000,,,2433404586247306460,null,0,1,0
167,1660,10.010000,Normal,15.23,15.230000,,,6946936366305889624,null,0,1,0
168,1670,10.010000,Normal,23.95,23.950000,,,11489742415182580036,null,0,1,0
169,1680,10.010000,Normal,15.23,15.230000,,,6712898751696023883,null,0,1,0
170,1690,10.010000,Normal,15.23,15.230000,,,11686150151203681710,null,0,1,0
171,1700,10.010000,Normal,15.23,15.230000,,,16272100153917247887,null,0,1,0
172,1710,10.010000,Normal,58.85,58.850000,,,14400953296776126721,null,0,1,0
173,1720,10.010000,Normal,27.97,27.970000,,,5436574842551494036,null,0,1,0
174,1730,10.010000,Normal,77.9,77.900000,,,9527524965869925030,null,0,1,0
175,1732,1.930000,Normal,81.25,81.250000,,,9742213377488654647,null,0,1,0
176,1742,10.010000,Normal,15.23,15.230000,,,10149669391484347127,null,0,1,0
177,1752,10.010000,Normal,15.23,15.230000,,,9633127849653188419,null,0,1,0
178,1762,10.010000,Normal,15.23,15.230000,,,14926568726897633966,null,0,1,0
179,1772,10.010000,Normal,27.21,27.210000,,,18161778987577341914,null,0,1,0
180,1782,10.040000,Normal,15.23,15.230000,,,7244163638324877391,null,0,1,0
181,1792,10.010000,Normal,15.23,15.230000,,,10514267867221921419,null,0,1,0
182,1802,10.010000,Normal,39.95,39.950000,,,1747075596444380237,null,0,1,0
183,1812,10.010000,Normal,15.23,15.230000,,,4574764069307947260,null,0,1,0
184,1822,10.010000,Normal,15.23,15.230000,,,1353262975230740355,null,0,1,0
185,1832,10.010000,Normal,15.23,15.230000,,,1536019982764664410,null,0,1,0
186,1842,10.010000,Normal,15.23,15.230000,,,16952186394046977174,null,0,1,0
187,1852,10.020000,Normal,15.23,15.230000,,,8800318805285323217,null,0,1,0
188,1862,10.020000,Normal,15.23,15.230000,,,17321400612477152128,null,0,1,0
189,1872,10.010000,Normal,15.23,15.230000,,,7495591503141456151,null,0,1,0
190,1882,10.010000,Normal,15.23,15.230000,,,3186740127015100884,null,0,1,0
191,1892,10.010000,Normal,40.99,40.990000,,,11441653536805302270,null,0,1,0
192,1902,10.010000,Normal,15.23,15.230000,,,12389777983315403621,null,0,1,0
193,1912,10.010000,Normal,15.23,15.230000,,,4758529046380177259,null,0,1,0
194,1922,10.020000,Normal,15.23,15.230000,,,4576442931684757909,null,0,1,0
195,1932,10.010000,Normal,15.23,15.230000,,,9997948965233440036,null,0,1,0
196,1942,10.010000,Normal,15.23,15.230000,,,1897490473756301297,null,0,1,0
197,1952,10.030000,Normal,15.23,15.230000,,,12253342383851908275,null,0,1,0
198,1962,10.010000,Normal,15.23,15.230000,,,6625842555605726279,null,0,1,0
199,1972,10.010000,Normal,15.23,15.230000,,,7583454311303672360,null,0,1,0
200,1982,10.010000,Normal,27.49,27.490000,,,4591972843929525078,null,0,1,0
201,1992,10.010000,Normal,15.23,15.230000,,,9298844950851228041,null,0,1,0
202,2002,10.010000,Normal,75.86,75.860000,,,9787185953659029045,null,0,1,0
203,2013,10.010000,Normal,31.39,31.390000,,,586470995370896076,null,0,1,0
204,2023,10.010000,Normal,15.23,15.230000,,,12939155200499041527,null,0,1,0
205,2033,10.010000,Normal,77.4,77.400000,,,10671805576944124905,null,0,1,0
206,2043,10.010000,Normal,15.23,15.230000,,,116450776222772607,null,0,1,0
207,2053,10.010000,Normal,27.96,27.960000,,,9416865524447559438,null,0,1,0
208,2063,10.010000,Normal,48.3,48.300000,,,4101202367642512024,null,0,1,0
209,2073,10.010000,Normal,15.23,15.230000,,,8509305803301124702,null,0,1,0
210,2083,10.020000,Normal,15.23,15.230000,,,6004460005268102125,null,0,1,0
211,2093,10.010000,Normal,15.23,15.230000,,,7725216923192558022,null,0,1,0
212,2103,10.010000,Normal,15.23,15.230000,,,4159021527386765647,null,0,1,0
213,2113,10.030000,Normal,39.95,39.950000,,,310891950575188130,null,0,1,0
