EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.010000,Normal,23.51,23.510000,,,14511955412201165739,null,0,1,0
2,20,10.000000,Normal,82.79,82.790000,,,13488872264412629731,null,0,1,0
3,30,10.000000,Normal,61.18,61.180000,,,9254694205697835232,null,0,1,0
4,30,0.250000,Normal,85.75,85.750000,,,8988501511162116210,null,0,1,0
5,35,5.140000,Normal,76.57,76.570000,,,584616168616023489,null,0,1,0
6,45,10.010000,Normal,43.38,43.380000,,,12995907335859164564,null,0,1,0
7,47,1.760000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,15925844809801481759,null,0,1,0
8,57,10.000000,Normal,75.63,75.630000,,,1839430165521995847,null,0,1,0
9,67,10.010000,Normal,43.43,43.430000,,,17375802028606255134,null,0,1,0
10,77,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,14580866956876084259,null,0,1,0
11,87,10.000000,Normal,72.05,72.050000,,,7058066606671006767,null,0,1,0
12,97,10.010000,Normal,23.83,23.830000,,,6011508213391688298,null,0,1,0
13,107,10.010000,Normal,19.15,19.150000,,,16565747497193479669,null,0,1,0
14,117,10.010000,Normal,21.92,21.920000,,,15780241995167990293,null,0,1,0
15,127,10.010000,Normal,19.12,19.120000,,,15083475836198844972,null,0,1,0
16,137,10.010000,Normal,19.15,19.150000,,,6498954058570598432,null,0,1,0
17,147,10.010000,Normal,19.15,19.150000,,,13122832977084563407,null,0,1,0
18,157,10.010000,Normal,19.15,19.150000,,,12902170558683989384,null,0,1,0
19,167,10.010000,Normal,18.5,18.500000,,,6819327402682334176,null,0,1,0
20,177,10.010000,Normal,20.69,20.690000,,,5472600217725821237,null,0,1,0
21,187,10.010000,Normal,20.93,20.930000,,,10435489876882474305,null,0,1,0
22,197,10.000000,Normal,16.73,16.730000,,,16442818788877976365,null,0,1,0
23,207,10.010000,Normal,52.74,52.740000,,,10739240947541856030,null,0,1,0
24,217,10.010000,Normal,21.27,21.270000,,,15972709236389137914,null,0,1,0
25,227,10.010000,Normal,24.67,24.670000,,,11043368083440061003,null,0,1,0
26,237,10.000000,Normal,16.73,16.730000,,,18190258158092291452,null,0,1,0
27,247,10.000000,Normal,16.73,16.730000,,,18045917089311037456,null,0,1,0
28,257,10.000000,Normal,16.73,16.730000,,,1121827809073341141,null,0,1,0
29,267,10.010000,Normal,16.73,16.730000,,,9438231493528340922,null,0,1,0
30,277,10.010000,Normal,17.6,17.600000,,,12463221149424909297,null,0,1,0
31,287,10.000000,Normal,16.73,16.730000,,,14524939408489003033,null,0,1,0
32,297,10.000000,Normal,16.71,16.710000,,,8955651479525052793,null,0,1,0
33,307,10.010000,Normal,18.84,18.840000,,,17990248633281027907,null,0,1,0
34,317,10.010000,Normal,17.21,17.210000,,,17246851690484100732,null,0,1,0
35,327,10.000000,Normal,16.73,16.730000,,,12506015142202190646,null,0,1,0
36,337,10.000000,Normal,17.32,17.320000,,,2718310115469193469,null,0,1,0
37,347,10.010000,Normal,17.09,17.090000,,,5667020711632528479,null,0,1,0
38,357,10.010000,Normal,17.09,17.090000,,,13509485344088054901,null,0,1,0
39,367,10.010000,Normal,17.09,17.090000,,,11729322546479032716,null,0,1,0
40,377,10.010000,Normal,17.09,17.090000,,,3895153493548771197,null,0,1,0
41,387,10.010000,Normal,17.72,17.720000,,,15401227268019620490,null,0,1,0
42,397,10.000000,Normal,17.76,17.760000,,,2436659112499553946,null,0,1,0
43,407,10.010000,Normal,18.12,18.120000,,,18021850870931868196,null,0,1,0
44,417,10.000000,Normal,16.73,16.730000,,,15741424612443395702,null,0,1,0
45,427,10.010000,Normal,17.09,17.090000,,,1397840073796711771,null,0,1,0
46,437,10.000000,Normal,17.09,17.090000,,,6950841969773774049,null,0,1,0
