EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.010000,Normal,21.24,21.240000,,,14511955412201165739,null,0,1,0
2,20,10.010000,Normal,41.77,41.770000,,,9178969268975236847,null,0,1,0
3,30,10.000000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,15918063210054012210,null,0,1,0
4,40,10.000000,Normal,72.58,72.580000,,,14806411438205957448,null,0,1,0
5,50,10.010000,Normal,58.34,58.340000,,,13697625199190269369,null,0,1,0
6,60,10.010000,Normal,60.72,60.720000,,,1929700506624775662,null,0,1,0
7,61,1.490000,Normal,50.44,50.440000,,,10616548842428989378,null,0,1,0
8,71,10.010000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,422858712644712418,null,0,1,0
9,81,10.010000,Normal,57.08,57.080000,,,15249959196006377028,null,0,1,0
10,81,0.160000,Normal,1e+100,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,,,10123950476732011819,null,0,1,0
11,81,0.270000,Normal,66.71,66.710000,,,3477621575996685954,null,0,1,0
12,91,10.010000,Normal,23.82,23.820000,,,3271083288141641705,null,0,1,0
13,102,10.010000,Normal,25.73,25.730000,,,15422446381040709293,null,0,1,0
14,112,10.010000,Normal,21.24,21.240000,,,9448575365074074850,null,0,1,0
15,122,10.010000,Normal,21.24,21.240000,,,5088548425398789263,null,0,1,0
16,132,10.010000,Normal,22.4,22.400000,,,17929451716681156103,null,0,1,0
17,142,10.010000,Normal,21.95,21.950000,,,11852175113235734568,null,0,1,0
18,152,10.010000,Normal,22.52,22.520000,,,4124652985607633292,null,0,1,0
19,162,10.010000,Normal,21.68,21.680000,,,17695669183157808298,null,0,1,0
20,172,10.010000,Normal,21.24,21.240000,,,6854153720272244176,null,0,1,0
21,182,10.010000,Normal,21.58,21.580000,,,15244109906910713523,null,0,1,0
22,192,10.010000,Normal,21.24,21.240000,,,14571393898856323296,null,0,1,0
23,202,10.010000,Normal,23.29,23.290000,,,7508222969229022023,null,0,1,0
24,212,10.010000,Normal,22.59,22.590000,,,699169472463829722,null,0,1,0
25,222,10.020000,Normal,21.98,21.980000,,,17625457955972463009,null,0,1,0
26,232,10.010000,Normal,21.24,21.240000,,,2920346614292773765,null,0,1,0
27,242,10.010000,Normal,21.24,21.240000,,,10915205743736661916,null,0,1,0
28,252,10.010000,Normal,25.52,25.520000,,,2465731318669562962,null,0,1,0
29,262,10.010000,Normal,27.53,27.530000,,,16248437267037110564,null,0,1,0
30,272,10.010000,Normal,21.29,21.290000,,,16004811553185159824,null,0,1,0
31,282,10.010000,Normal,21.24,21.240000,,,998055427684639356,null,0,1,0
32,292,10.010000,Normal,27.68,27.680000,,,8515429740447812180,null,0,1,0
33,302,10.010000,Normal,22.59,22.590000,,,5712791236192161348,null,0,1,0
34,312,10.010000,Normal,22.89,22.890000,,,6126708988134975513,null,0,1,0
35,322,10.010000,Normal,22.67,22.670000,,,1563610572336338272,null,0,1,0
36,332,10.010000,Normal,20.15,20.150000,,,12849345714128338025,null,0,1,0
37,342,10.010000,Normal,23.68,23.680000,,,4814901344119479951,null,0,1,0
38,352,10.010000,Normal,27.92,27.920000,,,12551355078115265959,null,0,1,0
39,362,10.010000,Normal,20.15,20.150000,,,3861196527380816085,null,0,1,0
40,372,10.010000,Normal,20.12,20.120000,,,3803798220002711295,null,0,1,0
41,382,10.010000,Normal,20.15,20.150000,,,12253070612992162121,null,0,1,0
42,392,10.010000,Normal,20.15,20.150000,,,13033614390203189260,null,0,1,0
43,402,10.010000,Normal,20.15,20.150000,,,15529365449360117435,null,0,1,0
44,412,10.010000,Normal,19.65,19.650000,,,17559599393515995497,null,0,1,0
45,422,10.010000,Normal,27.15,27.150000,,,7050850639810254777,null,0,1,0
46,432,10.000000,Normal,36,36.000000,,,4414565523887164861,null,0,1,0
