EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,8,8.460753,Normal,0,0.000000,-6020203.000000,-6020303.000000,14921508010286178949,null,0,1,0
2,10,10.004100,Normal,119.2,119.200000,-5050400.000000,-11070500.000000,8723278136865304665,null,1,1,0
3,10,10.003900,Normal,39.6,39.600000,-5050300.000000,-7050400.000000,15446065792237984030,null,2,1,0
4,10,10.004700,Normal,0.33,0.330000,-6020200.000000,-6040300.000000,14075347302301588864,null,3,1,0
5,10,10.004200,Normal,119,119.000000,-5050300.000000,-11060400.000000,3607391237478288220,null,4,1,0
6,10,10.006700,Normal,79.4,79.400000,-5050300.000000,-9060300.000000,6128791737735043497,null,5,1,0
7,10,10.004100,Normal,33.72,33.720000,-6020200.000000,-8050400.000000,14016033152779600300,null,6,1,0
8,10,10.004800,Normal,124.5,124.500000,-4040300.000000,-9070400.000000,17459231772484832906,null,7,1,0
9,7,7.273460,Normal,0,0.000000,-6020200.000000,-6020300.000000,14787309470191083595,null,8,1,0
10,10,10.005600,Normal,79.4,79.400000,-5050300.000000,-9060400.000000,41740214594011589,null,9,1,0
11,10,10.004400,Normal,119,119.000000,-5050300.000000,-11060400.000000,14083365601823689507,null,10,1,0
12,8,7.932900,Normal,0,0.000000,-6020200.000000,-6020300.000000,13735962452484424727,null,11,1,0
13,8,8.608220,Normal,0,0.000000,-6020200.000000,-6020300.000000,2776033069294714548,null,12,1,0
14,9,9.325170,Normal,0,0.000000,-6020200.000000,-6020300.000000,17770079838099398960,null,13,1,0
15,10,10.003800,Normal,83.72,83.720000,-6020200.000000,-11060500.000000,359675858134083956,null,14,1,0
16,8,8.801220,Normal,0,0.000000,-6020200.000000,-6020300.000000,9405647989513722186,null,15,1,0
