EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.009050,Normal,23.81,23.810000,-315.000000,-390.000000,14921508010286178949,null,0,1,0
2,20,10.009503,Normal,18.7,18.700000,-340.000000,-403.571429,2823934824078185206,null,0,1,0
3,30,10.010627,Normal,5.78,5.780000,-340.000000,-359.655797,14403042972698526843,null,0,1,0
4,40,10.022287,Normal,4.48,4.480000,-335.000000,-350.000000,2945426333498293579,null,0,1,0
5,10,10.011500,Normal,23.53,23.530000,-340.000000,-420.000000,8723278136865304665,null,1,1,0
6,20,10.012900,Normal,23.53,23.530000,-340.000000,-420.000000,4970148594231515670,null,1,1,0
7,30,10.010600,Normal,18.12,18.120000,-345.000000,-407.500000,2098913149819046562,null,1,1,0
8,40,10.010300,Normal,17.39,17.390000,-345.000000,-405.000000,14941587328240492291,null,1,1,0
9,10,10.022300,Normal,24.24,24.240000,-330.000000,-410.000000,15446065792237984030,null,2,1,0
10,20,10.018600,Normal,24.24,24.240000,-330.000000,-410.000000,4202048695090355429,null,2,1,0
11,30,10.075000,Normal,23.64,23.640000,-330.000000,-408.000000,1438553583210240060,null,2,1,0
12,40,10.032000,Normal,27.69,27.690000,-335.000000,-427.768000,2280800952473145312,null,2,1,0
13,50,10.068100,Normal,23.64,23.640000,-330.000000,-408.000000,6765806572274570993,null,2,1,0
14,10,10.010600,Normal,12.5,12.500000,-340.000000,-382.500000,14075347302301588864,null,3,1,0
15,20,10.015000,Normal,24.62,24.620000,-325.000000,-405.000000,13805086800485329465,null,3,1,0
16,30,10.009500,Normal,17.39,17.390000,-345.000000,-405.000000,14167589269659174657,null,3,1,0
17,40,10.011000,Normal,13.24,13.240000,-340.000000,-385.000000,14474151713492844321,null,3,1,0
18,50,10.009300,Normal,30.65,30.650000,-310.000000,-405.000000,16887099114260268141,null,3,1,0
19,10,10.019400,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,3607391237478288220,null,4,1,0
20,20,10.018000,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,17425034657188371328,null,4,1,0
21,30,10.018500,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,3517342209003059921,null,4,1,0
22,40,10.016700,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,4852650198527644781,null,4,1,0
23,50,10.016300,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,15772103726656257983,null,4,1,0
24,10,10.019400,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,6128791737735043497,null,5,1,0
25,20,10.017300,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,7476122385861717275,null,5,1,0
26,30,10.017000,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,902467761583244035,null,5,1,0
27,38,8.277990,Normal,0,0.000000,-345.000000,-345.000000,2367558522957212399,null,5,1,0
28,10,10.013200,Normal,6.67,6.670000,-340.000000,-362.672000,14016033152779600300,null,6,1,0
29,20,10.016100,Normal,14.06,14.060000,-320.000000,-365.000000,8902295658440993141,null,6,1,0
30,30,10.006700,Normal,7.46,7.460000,-335.000000,-360.000000,9162982493372142051,null,6,1,0
31,40,10.011100,Normal,19.6,19.600000,-315.000000,-376.737000,16649829036551454522,null,6,1,0
32,50,10.009900,Normal,10.45,10.450000,-335.000000,-370.000000,11477480420660981473,null,6,1,0
33,10,10.019000,Normal,4.41,4.410000,-340.000000,-355.000000,17459231772484832906,null,7,1,0
34,20,10.017800,Normal,4.41,4.410000,-340.000000,-355.000000,3270808954000123780,null,7,1,0
35,30,10.011600,Normal,15.87,15.870000,-315.000000,-365.000000,6281434940985222665,null,7,1,0
36,40,10.009300,Normal,17.87,17.870000,-330.000000,-388.958000,15086307549765646742,null,7,1,0
37,50,10.012100,Normal,4.41,4.410000,-340.000000,-355.000000,12482972597272955623,null,7,1,0
