EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.081235,Normal,91.3,91.300000,499.635492,43.474651,14921508010286178949,null,0,1,0
2,20,10.064434,Normal,91.3,91.300000,499.635492,43.474651,5643427149002281568,null,0,1,0
3,31,10.089262,Normal,91.3,91.300000,499.635492,43.474651,2823934824078185206,null,0,1,0
4,41,10.063750,Normal,91.3,91.300000,499.635492,43.474651,12911295086759950527,null,0,1,0
5,51,10.063235,Normal,91.3,91.300000,499.635492,43.474651,15495703117619861868,null,0,1,0
6,61,10.065841,Normal,91.3,91.300000,499.635492,43.474651,13964071529318666704,null,0,1,0
7,72,10.065194,Normal,91.3,91.300000,499.635492,43.474651,635589708496059671,null,0,1,0
8,82,10.066278,Normal,91.3,91.300000,499.635492,43.474651,16450644818478286277,null,0,1,0
9,92,10.075773,Normal,91.3,91.300000,499.635492,43.474651,2077675631147850639,null,0,1,0
10,103,10.063467,Normal,91.3,91.300000,499.635492,43.474651,2225858521084382651,null,0,1,0
11,113,10.064466,Normal,91.3,91.300000,499.635492,43.474651,3895283216737288575,null,0,1,0
12,123,10.050037,Normal,4.5,4.500000,45.521065,43.474651,16957666276679199244,null,0,1,0
13,134,10.052247,Normal,4.5,4.500000,45.521065,43.474651,2703195584121430106,null,0,1,0
14,144,10.083875,Normal,4.5,4.500000,45.521065,43.474651,13539448550712089660,null,0,1,0
15,154,10.058090,Normal,4.5,4.500000,45.521065,43.474651,9328298672788675529,null,0,1,0
16,165,10.061847,Normal,4.5,4.500000,45.521065,43.474651,13425842319572370773,null,0,1,0
17,175,10.075162,Normal,4.5,4.500000,45.521065,43.474651,6962149414314999923,null,0,1,0
18,185,10.055693,Normal,4.5,4.500000,45.521065,43.474651,14435525882683381056,null,0,1,0
19,195,10.094316,Normal,4.5,4.500000,45.521065,43.474651,8377981177332969130,null,0,1,0
20,206,10.082214,Normal,4.5,4.500000,45.521065,43.474651,10709422651670981369,null,0,1,0
21,10,10.079400,Normal,91.3,91.300000,499.635000,43.474700,17514050945686148453,null,1,1,0
22,20,10.061800,Normal,91.3,91.300000,499.635000,43.474700,14945327202240187335,null,1,1,0
23,31,10.093000,Normal,91.3,91.300000,499.635000,43.474700,5618135918108975868,null,1,1,0
24,41,10.065600,Normal,91.3,91.300000,499.635000,43.474700,14451080528597731927,null,1,1,0
25,51,10.266200,Normal,83.45,83.450000,262.714000,43.474700,14848801465634500120,null,1,1,0
26,62,10.254700,Normal,83.45,83.450000,262.714000,43.474700,12933841769560217381,null,1,1,0
