EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.003943,Normal,29.31,29.310000,445.000000,314.554402,14921508010286178949,null,0,1,0
2,20,10.003034,Normal,13.44,13.440000,370.000000,320.259624,2823934824078185206,null,0,1,0
3,30,10.002682,Normal,19.85,19.850000,383.000000,306.989170,8211792182747950806,null,0,1,0
4,40,10.012948,Normal,17.55,17.550000,376.000000,310.017154,7996245778148271637,null,0,1,0
5,50,10.003004,Normal,13.44,13.440000,370.000000,320.259624,13816062404021032092,null,0,1,0
6,60,10.002963,Normal,13.46,13.460000,370.000000,320.195855,9002657734057019648,null,0,1,0
7,70,10.006614,Normal,13.09,13.090000,366.000000,318.107448,4224704790384270877,null,0,1,0
8,80,10.003691,Normal,17.3,17.300000,384.000000,317.574112,8510482686144944158,null,0,1,0
9,90,10.002860,Normal,30.61,30.610000,455.000000,315.724153,2441688160292591395,null,0,1,0
10,100,10.003305,Normal,27.29,27.290000,431.000000,313.396176,8683817217222751575,null,0,1,0
11,110,10.003121,Normal,27.85,27.850000,424.000000,305.917343,3388673737561012652,null,0,1,0
12,120,10.004225,Normal,13.33,13.330000,367.000000,318.065248,14922610808749074189,null,0,1,0
13,130,10.003833,Normal,13.09,13.090000,366.000000,318.107448,12854658231499805072,null,0,1,0
14,140,10.004579,Normal,13.46,13.460000,370.000000,320.195855,7040482131495544149,null,0,1,0
15,150,10.013839,Normal,22.65,22.650000,409.000000,316.352304,5851055747708778244,null,0,1,0
16,160,10.002786,Normal,27.72,27.720000,436.000000,315.146777,5049419880861449681,null,0,1,0
17,170,10.003608,Normal,25.65,25.650000,425.000000,315.970062,4953176355233792838,null,0,1,0
18,180,10.002847,Normal,13.44,13.440000,370.000000,320.259624,11695041479610220446,null,0,1,0
19,190,10.004729,Normal,13.09,13.090000,366.000000,318.107448,2026759176471162006,null,0,1,0
20,200,10.013258,Normal,13.88,13.880000,358.000000,308.312500,4916318742863578662,null,0,1,0
21,10,10.004200,Normal,29.97,29.970000,428.000000,299.744000,4742023368992659407,null,1,1,0
22,20,10.003900,Normal,29.97,29.970000,428.000000,299.744000,6256578975208963304,null,1,1,0
23,30,10.003700,Normal,23.98,23.980000,395.000000,300.276000,4212311836723003975,null,1,1,0
24,40,10.003100,Normal,23.98,23.980000,395.000000,300.276000,14659532201374470097,null,1,1,0
25,50,10.006600,Normal,20.72,20.720000,381.000000,302.061000,7832980973092839478,null,1,1,0
26,60,10.003800,Normal,19.63,19.630000,373.000000,299.780000,1501430197555740917,null,1,1,0
27,70,10.016300,Normal,23.61,23.610000,397.000000,303.288000,9097392175915730940,null,1,1,0
28,80,10.003100,Normal,1.79769e+308,,,298.733000,1166514117649850050,null,1,1,0
29,90,10.011500,Normal,19.63,19.630000,373.000000,299.780000,11627251296519835773,null,1,1,0
30,100,10.003400,Normal,20.08,20.080000,374.000000,298.901000,731391662528216283,null,1,1,0
31,110,10.003400,Normal,13.99,13.990000,352.000000,302.762000,9872964792406037694,null,1,1,0
32,120,10.003000,Normal,13.2,13.200000,364.000000,315.965000,8672475871237577069,null,1,1,0
33,130,10.006600,Normal,14.14,14.140000,383.000000,328.853000,12921123916734240587,null,1,1,0
34,140,10.003100,Normal,13.02,13.020000,363.000000,315.730000,8803489192230448856,null,1,1,0
35,150,10.003700,Normal,16.82,16.820000,362.000000,301.106000,17110850190413005123,null,1,1,0
36,160,10.002900,Normal,13.02,13.020000,363.000000,315.730000,16947891085730559695,null,1,1,0
37,170,10.002800,Normal,20.57,20.570000,400.000000,317.711000,1515943376865001414,null,1,1,0
38,180,10.003100,Normal,28.66,28.660000,454.000000,323.898000,15522650311975852033,null,1,1,0
39,190,10.002900,Normal,13.02,13.020000,363.000000,315.730000,13993669083678241891,null,1,1,0
40,200,10.006900,Normal,13.02,13.020000,363.000000,315.749000,10988642970761195134,null,1,1,0
41,10,10.004400,Normal,24.49,24.490000,409.000000,308.819000,13833839775346593887,null,2,1,0
42,20,10.003800,Normal,11.81,11.810000,356.000000,313.947000,17419014958330931154,null,2,1,0
43,30,10.003600,Normal,11.81,11.810000,356.000000,313.947000,11061388906138207828,null,2,1,0
44,40,10.004000,Normal,15.62,15.620000,376.000000,317.280000,11231762849979703210,null,2,1,0
45,50,10.003100,Normal,24.77,24.770000,408.000000,306.939000,4021161396097349975,null,2,1,0
46,60,10.003600,Normal,11.81,11.810000,356.000000,313.947000,2110190193800242787,null,2,1,0
47,70,10.003600,Normal,11.81,11.810000,356.000000,313.947000,2952963931719238993,null,2,1,0
48,80,10.004000,Normal,21.01,21.010000,411.000000,324.635000,892473242910074610,null,2,1,0
49,90,10.004000,Normal,26.79,26.790000,420.000000,307.494000,4319810178887772173,null,2,1,0
50,100,10.003100,Normal,28.59,28.590000,435.000000,310.652000,16026061458554457200,null,2,1,0
51,110,10.003900,Normal,11.81,11.810000,356.000000,313.947000,8373413376205961007,null,2,1,0
52,120,10.003500,Normal,24.82,24.820000,408.000000,306.736000,2938321305877998074,null,2,1,0
53,130,10.002900,Normal,23.27,23.270000,407.000000,312.310000,17197593857723287682,null,2,1,0
54,140,10.003400,Normal,11.81,11.810000,356.000000,313.947000,11286956968231974035,null,2,1,0
55,150,10.016700,Normal,18.03,18.030000,372.000000,304.933000,9049259930251807613,null,2,1,0
56,160,10.003000,Normal,11.81,11.810000,356.000000,313.947000,18234457961739462727,null,2,1,0
57,170,10.003200,Normal,23.89,23.890000,408.000000,310.516000,918506758518568928,null,2,1,0
58,180,10.003300,Normal,11.81,11.810000,356.000000,313.947000,14360153169732367030,null,2,1,0
59,190,10.003700,Normal,12.31,12.310000,358.000000,313.947000,15031292858039138987,null,2,1,0
60,200,10.004000,Normal,13.72,13.720000,364.000000,314.067000,13004434884503877983,null,2,1,0
61,10,10.004300,Normal,17.12,17.120000,370.000000,306.656000,7691846394389702564,null,3,1,0
62,20,10.002800,Normal,17.66,17.660000,372.000000,306.292000,2013473791230577213,null,3,1,0
63,30,10.004900,Normal,16.21,16.210000,366.000000,306.656000,11266682804268049439,null,3,1,0
