EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.011833,Normal,24.98,24.980000,128398.848070,96329.818939,14921508010286178949,null,0,1,0
2,20,10.009829,Normal,24.99,24.990000,128439.596016,96337.701337,8683817217222751575,null,0,1,0
3,30,10.034253,Normal,28.55,28.550000,134816.075947,96329.818939,9658482938002475941,null,0,1,0
4,40,10.008525,Normal,24.98,24.980000,128398.848070,96329.818939,6762843893550650360,null,0,1,0
5,50,10.012529,Normal,68.74,68.740000,308114.917625,96329.542515,14770251354950928531,null,0,1,0
6,60,10.007292,Normal,68.75,68.750000,308125.440037,96296.847873,844706301316953147,null,0,1,0
7,70,10.007385,Normal,68.74,68.740000,308108.812214,96326.598031,2823934824078185206,null,0,1,0
8,80,10.008085,Normal,24.98,24.980000,128398.848070,96329.818939,5834950261831871145,null,0,1,0
9,90,10.009244,Normal,40,40.000000,160532.387966,96325.094792,10346973009034893901,null,0,1,0
10,100,10.007762,Normal,31.81,31.810000,141260.221289,96325.386472,3895283216737288575,null,0,1,0
11,110,10.009274,Normal,24.98,24.980000,128398.853958,96329.818939,17254147022443499681,null,0,1,0
12,120,10.030880,Normal,24.98,24.980000,128398.848070,96329.818939,15495703117619861868,null,0,1,0
13,130,10.011555,Normal,31.81,31.810000,141260.221289,96325.386472,10926055034921966546,null,0,1,0
14,140,10.007288,Normal,25,25.000000,128435.320872,96327.294261,13964071529318666704,null,0,1,0
15,150,10.010139,Normal,49.98,49.980000,192562.968069,96329.230993,5643427149002281568,null,0,1,0
16,160,10.007463,Normal,24.96,24.960000,128376.988663,96332.375530,1894762743428622621,null,0,1,0
17,171,10.008152,Normal,24.96,24.960000,128376.988663,96332.375530,7344507197150140944,null,0,1,0
18,181,10.008436,Normal,66.65,66.650000,288870.148584,96324.068340,14512341152078143690,null,0,1,0
19,191,10.008870,Normal,68.75,68.750000,308092.181591,96279.017808,1869696623545437238,null,0,1,0
20,201,10.006582,Normal,76.27,76.270000,333809.066611,79213.034497,7760402823898873040,null,0,1,0
21,211,10.011220,Normal,42.3,42.300000,166912.082451,96304.910044,4302140054473792026,null,0,1,1
22,221,10.007057,Normal,34.82,34.820000,147756.586343,96307.729940,10021232052670618938,null,0,1,1
23,231,10.008175,Normal,34.76,34.760000,147642.126902,96315.054906,3829748969189521883,null,0,1,1
24,241,10.010569,Normal,67.38,67.380000,295300.920584,96333.317625,1437860981033801696,null,0,1,1
25,251,10.009228,Normal,31.84,31.840000,141315.035374,96326.617778,6141605634985796888,null,0,1,1
26,261,10.007366,Normal,31.84,31.840000,141315.035374,96326.617778,9843791575087958379,null,0,1,1
27,271,10.009300,Normal,21.07,21.070000,122048.313685,96332.375530,5214492596991318523,null,0,1,1
28,281,10.008023,Normal,69.38,69.380000,314527.994332,96311.213687,13688152240241089913,null,0,2,0
29,291,10.006705,Normal,67.37,67.370000,295262.128037,96346.500010,11559130241872622515,null,0,2,0
30,301,10.006835,Normal,39.96,39.960000,160472.605311,96340.462074,7099854882722387741,null,0,2,0
31,311,10.010171,Normal,31.84,31.840000,141315.035374,96326.617778,6141605634985796888,null,0,2,0
32,321,10.023185,Normal,68.74,68.740000,308153.544760,96330.289024,13534594653938646328,null,0,2,0
33,332,10.009061,Normal,24.96,24.960000,128376.988663,96332.375530,9257930031621114898,null,0,2,0
34,342,10.007237,Normal,67.4,67.400000,295365.160020,96293.301744,1564935059497538940,null,0,2,1
35,352,10.007129,Normal,11.79,11.790000,109183.939321,96311.228304,4079415627973233791,null,0,2,1
36,362,10.008979,Normal,31.84,31.840000,141315.035374,96326.617778,9843791575087958379,null,0,3,0
37,372,10.006497,Normal,67.37,67.370000,295262.128037,96346.500010,11559130241872622515,null,0,3,0
38,382,10.008456,Normal,24.96,24.960000,128376.988663,96332.375530,7344507197150140944,null,0,3,0
39,392,10.006323,Normal,21.01,21.010000,121968.359085,96338.760974,4035910778140628704,null,0,3,0
40,402,10.007829,Normal,16.63,16.630000,115566.617451,96347.174066,6355832886424843503,null,0,3,0
41,412,10.009447,Normal,42.3,42.300000,166885.105525,96292.168010,15389811835935331574,null,0,3,1
42,422,10.013454,Normal,11.84,11.840000,109221.374530,96292.168010,10529045401866676953,null,0,3,1
43,432,10.003159,Normal,31.85,31.850000,141303.986001,96292.168010,10673056714909532418,null,0,3,1
44,442,10.016449,Normal,54.53,54.530000,211793.212343,96304.085294,17630186151120103886,null,0,3,1
45,452,10.013153,Normal,68.75,68.750000,308177.735021,96305.196280,1347268955746342979,null,0,3,1
