EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.011539,Normal,50.53,50.530000,0.055334,0.027376,14921508010286178949,null,0,1,0
2,20,10.011302,Normal,50.53,50.530000,0.055334,0.027376,10101538263502436884,null,0,1,0
3,30,10.010553,Normal,50.53,50.530000,0.055334,0.027376,10346973009034893901,null,0,1,0
4,40,10.012282,Normal,50.53,50.530000,0.055334,0.027376,635589708496059671,null,0,1,0
5,50,10.057063,Normal,52.77,52.770000,0.055334,0.026135,5948685825087948624,null,0,1,0
6,60,10.010711,Normal,50.53,50.530000,0.055334,0.027376,6762843893550650360,null,0,1,0
7,70,10.013151,Normal,50.53,50.530000,0.055334,0.027376,13290681019215308220,null,0,1,0
8,80,10.008887,Normal,48.71,48.710000,0.055334,0.028378,844706301316953147,null,0,1,0
9,90,10.008683,Normal,48.71,48.710000,0.055334,0.028378,7816284278214281566,null,0,1,0
10,100,10.008902,Normal,48.71,48.710000,0.055334,0.028378,8088409074837519470,null,0,1,0
11,110,10.010744,Normal,48.71,48.710000,0.055334,0.028378,10475899001479897097,null,0,1,0
12,120,10.009335,Normal,100,100.000000,38.110578,0.000013,300411628152950630,null,0,1,0
13,130,10.007167,Normal,65.65,65.650000,0.055334,0.019007,9083158521763270140,null,0,1,0
14,141,10.009670,Normal,49.75,49.750000,0.055334,0.027803,17336362436364057645,null,0,1,0
15,151,10.008041,Normal,48.71,48.710000,0.055334,0.028378,5541539097495145389,null,0,1,0
16,161,10.008291,Normal,48.71,48.710000,0.055334,0.028378,18428952309918769053,null,0,1,0
17,171,10.010901,Normal,51.49,51.490000,0.055334,0.026843,6052723598238457172,null,0,1,0
18,181,10.010766,Normal,48.71,48.710000,0.055334,0.028378,11415306107196363309,null,0,1,0
19,191,10.007968,Normal,51.85,51.850000,0.055334,0.026644,11525842961022546707,null,0,1,0
20,201,10.008223,Normal,48.71,48.710000,0.055334,0.028378,9001690191229605544,null,0,1,0
21,10,10.007900,Normal,77.08,77.080000,0.055334,0.012683,9686720361045965965,null,1,1,0
22,20,10.010600,Normal,77.08,77.080000,0.055334,0.012683,14977320980139403669,null,1,1,0
23,30,10.009000,Normal,77.08,77.080000,0.055334,0.012683,1871591627137445803,null,1,1,0
24,40,10.009700,Normal,77.08,77.080000,0.055334,0.012683,7129054616402336492,null,1,1,0
25,50,10.007300,Normal,77.05,77.050000,0.055334,0.012700,5422601811110845924,null,1,1,0
26,60,10.007200,Normal,77.05,77.050000,0.055334,0.012700,762089674238848521,null,1,1,0
27,70,10.009400,Normal,77.05,77.050000,0.055334,0.012700,18048410261294971436,null,1,1,0
28,80,10.009700,Normal,65.65,65.650000,0.055334,0.019008,4606096117026724049,null,1,1,0
29,90,10.006900,Normal,65.65,65.650000,0.055334,0.019008,8497828304419481008,null,1,1,0
30,100,10.006700,Normal,65.65,65.650000,0.055334,0.019008,2235899439185317462,null,1,1,0
31,110,10.007100,Normal,65.65,65.650000,0.055334,0.019008,10398487734282247995,null,1,1,0
32,120,10.007400,Normal,65.65,65.650000,0.055334,0.019008,6072124352943731770,null,1,1,0
33,130,10.010200,Normal,65.65,65.650000,0.055334,0.019008,13091529606729618669,null,1,1,0
34,140,10.010000,Normal,65.65,65.650000,0.055334,0.019008,11508205817949644323,null,1,1,0
35,151,10.007100,Normal,65.65,65.650000,0.055334,0.019008,8666907083284249228,null,1,1,0
36,161,10.007800,Normal,41.31,41.310000,0.055334,0.032475,984170393240529707,null,1,1,0
37,171,10.008000,Normal,41.31,41.310000,0.055334,0.032475,2499573446032436799,null,1,1,0
38,181,10.008900,Normal,48.71,48.710000,0.055334,0.028378,681323305654804947,null,1,1,0
39,191,10.011800,Normal,41.31,41.310000,0.055334,0.032475,5008755891094634176,null,1,1,0
40,201,10.007500,Normal,41.31,41.310000,0.055334,0.032475,6233968813166318295,null,1,1,0
41,10,10.008500,Normal,76.57,76.570000,0.055334,0.012963,17808874148426417796,null,2,1,0
42,20,10.008000,Normal,77.08,77.080000,0.055334,0.012683,11633543647495200375,null,2,1,0
43,30,10.006900,Normal,76.57,76.570000,0.055334,0.012963,5640172564576391019,null,2,1,0
44,40,10.011900,Normal,76.57,76.570000,0.055334,0.012963,13442604047210902029,null,2,1,0
45,50,10.005500,Normal,76.57,76.570000,0.055334,0.012963,16329590515646545778,null,2,1,0
46,60,10.006500,Normal,76.57,76.570000,0.055334,0.012963,16422045157006476828,null,2,1,0
47,70,10.008600,Normal,76.04,76.040000,0.055334,0.013260,1292803100521324247,null,2,1,0
48,80,10.006500,Normal,77.06,77.060000,0.055334,0.012692,8613296958174320461,null,2,1,0
49,90,10.007400,Normal,76.04,76.040000,0.055334,0.013260,11830856291878092296,null,2,1,0
50,100,10.007200,Normal,76.04,76.040000,0.055334,0.013260,12105138495781837264,null,2,1,0
51,110,10.007200,Normal,100,100.000000,22.102700,0.000013,6653922545755018204,null,2,1,0
52,120,10.008900,Normal,76.04,76.040000,0.055334,0.013260,17880902648107898835,null,2,1,0
53,130,10.007800,Normal,77.06,77.060000,0.055334,0.012692,10153423115606200369,null,2,1,0
54,140,10.012200,Normal,76.04,76.040000,0.055334,0.013260,15613253098666377440,null,2,1,0
55,150,10.007500,Normal,76.04,76.040000,0.055334,0.013260,9793106840552221354,null,2,1,0
56,161,10.019200,Normal,77.06,77.060000,0.055334,0.012692,17796341948779874309,null,2,1,0
57,171,10.008500,Normal,77.06,77.060000,0.055334,0.012692,7687560824889475189,null,2,1,0
58,181,10.041300,Normal,77.07,77.070000,0.055334,0.012687,13051935571424999233,null,2,1,0
59,191,10.007900,Normal,79.5,79.500000,0.063222,0.012963,9840127258549639688,null,2,1,0
60,201,10.008300,Normal,77.05,77.050000,0.055334,0.012700,15829683864511839534,null,2,1,0
61,10,10.019300,Normal,42.49,42.490000,0.055334,0.031823,15837001027272843000,null,3,1,0
62,20,10.007000,Normal,39.28,39.280000,0.055334,0.033601,625404552481149274,null,3,1,0
63,30,10.007900,Normal,39.28,39.280000,0.055334,0.033601,6709285937789361054,null,3,1,0
64,40,10.007200,Normal,39.28,39.280000,0.055334,0.033601,12162087210659168310,null,3,1,0
65,50,10.009200,Normal,39.28,39.280000,0.055334,0.033601,440615048405943591,null,3,1,0
66,60,10.009900,Normal,34.17,34.170000,0.055334,0.036425,6130748348547612334,null,3,1,0
67,70,10.017100,Normal,34.35,34.350000,0.055334,0.036328,17859045068493074987,null,3,1,0
68,80,10.010500,Normal,34.35,34.350000,0.055334,0.036328,11276835772564695342,null,3,1,0
69,90,10.013500,Normal,34.35,34.350000,0.055334,0.036328,13793889652341364572,null,3,1,0
70,100,10.020900,Normal,34.35,34.350000,0.055334,0.036328,5102422208661131679,null,3,1,0
71,110,10.012900,Normal,38.79,38.790000,0.055334,0.033872,16270249222214715487,null,3,1,0
72,120,10.023000,Normal,34.35,34.350000,0.055334,0.036328,10131885056861949108,null,3,1,0
73,131,10.019200,Normal,77.08,77.080000,0.055334,0.012683,15133837633365319533,null,3,1,0
74,141,10.009300,Normal,34.18,34.180000,0.055334,0.036422,10844408244558413336,null,3,1,0
75,151,10.010700,Normal,34.5,34.500000,0.055334,0.036246,18102590026685480248,null,3,1,0
76,161,10.011200,Normal,45.4,45.400000,0.055334,0.030213,5319728495035510714,null,3,1,0
77,171,10.013500,Normal,100,100.000000,38.110600,0.000013,7862825466101614482,null,3,1,0
78,181,10.017700,Normal,34.35,34.350000,0.055334,0.036328,16242552706185129687,null,3,1,0
79,191,10.008800,Normal,31.37,31.370000,0.055334,0.037978,10169890500029812705,null,3,1,0
80,201,10.016000,Normal,31.37,31.370000,0.055334,0.037978,5345428000938184340,null,3,1,0
81,10,10.009600,Normal,39.28,39.280000,0.055334,0.033601,15967469245584910126,null,4,1,0
82,20,10.006800,Normal,39.28,39.280000,0.055334,0.033601,17398987104164056686,null,4,1,0
83,30,10.006700,Normal,39.28,39.280000,0.055334,0.033601,10099786704224630259,null,4,1,0
