EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.007565,Normal,8.56,8.560000,25465183.740000,23284468.191680,14921508010286178949,null,0,1,0
2,20,10.007659,Normal,6.99,6.990000,25384025.980000,23608584.545249,8683817217222751575,null,0,1,0
3,30,10.007033,Normal,6.99,6.990000,25384025.980000,23608584.545249,1109746989676116089,null,0,1,0
4,40,10.008413,Normal,6.99,6.990000,25384025.980000,23608584.545249,18425285283540328501,null,0,1,0
5,50,10.007577,Normal,6.99,6.990000,25384025.980000,23608584.545249,16080314484600567712,null,0,1,0
6,60,10.004395,Normal,6.82,6.820000,25404561.420000,23672968.782376,2045221141382991416,null,0,1,0
7,70,10.012016,Normal,10.61,10.610000,25427617.460000,22730519.246865,17648355577354814956,null,0,1,0
8,80,10.006562,Normal,6.95,6.950000,25485408.580000,23713205.327543,10392390143190524088,null,0,1,0
9,90,10.004758,Normal,7.95,7.950000,25358259.180000,23342466.680267,13770116375343405968,null,0,1,0
10,100,10.007839,Normal,7.11,7.110000,25462269.940000,23653084.305770,17688768045539215019,null,0,1,0
11,110,10.005601,Normal,7.11,7.110000,25423309.760000,23615170.036541,15273498181807445162,null,0,1,0
12,120,10.005517,Normal,7.11,7.110000,25423309.760000,23615170.036541,8774218735760563753,null,0,1,0
13,130,10.005449,Normal,7.06,7.060000,25298127.300000,23510958.851261,6197906647821418528,null,0,1,0
14,140,10.005341,Normal,6.82,6.820000,25404561.420000,23672968.782376,10666471106627947181,null,0,1,0
15,150,10.006878,Normal,6.94,6.940000,25245204.820000,23493032.801708,5475801925244789900,null,0,1,0
16,160,10.005800,Normal,8.44,8.440000,25353306.180000,23214151.633485,432407992805173716,null,0,1,0
17,170,10.004832,Normal,8.02,8.020000,25446135.060000,23406470.469866,111237599271905998,null,0,1,0
18,180,10.005980,Normal,6.82,6.820000,25404561.420000,23672968.782376,8922813005609054591,null,0,1,0
19,190,10.006883,Normal,6.95,6.950000,25355342.800000,23593959.945258,4757994463665999083,null,0,1,0
20,200,10.007376,Normal,8.97,8.970000,25519608.980000,23231423.192583,10346973009034893901,null,0,1,0
21,10,10.006600,Normal,9.76,9.760000,25531400.000000,23039500.000000,6439873165248256756,null,1,1,0
22,20,10.004200,Normal,8.6,8.600000,25194900.000000,23027400.000000,11255561039145532449,null,1,1,0
23,30,10.003000,Normal,8.6,8.600000,25194900.000000,23027400.000000,13537950976286585776,null,1,1,0
24,40,10.006700,Normal,9.27,9.270000,25376800.000000,23024600.000000,1543992123533599919,null,1,1,0
25,50,10.003200,Normal,8.6,8.600000,25194900.000000,23027400.000000,14009712684742254439,null,1,1,0
26,60,10.004500,Normal,6.94,6.940000,25246500.000000,23493800.000000,9152225097391836983,null,1,1,0
27,70,10.004600,Normal,6.94,6.940000,25246500.000000,23493800.000000,7175277100558198735,null,1,1,0
28,80,10.004400,Normal,6.94,6.940000,25246500.000000,23493800.000000,10916087405892859718,null,1,1,0
29,90,10.004600,Normal,7.44,7.440000,25376900.000000,23488200.000000,9543194682814193745,null,1,1,0
30,100,10.004400,Normal,6.94,6.940000,25246500.000000,23493800.000000,17608610080010624073,null,1,1,0
31,110,10.007600,Normal,8.9,8.900000,25286100.000000,23035900.000000,4296045147399869194,null,1,1,0
32,120,10.005600,Normal,7.56,7.560000,25229300.000000,23321900.000000,3684839894587016456,null,1,1,0
33,130,10.004000,Normal,7.92,7.920000,25303000.000000,23298200.000000,1749019705656394417,null,1,1,0
34,140,10.004800,Normal,7.92,7.920000,25451500.000000,23434800.000000,10860709108795919391,null,1,1,0
35,150,10.003900,Normal,6.94,6.940000,25246500.000000,23493800.000000,14593393052767272667,null,1,1,0
36,160,10.007300,Normal,7.97,7.970000,25465200.000000,23436700.000000,3301044447001811835,null,1,1,0
37,170,10.013800,Normal,10.99,10.990000,25342100.000000,22555900.000000,5135979093904552789,null,1,1,0
38,180,10.007800,Normal,9.29,9.290000,25615500.000000,23234800.000000,4926025939804311134,null,1,1,0
39,190,10.005000,Normal,8.74,8.740000,25306800.000000,23095500.000000,12323411933568391820,null,1,1,0
40,200,10.004600,Normal,8.85,8.850000,25452900.000000,23201000.000000,7872364039541461097,null,1,1,0
41,10,10.005900,Normal,6.89,6.890000,25328700.000000,23582500.000000,11502841505915629043,null,2,1,0
42,20,10.005100,Normal,7.95,7.950000,25358300.000000,23342500.000000,9540605019386224781,null,2,1,0
43,30,10.003400,Normal,7.41,7.410000,25344000.000000,23466900.000000,506689512661984095,null,2,1,0
44,40,10.004300,Normal,8.61,8.610000,25348200.000000,23166600.000000,16534604556155127503,null,2,1,0
45,50,10.005100,Normal,6.86,6.860000,25347800.000000,23609400.000000,632225661182783722,null,2,1,0
46,60,10.116800,Normal,10.44,10.440000,25504400.000000,22840900.000000,1999079447715496210,null,2,1,0
47,70,10.005000,Normal,6.86,6.860000,25347800.000000,23609400.000000,16268028170427216568,null,2,1,0
48,80,10.062100,Normal,7.48,7.480000,25340200.000000,23444700.000000,5552503888807831841,null,2,1,0
49,90,10.004500,Normal,6.9,6.900000,25340200.000000,23591000.000000,17922463565195657918,null,2,1,0
50,100,10.004800,Normal,6.86,6.860000,25347800.000000,23609400.000000,5718821595283688812,null,2,1,0
51,110,10.006400,Normal,7.47,7.470000,25275000.000000,23385800.000000,12778660238219623074,null,2,1,0
52,120,10.005200,Normal,6.93,6.930000,25347800.000000,23590900.000000,3439418906284764261,null,2,1,0
53,130,10.005500,Normal,7.47,7.470000,25275000.000000,23385800.000000,7832137833207406273,null,2,1,0
54,140,10.005600,Normal,7.06,7.060000,25298100.000000,23511000.000000,1442520126472700302,null,2,1,0
55,150,10.005000,Normal,6.84,6.840000,25347800.000000,23614800.000000,12375005037306388118,null,2,1,0
56,160,10.005800,Normal,6.75,6.750000,25430800.000000,23715300.000000,999897896715151995,null,2,1,0
57,170,10.005100,Normal,6.82,6.820000,25404600.000000,23673000.000000,14288007518018841423,null,2,1,0
58,180,10.005700,Normal,6.75,6.750000,25430800.000000,23715300.000000,15050398162588286527,null,2,1,0
59,190,10.005200,Normal,7.8,7.800000,25561800.000000,23569200.000000,13759827164105321358,null,2,1,0
60,200,10.005000,Normal,7.3,7.300000,25265600.000000,23421700.000000,4731333611765907596,null,2,1,0
61,10,10.008500,Normal,8.59,8.590000,25351600.000000,23174100.000000,12710294232408245987,null,3,1,0
62,20,10.007900,Normal,8.59,8.590000,25351600.000000,23174100.000000,14141972750826331920,null,3,1,0
63,30,10.007900,Normal,8.59,8.590000,25351600.000000,23174100.000000,15280887202162191513,null,3,1,0
64,40,10.004400,Normal,8.46,8.460000,25396200.000000,23247100.000000,11044171371282847915,null,3,1,0
65,50,10.007900,Normal,9.1,9.100000,25479000.000000,23160500.000000,9492125232921463513,null,3,1,0
66,60,10.005200,Normal,8.33,8.330000,25374400.000000,23261400.000000,3175566810955893155,null,3,1,0
67,70,10.008800,Normal,8.19,8.190000,25449900.000000,23366400.000000,12241252699045400946,null,3,1,0
68,80,10.004200,Normal,7.83,7.830000,25413400.000000,23423400.000000,16537632856948465281,null,3,1,0
69,90,10.004200,Normal,8.19,8.190000,25351800.000000,23276100.000000,2306657409364679516,null,3,1,0
70,100,10.004800,Normal,7.83,7.830000,25413400.000000,23423400.000000,2948641305056821729,null,3,1,0
71,110,10.004300,Normal,7.83,7.830000,25413400.000000,23423400.000000,14820844066658223111,null,3,1,0
72,120,10.003800,Normal,7.83,7.830000,25413400.000000,23423400.000000,10385119442848679437,null,3,1,0
