EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.015982,Normal,5.69,5.690000,24292.060492,22909.367407,14921508010286178949,null,0,1,0
2,20,10.007578,Normal,5.47,5.470000,24330.429034,22998.365986,2823934824078185206,null,0,1,0
3,30,10.009361,Normal,5.47,5.470000,24330.429034,22998.365986,14403042972698526843,null,0,1,0
4,40,10.014309,Normal,5.39,5.390000,24256.312290,22949.180141,17878160102696106270,null,0,1,0
5,50,10.007834,Normal,3.63,3.630000,24538.552420,23648.303146,4610383330787987577,null,0,1,0
6,60,10.006803,Normal,3.63,3.630000,24538.552420,23648.303146,10074156645432980067,null,0,1,0
7,70,10.006168,Normal,3.63,3.630000,24538.552420,23648.303146,6746849854420353714,null,0,1,0
8,80,10.006813,Normal,3.63,3.630000,24538.552420,23648.303146,2421709667339035552,null,0,1,0
9,90,10.007491,Normal,3.83,3.830000,24538.552420,23599.429522,6106572741746675747,null,0,1,0
10,100,10.007316,Normal,3.66,3.660000,24538.552420,23640.519637,6730956750505102071,null,0,1,0
11,110,10.015734,Normal,6.88,6.880000,24379.571835,22702.379139,6265531682191140316,null,0,1,0
12,120,10.007271,Normal,3.62,3.620000,24538.552420,23649.290275,1705464082608233664,null,0,1,0
13,131,10.006695,Normal,3.75,3.750000,24538.552420,23617.166151,17372718802641385376,null,0,1,0
14,141,10.007791,Normal,3.32,3.320000,24420.652797,23609.968644,12689002922368169241,null,0,1,0
15,151,10.005807,Normal,3.32,3.320000,24420.652797,23610.815469,14364073070555577742,null,0,1,0
16,161,10.006649,Normal,3.3,3.300000,24420.652797,23615.141283,8591867449854638102,null,0,1,0
17,171,10.009156,Normal,5.51,5.510000,24355.461268,23012.689114,16549230844864244406,null,0,1,0
18,181,10.006539,Normal,5.84,5.840000,24340.632943,22918.805533,12621186649434764587,null,0,1,0
19,191,10.008232,Normal,3.32,3.320000,24420.652797,23609.968644,1072798369871811712,null,0,1,0
20,201,10.010371,Normal,3.87,3.870000,24340.432888,23398.943978,1939653278747048343,null,0,1,0
21,10,10.009600,Normal,6.61,6.610000,24425.600000,22810.600000,8723278136865304665,null,1,1,0
22,20,10.008500,Normal,6.09,6.090000,24341.600000,22858.000000,4970148594231515670,null,1,1,0
23,30,10.007800,Normal,6.09,6.090000,24341.600000,22858.000000,6270648273501389222,null,1,1,0
24,40,10.006900,Normal,3.6,3.600000,24538.600000,23655.200000,7005699763924148893,null,1,1,0
25,50,10.005900,Normal,4.25,4.250000,24762.900000,23711.200000,15979611459582699206,null,1,1,0
26,60,10.008100,Normal,3.66,3.660000,24538.600000,23640.500000,9235918253684584789,null,1,1,0
27,70,10.009000,Normal,3.66,3.660000,24538.600000,23640.500000,11525445786885756817,null,1,1,0
28,80,10.015600,Normal,4.82,4.820000,24340.400000,23166.900000,10685895765528384890,null,1,1,0
29,90,10.006600,Normal,3.6,3.600000,24538.600000,23655.200000,10520936971625836125,null,1,1,0
30,100,10.012100,Normal,3.61,3.610000,24330.300000,23451.800000,278222512892297817,null,1,1,0
31,110,10.009300,Normal,3.47,3.470000,24330.400000,23485.200000,4710357691230478784,null,1,1,0
32,120,10.005700,Normal,3.12,3.120000,24330.400000,23572.400000,3136782868967201015,null,1,1,0
33,131,10.006600,Normal,3.53,3.530000,24471.300000,23607.700000,9986728115198164946,null,1,1,0
34,141,10.005900,Normal,3.24,3.240000,24330.400000,23543.300000,5028589691655678503,null,1,1,0
35,151,10.012900,Normal,2.88,2.880000,24341.600000,23640.100000,2104375973841821501,null,1,1,0
36,161,10.006900,Normal,3.3,3.300000,24420.700000,23615.100000,13334397193118931079,null,1,1,0
37,171,10.019700,Normal,2.88,2.880000,24341.600000,23640.100000,5540972423453390687,null,1,1,0
38,181,10.006600,Normal,3.34,3.340000,24379.900000,23565.200000,5261936907598009978,null,1,1,0
39,191,10.005500,Normal,3.12,3.120000,24340.800000,23580.500000,3577289476986793572,null,1,1,0
40,201,10.018100,Normal,2.88,2.880000,24341.600000,23640.100000,4453820730471155688,null,1,1,0
41,10,10.014300,Normal,6.19,6.190000,24379.600000,22870.200000,15446065792237984030,null,2,1,0
42,20,10.014200,Normal,6.19,6.190000,24379.600000,22870.200000,4202048695090355429,null,2,1,0
43,30,10.052800,Normal,6.67,6.670000,24322.700000,22700.700000,1438553583210240060,null,2,1,0
44,40,10.118200,Normal,5.44,5.440000,24333.300000,23008.400000,18348230643339525308,null,2,1,0
45,50,10.082200,Normal,5.42,5.420000,24333.300000,23014.500000,6208512101835203053,null,2,1,0
46,60,10.110000,Normal,5.79,5.790000,24333.300000,22924.700000,12984883052126952833,null,2,1,0
47,70,10.062100,Normal,5.42,5.420000,24333.300000,23014.500000,9701526623205643850,null,2,1,0
48,81,10.073600,Normal,5.42,5.420000,24333.300000,23014.500000,5682128338272986850,null,2,1,0
49,91,10.102200,Normal,5.38,5.380000,24322.700000,23014.500000,10458524752623688849,null,2,1,0
50,101,10.016900,Normal,5.56,5.560000,24333.300000,22981.100000,5620845437657455648,null,2,1,0
51,111,10.073800,Normal,5.42,5.420000,24333.300000,23014.500000,17990570069789909002,null,2,1,0
52,121,10.039500,Normal,5.42,5.420000,24333.300000,23014.500000,2776901573275639388,null,2,1,0
53,131,10.022000,Normal,5.42,5.420000,24333.300000,23014.500000,6710516153966101831,null,2,1,0
54,141,10.018600,Normal,5.6,5.600000,24379.600000,23014.100000,11062700621458183084,null,2,1,0
55,151,10.051100,Normal,5.42,5.420000,24333.300000,23014.500000,3587701702332308507,null,2,1,0
56,161,10.065300,Normal,5.42,5.420000,24333.300000,23014.500000,9524565858979211982,null,2,1,0
57,171,10.037000,Normal,5.42,5.420000,24333.300000,23014.500000,4286716970678425734,null,2,1,0
58,182,10.016100,Normal,5.6,5.600000,24379.600000,23014.100000,18371217476836938862,null,2,1,0
59,192,10.013100,Normal,3.65,3.650000,24379.600000,23489.000000,10777838998439997627,null,2,1,0
60,202,10.012300,Normal,3.65,3.650000,24379.600000,23489.000000,6278165399528402737,null,2,1,0
61,10,10.016200,Normal,4.82,4.820000,24340.400000,23166.900000,14075347302301588864,null,3,1,0
62,20,10.013100,Normal,4.82,4.820000,24340.400000,23166.900000,13805086800485329465,null,3,1,0
63,30,10.017200,Normal,4.82,4.820000,24340.400000,23166.900000,14167589269659174657,null,3,1,0
64,40,10.017600,Normal,4.82,4.820000,24340.400000,23166.900000,14474151713492844321,null,3,1,0
65,50,10.009200,Normal,5.63,5.630000,24300.400000,22932.300000,16887099114260268141,null,3,1,0
66,60,10.013700,Normal,4.63,4.630000,24310.100000,23184.200000,8492922454319531633,null,3,1,0
67,70,10.015000,Normal,6.06,6.060000,24666.200000,23170.400000,16795453509471413601,null,3,1,0
68,80,10.011400,Normal,4.52,4.520000,24310.100000,23211.300000,13927715352738031709,null,3,1,0
69,90,10.092500,Normal,5.38,5.380000,24322.700000,23014.500000,3846049980447777933,null,3,1,0
70,100,10.008300,Normal,5.06,5.060000,24256.500000,23028.300000,504850898378593203,null,3,1,0
71,110,10.011400,Normal,4.71,4.710000,24379.400000,23230.000000,15397220138055824920,null,3,1,0
72,121,10.016100,Normal,6.36,6.360000,24391.100000,22840.300000,16797812761262202633,null,3,1,0
73,131,10.007300,Normal,4.52,4.520000,24310.100000,23211.300000,8519393104724360209,null,3,1,0
74,141,10.006800,Normal,4.52,4.520000,24310.100000,23211.300000,7854969056609153865,null,3,1,0
75,151,10.006200,Normal,4.63,4.630000,24310.100000,23184.200000,10156028628810892034,null,3,1,0
76,161,10.011200,Normal,4.52,4.520000,24310.100000,23211.300000,630854402241448944,null,3,1,0
77,171,10.023800,Normal,6.06,6.060000,24666.200000,23170.400000,13035104774403606560,null,3,1,0
78,181,10.007800,Normal,4.52,4.520000,24310.100000,23211.300000,2849335538192298173,null,3,1,0
79,191,10.013500,Normal,4.37,4.370000,24362.800000,23298.600000,16797338061110740770,null,3,1,0
80,201,10.015300,Normal,4.37,4.370000,24362.800000,23298.600000,7187691091172606636,null,3,1,0
81,10,10.020000,Normal,6.74,6.740000,24379.600000,22736.800000,3607391237478288220,null,4,1,0
82,20,10.017900,Normal,6.74,6.740000,24379.600000,22736.800000,17425034657188371328,null,4,1,0
83,30,10.017800,Normal,6.74,6.740000,24379.600000,22736.800000,3517342209003059921,null,4,1,0
84,40,10.018600,Normal,6.87,6.870000,24379.600000,22703.600000,4852650198527644781,null,4,1,0
85,50,10.019600,Normal,6.74,6.740000,24379.600000,22736.800000,15772103726656257983,null,4,1,0
86,60,10.014800,Normal,6.88,6.880000,24379.600000,22702.400000,675707202377360244,null,4,1,0
87,70,10.013500,Normal,4.9,4.900000,24605.500000,23400.600000,9264880667971328282,null,4,1,0
88,80,10.009400,Normal,2.12,2.120000,24379.600000,23863.200000,2585152864158812208,null,4,1,0
89,90,10.011400,Normal,4.56,4.560000,24922.300000,23785.000000,3147649134548714649,null,4,1,0
90,100,10.007900,Normal,2.12,2.120000,24379.600000,23863.200000,10647621060704497377,null,4,1,0
91,110,10.012800,Normal,3.5,3.500000,24561.000000,23700.300000,10024374159729841233,null,4,1,0
92,120,10.007700,Normal,2.13,2.130000,24379.600000,23860.400000,12712650633873986126,null,4,1,0
93,131,10.009600,Normal,3.44,3.440000,24379.600000,23540.200000,4131727392665907674,null,4,1,0
94,141,10.006700,Normal,4.53,4.530000,24640.000000,23523.900000,2957144705405301488,null,4,1,0
95,151,10.006600,Normal,2.1,2.100000,24379.600000,23866.500000,13043793588510943834,null,4,1,0
96,161,10.013300,Normal,6.19,6.190000,24379.600000,22870.200000,889439800028065934,null,4,1,0
97,171,10.011800,Normal,4.56,4.560000,24922.300000,23785.000000,12918323137690095499,null,4,1,0
98,181,10.014700,Normal,5.33,5.330000,24490.500000,23186.000000,5719568577856319351,null,4,1,0
99,191,10.008000,Normal,2.12,2.120000,24379.600000,23863.000000,16291320715318382941,null,4,1,0
100,201,10.008600,Normal,3.1,3.100000,24379.600000,23624.400000,685541427277510400,null,4,1,0
101,10,10.020200,Normal,6.74,6.740000,24379.600000,22736.800000,6128791737735043497,null,5,1,0
102,20,10.016600,Normal,6.74,6.740000,24379.600000,22736.800000,7476122385861717275,null,5,1,0
103,30,10.017600,Normal,6.74,6.740000,24379.600000,22736.800000,902467761583244035,null,5,1,0
104,40,10.015300,Normal,6.74,6.740000,24379.600000,22736.800000,2367558522957212399,null,5,1,0
105,50,10.009200,Normal,5.33,5.330000,24790.600000,23468.000000,11706000648323783891,null,5,1,0
106,60,10.064500,Normal,2.78,2.780000,24364.500000,23686.200000,6472551375322164322,null,5,1,0
107,70,10.010000,Normal,4.02,4.020000,24676.200000,23685.400000,13585868199920857310,null,5,1,0
108,80,10.012200,Normal,4.49,4.490000,24779.800000,23666.900000,282880460482746838,null,5,1,0
109,90,10.020600,Normal,2.71,2.710000,24364.500000,23705.200000,15859369196209056834,null,5,1,0
110,100,10.010500,Normal,4.02,4.020000,24676.200000,23685.400000,9234036912280917155,null,5,1,0
111,110,10.022900,Normal,4.02,4.020000,24676.200000,23685.400000,5194255628489355786,null,5,1,0
