EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.025683,Normal,20.92,20.920000,242.000000,191.381608,14921508010286178949,null,0,1,0
2,20,10.029785,Normal,20.92,20.920000,242.000000,191.381608,10101538263502436884,null,0,1,0
3,30,10.030046,Normal,4.44,4.440000,240.000000,229.339689,10346973009034893901,null,0,1,0
4,40,10.029668,Normal,4.44,4.440000,240.000000,229.339689,18069049565768102882,null,0,1,0
5,50,10.022201,Normal,4.44,4.440000,240.000000,229.339689,12888482828633900124,null,0,1,0
6,60,10.026154,Normal,58.06,58.060000,256.000000,107.378212,10475899001479897097,null,0,1,0
7,70,10.028892,Normal,75.82,75.820000,280.000000,67.711366,11017550653942288753,null,0,1,0
8,80,10.029462,Normal,6.75,6.750000,246.000000,229.386008,420951247554274736,null,0,1,0
9,90,10.027205,Normal,8.01,8.010000,249.000000,229.059410,5276140004852783394,null,0,1,0
10,100,10.023036,Normal,4.44,4.440000,240.000000,229.339689,11881378668426770804,null,0,1,0
11,110,10.027525,Normal,4.44,4.440000,240.000000,229.339689,15956713994372219932,null,0,1,0
12,120,10.023677,Normal,4.44,4.440000,240.000000,229.339689,12406061198253441225,null,0,1,0
13,130,10.024404,Normal,4.44,4.440000,240.000000,229.339689,18376070986783721600,null,0,1,0
14,140,10.032626,Normal,1.74,1.740000,233.000000,228.950188,5672817812757806089,null,0,1,0
15,150,10.028724,Normal,1.74,1.740000,233.000000,228.950188,18259933959672450101,null,0,1,0
16,160,10.021685,Normal,1.74,1.740000,233.000000,228.950188,1625752819876667446,null,0,1,0
17,170,10.027649,Normal,58.54,58.540000,243.000000,100.754912,11525842961022546707,null,0,1,0
18,181,10.033477,Normal,1.48,1.480000,233.000000,229.556353,5612135488525219871,null,0,1,0
19,191,10.025418,Normal,7.08,7.080000,247.000000,229.509575,7761164443929854530,null,0,1,0
20,201,10.035074,Normal,1.48,1.480000,233.000000,229.556353,4856652580378920354,null,0,1,0
21,10,10.026900,Normal,4.82,4.820000,236.000000,224.632000,9686720361045965965,null,1,1,0
22,20,10.026900,Normal,5.44,5.440000,236.000000,223.158000,14977320980139403669,null,1,1,0
