EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.003627,28.46,28.460000,444.000000,317.630345,14921508010286178949,null,0,1,0
2,20,10.003831,28.92,28.920000,440.000000,312.761663,5643427149002281568,null,0,1,0
3,30,10.003327,16.17,16.170000,383.000000,321.062115,2823934824078185206,null,0,1,0
4,40,10.003608,9.87,9.870000,355.000000,319.958552,4953176355233792838,null,0,1,0
5,50,10.002948,11.38,11.380000,362.000000,320.802096,2604638866072876193,null,0,1,0
6,60,10.003808,26.57,26.570000,429.000000,314.997902,6310899559831387469,null,0,1,0
7,70,10.005837,22.54,22.540000,406.000000,314.501092,3372698482070746358,null,0,1,0
8,80,10.003754,26.57,26.570000,429.000000,314.997902,11442258917582082702,null,0,1,0
9,90,10.003319,27.3,27.300000,432.000000,314.077386,8683817217222751575,null,0,1,0
10,100,10.002697,9.8,9.800000,355.000000,320.206825,8071945389768871570,null,0,1,0
11,110,10.003914,23.06,23.060000,414.000000,318.519876,827958840559540032,null,0,1,0
12,120,10.004707,16.17,16.170000,383.000000,321.062115,12551533722498806011,null,0,1,0
13,130,10.003444,13.72,13.720000,369.000000,318.363974,14195549521830747564,null,0,1,0
14,140,10.003273,14.45,14.450000,371.000000,317.399095,15236955862970317114,null,0,1,0
15,150,10.008139,26.57,26.570000,429.000000,314.997902,2851038404077864412,null,0,1,0
16,160,10.002786,9.83,9.830000,355.000000,320.091548,11537749703298157585,null,0,1,0
17,170,10.002656,9.83,9.830000,355.000000,320.091548,8949151972542460732,null,0,1,0
18,180,10.004355,16.17,16.170000,383.000000,321.062115,11489867381881046616,null,0,1,0
19,190,10.002823,9.8,9.800000,355.000000,320.206825,9417493931298036217,null,0,1,0
20,200,10.002205,15.93,15.930000,370.000000,311.068829,13485079033846158370,null,0,1,0
21,210,10.003805,15.82,15.820000,373.000000,313.976629,704091313896644056,null,0,1,1
22,220,10.002874,25.18,25.180000,420.000000,314.245452,11608955694309284439,null,0,1,1
23,230,10.002973,25.18,25.180000,420.000000,314.245452,3626314165626759197,null,0,1,1
24,240,10.003321,25.18,25.180000,420.000000,314.245452,4619535278530607273,null,0,1,1
25,250,10.003952,16.32,16.320000,379.000000,317.134840,8236151666951960061,null,0,1,1
26,260,10.004372,20,20.000000,396.000000,316.799770,18171772870269935686,null,0,1,1
27,270,10.004477,14.55,14.550000,370.000000,316.149610,11664994358324944978,null,0,1,1
28,280,10.004386,14.55,14.550000,370.000000,316.149610,4596296865632925161,null,0,1,1
29,290,10.004180,36.19,36.190000,493.000000,314.582315,2590069470586792297,null,0,1,1
30,300,10.003674,28.02,28.020000,434.000000,312.413173,1805126732223599790,null,0,1,1
31,310,10.003912,11.54,11.540000,367.000000,324.663334,10788386600904442730,null,0,1,1
32,320,10.002705,15.57,15.570000,371.000000,313.224310,2928496926716060026,null,0,1,1
33,330,10.003534,31.53,31.530000,455.000000,311.521191,3606928704334778631,null,0,1,1
34,340,10.008216,28.45,28.450000,437.000000,312.692396,4929743120804067201,null,0,1,1
35,350,10.003691,25.09,25.090000,422.000000,316.119550,4411138827394782419,null,0,1,1
36,360,10.003042,14.2,14.200000,363.000000,311.446274,5359615198132789222,null,0,1,1
37,370,10.003570,29.74,29.740000,452.000000,317.572665,7515757410551079927,null,0,1,1
38,380,10.003367,26.38,26.380000,426.000000,313.609829,10317566397240379496,null,0,1,1
39,390,10.003713,26.95,26.950000,434.000000,317.057410,2021554967897161955,null,0,1,1
