EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,10,10.010122,59.24,59.240000,0.055334,0.022553,14921508010286178949,null,0,1,0
2,20,10.009074,49.93,49.930000,0.055334,0.027705,8683817217222751575,null,0,1,0
3,30,10.007269,50.66,50.660000,0.055334,0.027304,1109746989676116089,null,0,1,0
4,40,10.028523,48.73,48.730000,0.055334,0.028369,18425285283540328501,null,0,1,0
5,50,10.007649,48.51,48.510000,0.055334,0.028492,6070537763972133232,null,0,1,0
6,60,10.007501,49.93,49.930000,0.055334,0.027705,13494046617019581979,null,0,1,0
7,70,10.011620,61.54,61.540000,0.055334,0.021283,9960690304014733197,null,0,1,0
8,80,10.022892,50.55,50.550000,0.055334,0.027360,4789118022543022829,null,0,1,0
9,90,10.108023,41.83,41.830000,0.055334,0.032187,3925125927789875461,null,0,1,0
10,100,10.009240,42.74,42.740000,0.055334,0.031682,8206765038080369564,null,0,1,0
11,111,10.014673,42.56,42.560000,0.055334,0.031785,15127331461289220412,null,0,1,0
12,121,10.010197,49.43,49.430000,0.055334,0.027985,15638351488002696565,null,0,1,0
13,131,10.008583,42.72,42.720000,0.055334,0.031694,10934190324494141854,null,0,1,0
14,141,10.047864,99.97,99.970000,0.055334,0.000015,4772406587917220296,null,0,1,0
15,151,10.060775,41.83,41.830000,0.055334,0.032187,8967357670990807720,null,0,1,0
16,161,10.007001,42.72,42.720000,0.055334,0.031694,11676590884373626857,null,0,1,0
17,171,10.011723,100,100.000000,38.110578,0.000013,16709604876307541025,null,0,1,0
18,181,10.070028,41.83,41.830000,0.055334,0.032187,11416870107029422098,null,0,1,0
19,191,10.007549,42.72,42.720000,0.055334,0.031694,2700741267604522126,null,0,1,0
20,201,10.007027,42.03,42.030000,0.055334,0.032075,171285964422343071,null,0,1,0
21,10,10.014500,74.66,74.660000,0.055334,0.014023,6439873165248256756,null,1,1,0
22,20,10.012000,74.66,74.660000,0.055334,0.014023,11255561039145532449,null,1,1,0
23,30,10.028800,74.41,74.410000,0.055334,0.014158,16491404846762771235,null,1,1,0
24,40,10.007800,74.41,74.410000,0.055334,0.014158,4569552427967643073,null,1,1,0
25,50,10.015500,74.41,74.410000,0.055334,0.014158,5212968674792936681,null,1,1,0
26,60,10.017900,74.41,74.410000,0.055334,0.014158,8809107036824656699,null,1,1,0
27,70,10.009900,66.37,66.370000,0.055334,0.018610,2124134745575245083,null,1,1,0
28,80,10.007600,66.37,66.370000,0.055334,0.018610,17448994907849059821,null,1,1,0
29,90,10.038200,66.37,66.370000,0.055334,0.018610,11630394027452693141,null,1,1,0
30,100,10.015100,66.37,66.370000,0.055334,0.018610,3835054278916981086,null,1,1,0
31,111,10.012400,66.37,66.370000,0.055334,0.018610,4865856817145733078,null,1,1,0
32,121,10.017700,68.48,68.480000,0.055334,0.017439,17875557734324739600,null,1,1,0
33,131,10.014100,66.37,66.370000,0.055334,0.018610,12903383817105935655,null,1,1,0
34,141,10.086800,82.17,82.170000,0.071123,0.012683,15506577695434087396,null,1,1,0
35,151,10.007900,66.37,66.370000,0.055334,0.018610,11878923711698671886,null,1,1,0
36,161,10.015400,66.37,66.370000,0.055334,0.018610,5757089297377832542,null,1,1,0
37,171,10.008000,46.67,46.670000,0.055334,0.029508,2420235851086933429,null,1,1,0
38,181,10.008300,51.37,51.370000,0.055334,0.026909,11013594992548684689,null,1,1,0
39,191,10.015100,51.37,51.370000,0.055334,0.026909,13548944046915555443,null,1,1,0
40,201,10.009800,50.21,50.210000,0.055334,0.027553,3301044447001811835,null,1,1,0
41,211,10.004522,41.83,41.830000,0.055334,0.032187,5385792137849125039,null,0,1,1
42,221,10.008979,42.56,42.560000,0.055334,0.031785,4981168173514408370,null,0,1,1
43,232,10.008948,42.56,42.560000,0.055334,0.031785,6701295162310541246,null,0,1,1
44,242,10.010728,42.72,42.720000,0.055334,0.031694,1264959708263095939,null,0,1,1
45,252,10.011188,38.58,38.580000,0.055334,0.033988,2247817678647979641,null,0,1,1
46,211,10.007524,42.79,42.790000,0.055334,0.031656,16188178842280152776,null,1,1,1
47,221,10.010311,42.72,42.720000,0.055334,0.031694,768772450879206780,null,1,1,1
48,232,10.010746,42.79,42.790000,0.055334,0.031656,17158552259559514937,null,1,1,1
49,242,10.009262,42.78,42.780000,0.055334,0.031662,1641733534743431257,null,1,1,1
50,252,10.009890,42.76,42.760000,0.055334,0.031675,374946854627541080,null,1,1,1
51,262,10.036091,38.5,38.500000,0.055334,0.034031,957912584517951730,null,0,2,0
52,272,10.016498,39.9,39.900000,0.055334,0.033254,3711954472610807883,null,0,2,0
53,282,10.004335,38.5,38.500000,0.055334,0.034031,4066343914244900607,null,0,2,0
54,292,10.010498,39.22,39.220000,0.055334,0.033631,11458531692477279895,null,0,2,0
55,302,10.015447,39.26,39.260000,0.055334,0.033612,17378619632027359651,null,0,2,0
56,312,10.011022,39.05,39.050000,0.055334,0.033727,16511791936945125503,null,0,2,0
57,322,10.025189,48.51,48.510000,0.055334,0.028492,14910844560831956651,null,0,2,0
58,333,10.268317,38.5,38.500000,0.055334,0.034031,5184238901949773282,null,0,2,0
59,343,10.011366,39.2,39.200000,0.055334,0.033641,452239020390909189,null,0,2,0
60,262,10.009200,38.16,38.160000,0.055334,0.034219,2247817678647979642,1,1,2,0
61,272,10.005000,37.08,37.080000,0.055334,0.034814,4066343914244900592,1,1,2,0
62,282,10.006000,37.08,37.080000,0.055334,0.034814,10610306471566748567,1,1,2,0
63,292,10.010800,37.08,37.080000,0.055334,0.034814,6941987793374160706,1,1,2,0
64,302,10.005600,37.15,37.150000,0.055334,0.034778,11711040722745648979,1,1,2,0
65,312,10.014100,51.64,51.640000,0.055334,0.026758,3350505232432795358,1,1,2,0
66,323,10.019000,37.67,37.670000,0.055334,0.034490,784098175304979404,1,1,2,0
67,333,10.019100,38.43,38.430000,0.055334,0.034069,11739148345880020693,1,1,2,0
68,343,10.005600,37.15,37.150000,0.055334,0.034778,14704526368840995953,1,1,2,0
69,353,10.012472,52.68,52.680000,0.055334,0.026184,16933411310655240627,null,0,2,1
70,363,10.029229,56.41,56.410000,0.055334,0.024121,2866467779824439492,null,0,2,1
71,373,10.012009,38.93,38.930000,0.055334,0.033794,14985017772863710320,null,0,2,1
72,383,10.017958,65.66,65.660000,0.055334,0.019000,16315720566040847897,null,0,2,1
73,393,10.021682,39.05,39.050000,0.055334,0.033727,4382015305072651822,null,0,2,1
74,403,10.022279,64.47,64.470000,0.055334,0.019659,1968564412771282911,null,0,2,1
75,413,10.012605,64.36,64.360000,0.055334,0.019719,470465782831595473,null,0,2,1
76,423,10.008298,65.62,65.620000,0.055334,0.019024,3707957267584697076,null,0,2,1
77,353,10.009225,41.59,41.590000,0.055334,0.032321,6611914459495013082,null,1,2,1
78,363,10.014143,42.82,42.820000,0.055334,0.031638,12513537807541297478,null,1,2,1
79,373,10.008962,42.7,42.700000,0.055334,0.031707,4407823396034607395,null,1,2,1
80,383,10.016190,40.83,40.830000,0.055334,0.032741,18279218920312473741,null,1,2,1
81,393,10.011083,39.43,39.430000,0.055334,0.033514,3498506978001586538,null,1,2,1
82,403,10.011130,39.9,39.900000,0.055334,0.033254,13615624775399263888,null,1,2,1
83,413,10.007580,39.93,39.930000,0.055334,0.033241,18237916612336836333,null,1,2,1
84,423,10.016064,37.03,37.030000,0.055334,0.034843,8010362951182450586,null,1,2,1
85,434,10.019683,60.32,60.320000,0.055334,0.021957,4329936956651213611,null,0,3,0
86,444,10.018581,34.67,34.670000,0.055334,0.036148,7857769763485468103,null,0,3,0
87,454,10.018207,38.94,38.940000,0.055334,0.033785,783582783542201328,null,0,3,0
88,464,10.028081,63.06,63.060000,0.055334,0.020439,6002806909833084922,null,0,3,0
89,474,10.022606,45.61,45.610000,0.055334,0.030096,16229863199989797006,null,0,3,0
90,484,10.039781,34.67,34.670000,0.055334,0.036148,13634766171657288722,null,0,3,0
91,494,10.011707,47.1,47.100000,0.055334,0.029272,8845412941675645936,null,0,3,0
92,504,10.044265,35.12,35.120000,0.055334,0.035900,11122972384713240986,null,0,3,0
93,514,10.005131,34.62,34.620000,0.055334,0.036178,15899182194688417049,null,0,3,0
94,524,10.073718,53.06,53.060000,0.055334,0.025974,5602183050493597455,null,0,3,0
95,535,10.291154,34.97,34.970000,0.055334,0.035982,9591534532227707211,null,0,3,0
96,545,10.045692,34.97,34.970000,0.055334,0.035982,17991907681451168694,null,0,3,0
97,555,10.021661,41.59,41.590000,0.055334,0.032321,2818576142623692026,null,0,3,0
98,565,10.022443,35.73,35.730000,0.055334,0.035564,7603792119886781143,null,0,3,0
99,575,10.009590,35.58,35.580000,0.055334,0.035647,10257574800267059790,null,0,3,0
100,434,10.006900,39.9,39.900000,0.055334,0.033253,8010362951182450585,1,1,3,0
101,444,10.005600,39.92,39.920000,0.055334,0.033245,16764312050620349508,1,1,3,0
102,454,10.008600,42.79,42.790000,0.055334,0.031656,42407555769483436,1,1,3,0
103,464,10.005500,40.8,40.800000,0.055334,0.032758,8254182155686667914,1,1,3,0
104,474,10.005000,41.99,41.990000,0.055334,0.032100,11428372617687189752,1,1,3,0
105,484,10.011800,37.04,37.040000,0.055334,0.034838,12655474694573309048,1,1,3,0
106,494,10.007800,69.23,69.230000,0.055334,0.017026,1224165462336966135,1,1,3,0
107,504,10.009600,36.56,36.560000,0.055334,0.035103,10455715485808904098,1,1,3,0
108,515,10.017300,37,37.000000,0.055334,0.034859,5339565105036878745,1,1,3,0
109,525,10.008600,34.18,34.180000,0.055334,0.036418,7218314363072349855,1,1,3,0
110,535,10.012800,34.24,34.240000,0.055334,0.036386,17340481150922532562,1,1,3,0
111,545,10.019300,35.47,35.470000,0.055334,0.035709,12693622220777981352,1,1,3,0
112,555,10.010100,35.56,35.560000,0.055334,0.035655,11284851058725377468,1,1,3,0
113,565,10.013400,34.24,34.240000,0.055334,0.036386,17164289280471233592,1,1,3,0
114,575,10.012400,59.04,59.040000,0.055334,0.022663,7448179131963411491,1,1,3,0
115,585,10.008265,38.45,38.450000,0.055334,0.034060,5998119294309038683,null,0,3,1
116,595,10.012285,37.05,37.050000,0.055334,0.034830,3942854738507707024,null,0,3,1
117,606,10.017856,48.42,48.420000,0.055334,0.028543,15121676251897197166,null,0,3,1
118,616,10.007886,35.7,35.700000,0.055334,0.035581,9024303542836077762,null,0,3,1
119,626,10.015336,35.99,35.990000,0.055334,0.035421,8447662632908896196,null,0,3,1
120,636,10.017659,36.15,36.150000,0.055334,0.035333,16616791593414523978,null,0,3,1
121,646,10.012280,35.7,35.700000,0.055334,0.035581,10111455422612439082,null,0,3,1
122,656,10.009721,35.73,35.730000,0.055334,0.035564,12140056878307084331,null,0,3,1
123,666,10.010139,34.97,34.970000,0.055334,0.035982,16676156195338047001,null,0,3,1
124,676,10.010715,35.58,35.580000,0.055334,0.035647,14742787433196948135,null,0,3,1
125,686,10.013787,34.97,34.970000,0.055334,0.035982,16524578062444966406,null,0,3,1
126,696,10.062063,34.97,34.970000,0.055334,0.035982,4902899774271082481,null,0,3,1
127,706,10.029419,85.73,85.730000,0.055334,0.007895,833964966750308650,null,0,3,1
128,716,10.009405,48.5,48.500000,0.055334,0.028498,13375569383941299739,null,0,3,1
129,726,10.009677,48.46,48.460000,0.055334,0.028520,2671318517628797602,null,0,3,1
130,736,10.012818,35.58,35.580000,0.055334,0.035647,14705706324803633201,null,0,3,1
131,747,10.025481,34.97,34.970000,0.055334,0.035982,12780992976839475348,null,0,3,1
132,757,10.091685,47.02,47.020000,0.055334,0.029313,730746995928982823,null,0,3,1
133,767,10.010205,37.1,37.100000,0.055334,0.034806,3332313723110062681,null,0,3,1
134,777,10.008817,47.62,47.620000,0.055334,0.028984,1790798016945029232,null,0,3,1
135,585,10.017716,53.36,53.360000,0.055334,0.025809,1502698621081845975,null,1,3,1
136,595,10.011146,46.57,46.570000,0.055334,0.029565,10878173843962224165,null,1,3,1
137,606,10.010269,52.42,52.420000,0.063254,0.030096,1902959157250372673,null,1,3,1
138,616,10.012490,39.03,39.030000,0.055334,0.033737,4395986533419778114,null,1,3,1
139,626,10.016187,37.1,37.100000,0.055334,0.034804,4590345133950542864,null,1,3,1
140,636,10.010200,38.43,38.430000,0.055334,0.034069,4517048742756187386,null,1,3,1
141,646,10.007582,37.5,37.500000,0.055334,0.034585,8198894370167799297,null,1,3,1
142,656,10.009117,37.7,37.700000,0.055334,0.034475,6208126530276752206,null,1,3,1
143,666,10.007295,41.34,41.340000,0.055334,0.032458,13568029645820171944,null,1,3,1
144,676,10.013472,49.22,49.220000,0.055334,0.028096,15500170090728864959,null,1,3,1
145,686,10.008142,54.24,54.240000,0.055334,0.025319,4177195247158935996,null,1,3,1
146,696,10.007796,55.64,55.640000,0.055334,0.024545,3513720541144230767,null,1,3,1
147,706,10.030529,99.98,99.980000,0.063222,0.000013,165771562807910455,null,1,3,1
148,716,10.010496,36.52,36.520000,0.055334,0.035126,6004313764166378947,null,1,3,1
149,726,10.009822,57.56,57.560000,0.055334,0.023483,985312831111688437,null,1,3,1
150,736,10.010422,35.58,35.580000,0.055334,0.035647,9004610942178856465,null,1,3,1
151,747,10.023057,75.65,75.650000,0.055334,0.013476,11728281357518623500,null,1,3,1
152,757,10.015576,75.65,75.650000,0.055334,0.013476,14274110965301310218,null,1,3,1
153,767,10.012667,100,100.000000,3.157965,0.000013,11477950411766248925,null,1,3,1
154,787,10.012817,35.56,35.560000,0.055334,0.035655,1951916950433067032,null,0,4,0
155,797,10.004468,34.67,34.670000,0.055334,0.036148,13595520604428417800,null,0,4,0
156,807,10.035011,22.75,22.750000,0.055334,0.042747,9250808417162526992,null,0,4,0
157,817,10.040700,69.2,69.200000,0.055334,0.017044,13961169621710808534,null,0,4,0
158,827,10.058151,25.21,25.210000,0.055334,0.041384,224580119931667743,null,0,4,0
159,838,10.015300,22.77,22.770000,0.055334,0.042734,3348793870457203430,null,0,4,0
160,848,10.092103,22.83,22.830000,0.055334,0.042702,12907212238751994647,null,0,4,0
161,858,10.027614,23.68,23.680000,0.055334,0.042229,8131821139637603021,null,0,4,0
162,868,10.033753,32.29,32.290000,0.055334,0.037467,14417357922089567245,null,0,4,0
163,878,10.017383,22.75,22.750000,0.055334,0.042747,9697068166578342130,null,0,4,0
164,888,10.049422,33.91,33.910000,0.063216,0.041779,10319293256181544560,null,0,4,0
165,898,10.045635,22.82,22.820000,0.055334,0.042709,2976258687377851033,null,0,4,0
166,908,10.012914,100,100.000000,3.157965,0.000013,1752857068023343163,null,0,4,0
167,918,10.023653,46.6,46.600000,0.055334,0.029551,14159093746952890070,null,0,4,0
168,787,10.008700,35.56,35.560000,0.055334,0.035655,7218314363072349855,1,1,4,0
169,797,10.005100,35.47,35.470000,0.055334,0.035709,13583403274602993206,1,1,4,0
170,807,10.005100,34.31,34.310000,0.055334,0.036348,1244657874714970293,1,1,4,0
171,817,10.011200,70.72,70.720000,0.055334,0.016199,16793665574350417145,1,1,4,0
172,828,10.002700,46.69,46.690000,0.055334,0.029500,10131464261310101269,1,1,4,0
173,838,10.005600,37.01,37.010000,0.055334,0.034854,14143860346766283590,1,1,4,0
174,848,10.004400,38.46,38.460000,0.055334,0.034050,11465534444087876500,1,1,4,0
175,858,10.006600,35.56,35.560000,0.055334,0.035655,2699176425641933913,1,1,4,0
176,868,10.008700,34.2,34.200000,0.055334,0.036412,10268942607087707328,1,1,4,0
177,878,10.008600,35.56,35.560000,0.055334,0.035655,10821628997018937094,1,1,4,0
178,888,10.006300,37.37,37.370000,0.055334,0.034657,7546116812959752316,1,1,4,0
179,898,10.004500,34.51,34.510000,0.055334,0.036237,6483797137209653797,1,1,4,0
180,908,10.004300,34.18,34.180000,0.055334,0.036422,9793092117105664510,1,1,4,0
181,919,10.006100,37.01,37.010000,0.055334,0.034856,516595437324963131,1,1,4,0
