MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_1_config_17523525290796183999.mst,147,351
9,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_3/mip_starts/mip_start_eval_13_config_17487963292573279459.mst,73,354
8,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_13_config_15359241553657537058.mst,53,356
7,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_9_config_9953032559683327947.mst,49,358
6,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_18_config_3699773941691399459.mst,38,373
5,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_16_config_17658897024096293756.mst,36,374
4,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_5_config_10152323841903041700.mst,25,377
3,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_13_config_15900247093493740247.mst,13,378
2,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_2823934824078185206.mst,2,385
1,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/3_csched007_seed-3_20260503_010037/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,447
