MipStartID,MipStartFile,SourceEvalID,UpperBound
15,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_26_config_15915969463159872197.mst,345,109143
14,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_2_config_15709170464441818599.mst,148,109146
1,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,308144
2,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_2823934824078185206.mst,2,308144
3,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_3895283216737288575.mst,3,301743
4,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_16679742048881223644.mst,5,128464
5,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_6_config_4738617011938782313.mst,26,122026
6,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_17_config_8550290178622215830.mst,37,122009
7,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_19_config_11156747262762239352.mst,39,122007
8,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_1_config_15446065792237984030.mst,41,115583
9,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_2_config_4202048695090355429.mst,42,115582
10,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_12_config_5847089399501479146.mst,52,115547
11,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_14_config_2567508167001709027.mst,54,109215
12,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_15_config_816543234931267420.mst,55,109148
13,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/4proc/seed-3/6_momentum1_seed-3_20260503_023547/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_1_config_816543234931267421.mst,147,109147
