instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
csched008.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/1_csched008_seed-4_20260504_160208,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/1_csched008_seed-4_20260504_160208/run.log
fastxgemm-n2r6s0t2.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/2_fastxgemm-n2r6s0t2_seed-4_20260504_161132,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/2_fastxgemm-n2r6s0t2_seed-4_20260504_161132/run.log
glass4.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/3_glass4_seed-4_20260504_162431,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/3_glass4_seed-4_20260504_162431/run.log
lotsize.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/4_lotsize_seed-4_20260504_162448,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/4_lotsize_seed-4_20260504_162448/run.log
mas74.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/5_mas74_seed-4_20260504_163603,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/5_mas74_seed-4_20260504_163603/run.log
neos-4413714-turia.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/6_neos-4413714-turia_seed-4_20260504_165840,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/6_neos-4413714-turia_seed-4_20260504_165840/run.log
qap10.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/7_qap10_seed-4_20260504_171134,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/7_qap10_seed-4_20260504_171134/run.log
rocI-4-11.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/8_rocI-4-11_seed-4_20260504_171143,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/8_rocI-4-11_seed-4_20260504_171143/run.log
supportcase18.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/9_supportcase18_seed-4_20260504_171524,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/9_supportcase18_seed-4_20260504_171524/run.log
supportcase33.mps,4,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/10_supportcase33_seed-4_20260504_171701,/scratch/yorig/mpils-results-grid-seconds-5-4may/easy/24proc/seed-4/10_supportcase33_seed-4_20260504_171701/run.log
