EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004590,Normal,7.81,7.810000,11857.371258,10931.475952,14921508010286178949,null,0,1,0
2,10,5.003050,Normal,7.81,7.810000,11857.371258,10931.475952,10101538263502436884,null,0,1,0
3,15,5.004537,Normal,7.46,7.460000,11801.185729,10920.252574,10346973009034893901,null,0,1,0
4,20,5.003146,Normal,7.46,7.460000,11801.185729,10920.252574,18069049565768102882,null,0,1,0
5,25,5.003540,Normal,7.46,7.460000,11801.185729,10920.252574,12888482828633900124,null,0,1,0
6,30,5.005266,Normal,7.04,7.040000,11801.185729,10970.534874,10475899001479897097,null,0,1,0
7,35,5.004620,Normal,7.14,7.140000,11801.185729,10958.280192,8598379153030981958,null,0,1,0
8,40,5.004629,Normal,7.04,7.040000,11801.185729,10970.534874,16202061380715111686,null,0,1,0
9,45,5.015881,Normal,7.04,7.040000,11801.185729,10970.534874,3823057375706889759,null,0,1,0
10,50,5.005164,Normal,6.96,6.960000,11985.177453,11150.477899,14552540997497169856,null,0,1,0
11,55,5.231775,Normal,8.59,8.590000,11801.185729,10787.023312,1962580943703632403,null,0,1,0
12,60,5.004669,Normal,6.57,6.570000,11931.694361,11147.335332,6430724178889984569,null,0,1,0
13,65,5.358171,Normal,6.13,6.130000,11891.263051,11161.863648,8951727854273080750,null,0,1,0
14,71,5.087754,Normal,6.12,6.120000,11857.371258,11131.305613,11683178913965846880,null,0,1,0
15,76,5.006238,Normal,11.46,11.460000,12014.892379,10637.717859,16777856927224320219,null,0,1,0
16,81,5.080214,Normal,6.12,6.120000,11857.371258,11131.305613,8542257043272500344,null,0,1,0
17,86,5.034591,Normal,7.32,7.320000,11801.185729,10937.860101,14189074992957027735,null,0,1,0
18,91,5.003459,Normal,5.42,5.420000,11801.185729,11161.743268,18316447585908277793,null,0,1,0
19,96,5.008818,Normal,5.44,5.440000,11801.185729,11159.788422,8267824247758765156,null,0,1,0
20,101,5.001599,Normal,6.02,6.020000,11801.185729,11090.735822,12047786113177031485,null,0,1,0
21,5,5.003510,Normal,6.99,6.990000,11801.200000,10976.900000,9686720361045965965,null,1,1,0
22,10,5.003610,Normal,6.94,6.940000,11801.200000,10981.700000,14977320980139403669,null,1,1,0
23,15,5.003780,Normal,6.97,6.970000,11801.200000,10979.200000,6900896254888489057,null,1,1,0
