EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003222,Normal,51.45,51.450000,1650013849.999006,801047699.418261,14921508010286178949,null,0,1,0
2,10,5.003287,Normal,50.52,50.520000,1616681450.000000,800005938.425327,5643427149002281568,null,0,1,0
3,15,5.002955,Normal,51.52,51.520000,1650015050.000000,800005881.139785,271321391208788895,null,0,1,0
4,20,5.003111,Normal,52.94,52.940000,1700014799.999000,800005734.203972,6709727013648302845,null,0,1,0
5,25,5.002906,Normal,52.94,52.940000,1700015833.333333,800005850.220932,12477530550632405707,null,0,1,0
6,30,5.010804,Normal,53.76,53.760000,1730014480.000025,800006837.918871,1306624368982852578,null,0,1,0
7,35,5.002586,Normal,50,50.000000,1600013433.333333,800005895.639890,16449025980178702649,null,0,1,0
8,40,5.004434,Normal,50.62,50.620000,1700014150.000000,839480984.364114,12911295086759950527,null,0,1,0
9,45,5.003066,Normal,50,50.000000,1600015450.000754,800006193.272785,16832464135030190944,null,0,1,0
10,50,5.002866,Normal,50,50.000000,1600013433.333333,800006035.608443,1152501140341691617,null,0,1,0
11,55,5.004606,Normal,50,50.000000,1600013433.333333,800006178.958799,3149268700206295337,null,0,1,0
12,60,5.004308,Normal,50,50.000000,1600013433.333333,800006043.815137,2048811407612508839,null,0,1,0
13,65,5.003308,Normal,50.59,50.590000,1700017000.000000,840003868.853069,13349432538688986171,null,0,1,0
14,70,5.003178,Normal,52.94,52.940000,1700014100.000000,800004079.727545,16792845484493382003,null,0,1,0
15,75,5.008433,Normal,46.67,46.670000,1500013050.000006,800005049.276660,13736173804015590638,null,0,1,0
16,80,5.004415,Normal,49.65,49.650000,1588902392.592581,800005049.276660,10111186100245953235,null,0,1,0
17,85,5.003521,Normal,50,50.000000,1600014433.331322,800004935.045721,13650819850745377399,null,0,1,0
18,90,5.004388,Normal,49.65,49.650000,1588902522.222222,800005049.598808,1120317334585366330,null,0,1,0
19,95,5.004660,Normal,49.65,49.650000,1588902392.592581,800005205.930004,12741526721536745536,null,0,1,0
20,100,5.004559,Normal,46.67,46.670000,1500013050.000006,800005049.276660,15738645948441383300,null,0,1,0
21,5,5.003430,Normal,47.83,47.830000,1533350000.000000,800004000.000000,17514050945686148453,null,1,1,0
22,10,5.003320,Normal,46.67,46.670000,1500010000.000000,800003000.000000,14945327202240187335,null,1,1,0
23,15,5.003090,Normal,50,50.000000,1600010000.000000,800006000.000000,3621045295637817750,null,1,1,0
24,20,5.003270,Normal,46.67,46.670000,1500010000.000000,800003000.000000,5554790853743262281,null,1,1,0
25,25,5.004380,Normal,50,50.000000,1600010000.000000,800004000.000000,7817983787208395117,null,1,1,0
26,30,5.002360,Normal,46.67,46.670000,1500010000.000000,800005000.000000,2929589770187977951,null,1,1,0
27,35,5.003100,Normal,46.67,46.670000,1500010000.000000,800004000.000000,14873507980721480289,null,1,1,0
28,40,5.002520,Normal,36.99,36.990000,1640010000.000000,1033340000.000000,15452687386862368592,null,1,1,0
29,45,5.002920,Normal,51.81,51.810000,1660020000.000000,800006000.000000,13224854944055979737,null,1,1,0
30,50,5.002330,Normal,32.93,32.930000,1640010000.000000,1100010000.000000,1407731653594419096,null,1,1,0
31,55,5.002800,Normal,32.93,32.930000,1640010000.000000,1100010000.000000,467502165613169110,null,1,1,0
32,60,5.002190,Normal,37.4,37.400000,1640010000.000000,1026650000.000000,9007186747250777983,null,1,1,0
33,65,5.002810,Normal,44.99,44.990000,1550020000.000000,852638000.000000,18086120780513783110,null,1,1,0
34,70,5.002930,Normal,26.74,26.740000,1433350000.000000,1050010000.000000,9291786022615258619,null,1,1,0
35,75,5.002800,Normal,26.74,26.740000,1433350000.000000,1050010000.000000,17254377827946188261,null,1,1,0
36,80,5.002600,Normal,36.36,36.360000,1650020000.000000,1050010000.000000,12750501584968773143,null,1,1,0
37,85,5.002520,Normal,49.24,49.240000,1600020000.000000,812222000.000000,9225700071364071912,null,1,1,0
38,90,5.002670,Normal,36.36,36.360000,1650020000.000000,1050010000.000000,14380200777393656799,null,1,1,0
39,95,5.002780,Normal,45.21,45.210000,1825020000.000000,1000000000.000000,17486085109985728845,null,1,1,0
40,100,5.002410,Normal,43.82,43.820000,1780020000.000000,1000000000.000000,2091157464066008964,null,1,1,0
41,5,5.002920,Normal,50,50.000000,1600010000.000000,800005000.000000,2804053118686667685,null,2,1,0
42,10,5.002120,Normal,47.54,47.540000,1525020000.000000,800005000.000000,15558195506789843468,null,2,1,0
43,15,5.002890,Normal,46.67,46.670000,1500010000.000000,800004000.000000,5528794372752364553,null,2,1,0
44,20,5.002750,Normal,51.02,51.020000,1633350000.000000,800005000.000000,16088453090311711417,null,2,1,0
45,25,5.002290,Normal,50,50.000000,1600010000.000000,800005000.000000,12504688451658718899,null,2,1,0
46,30,5.002840,Normal,44.83,44.830000,1450010000.000000,800004000.000000,13376679049763403712,null,2,1,0
47,35,5.002570,Normal,38.1,38.100000,1400010000.000000,866672000.000000,11672471178433694204,null,2,1,0
48,40,5.002350,Normal,45,45.000000,1600010000.000000,880006000.000000,881665584574894949,null,2,1,0
49,45,5.003650,Normal,48.76,48.760000,1600010000.000000,819863000.000000,8924460099350713810,null,2,1,0
50,50,5.002820,Normal,47.81,47.810000,1600010000.000000,835019000.000000,10820138404294180240,null,2,1,0
51,55,5.002590,Normal,38.1,38.100000,1400010000.000000,866672000.000000,10753612901571791118,null,2,1,0
52,60,5.002430,Normal,38.1,38.100000,1400010000.000000,866672000.000000,14468242782317506487,null,2,1,0
53,65,5.002750,Normal,46.46,46.460000,1587520000.000000,850005000.000000,7853105203574178883,null,2,1,0
54,70,5.002410,Normal,42.54,42.540000,1460010000.000000,838943000.000000,12790421718475339437,null,2,1,0
55,75,5.002440,Normal,33.33,33.330000,1500020000.000000,1000010000.000000,8793172985603926073,null,2,1,0
56,80,5.002250,Normal,42.6,42.600000,1400010000.000000,803547000.000000,2151907076538055225,null,2,1,0
57,85,5.002180,Normal,40,40.000000,1500020000.000000,900005000.000000,17904930257793544055,null,2,1,0
58,90,5.002630,Normal,49.53,49.530000,1600020000.000000,807546000.000000,3839671295796866610,null,2,1,0
59,95,5.002960,Normal,45.21,45.210000,1460010000.000000,800006000.000000,16865346717940486837,null,2,1,0
60,100,5.002220,Normal,38.98,38.980000,1475010000.000000,900004000.000000,2979778079411507278,null,2,1,0
61,5,5.006290,Normal,52.94,52.940000,1700010000.000000,800004000.000000,145401686263944303,null,3,1,0
62,10,5.012840,Normal,52.94,52.940000,1700010000.000000,800004000.000000,8799749763501343571,null,3,1,0
63,15,5.014130,Normal,52.94,52.940000,1700010000.000000,800004000.000000,15708186979800204989,null,3,1,0
64,20,5.007260,Normal,52.94,52.940000,1700010000.000000,800005000.000000,14547541339312857813,null,3,1,0
65,25,5.005360,Normal,52.94,52.940000,1700010000.000000,800003000.000000,17257326725602205061,null,3,1,0
66,30,5.008800,Normal,52.94,52.940000,1700010000.000000,800004000.000000,14172811315663294555,null,3,1,0
67,35,5.005920,Normal,52.94,52.940000,1700010000.000000,800004000.000000,2172389523105357893,null,3,1,0
68,40,5.007500,Normal,50,50.000000,1600010000.000000,800005000.000000,6835743546644039308,null,3,1,0
69,45,5.005880,Normal,52.94,52.940000,1700010000.000000,800005000.000000,16408605267692257906,null,3,1,0
70,50,5.010100,Normal,46.67,46.670000,1500010000.000000,800005000.000000,3723034639730745752,null,3,1,0
71,55,5.003480,Normal,50,50.000000,1600010000.000000,800005000.000000,1005100258857621937,null,3,1,0
