EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005568,Normal,27.54,27.540000,28249.840000,20469.349450,14921508010286178949,null,0,1,0
2,10,5.006518,Normal,23.31,23.310000,26657.330000,20444.709985,2823934824078185206,null,0,1,0
3,15,5.006790,Normal,23.31,23.310000,26657.330000,20444.709985,14403042972698526843,null,0,1,0
4,20,5.005014,Normal,22.29,22.290000,26556.640000,20636.390778,17878160102696106270,null,0,1,0
5,25,5.003892,Normal,22.96,22.960000,26786.230000,20636.390778,4610383330787987577,null,0,1,0
6,30,5.004056,Normal,22.29,22.290000,26556.640000,20636.390778,8701421057794596400,null,0,1,0
7,35,5.003832,Normal,22.96,22.960000,26786.230000,20636.390778,15797882199865309802,null,0,1,0
8,40,5.009215,Normal,36.39,36.390000,25862.160000,16449.655941,14600615912853987757,null,0,1,0
9,45,5.004749,Normal,22.29,22.290000,26556.640000,20636.390778,3788433577263791445,null,0,1,0
10,50,5.004216,Normal,30.41,30.410000,29073.750000,20232.944904,4129780935194521104,null,0,1,0
11,55,5.005796,Normal,22.75,22.750000,26324.700000,20336.875633,7905422211105924433,null,0,1,0
12,60,5.006056,Normal,21.41,21.410000,25572.640000,20097.741753,1306624368982852578,null,0,1,0
13,65,5.005784,Normal,24.1,24.100000,26773.630000,20321.947970,18063764233342330195,null,0,1,0
14,70,5.006138,Normal,21.41,21.410000,25572.640000,20097.741753,1039965230711659386,null,0,1,0
15,75,5.006448,Normal,21.41,21.410000,25572.640000,20097.741753,15150250621856140186,null,0,1,0
16,80,5.006865,Normal,22.78,22.780000,26047.150000,20114.863689,10706303991348614862,null,0,1,0
17,85,5.006116,Normal,21.84,21.840000,25646.640000,20046.084824,18330935084781153049,null,0,1,0
18,90,5.006849,Normal,37.23,37.230000,26777.410000,16807.922630,4068136384025495288,null,0,1,0
19,95,5.005692,Normal,23.41,23.410000,26593.760000,20367.695491,16180524192608935693,null,0,1,0
20,100,5.006892,Normal,21.52,21.520000,25624.640000,20109.803401,7163930293002123600,null,0,1,0
21,5,5.005460,Normal,37.41,37.410000,25670.300000,16068.300000,8723278136865304665,null,1,1,0
22,10,5.004280,Normal,38.09,38.090000,25913.700000,16043.900000,4970148594231515670,null,1,1,0
23,15,5.006500,Normal,37.89,37.890000,25823.300000,16038.600000,2098913149819046562,null,1,1,0
24,20,5.006760,Normal,19.34,19.340000,25600.400000,20648.200000,16096926607947553079,null,1,1,0
25,25,5.008090,Normal,19.34,19.340000,25600.400000,20648.200000,16694637474619434949,null,1,1,0
26,30,5.012160,Normal,19.34,19.340000,25600.400000,20648.200000,17806737890496766564,null,1,1,0
27,35,5.008730,Normal,19.34,19.340000,25600.400000,20648.200000,16013003481142567195,null,1,1,0
28,40,5.008020,Normal,19.35,19.350000,25600.400000,20647.900000,1397933428060168984,null,1,1,0
29,45,5.017280,Normal,19.5,19.500000,25600.400000,20609.200000,5551141266148242684,null,1,1,0
30,50,5.006560,Normal,24.16,24.160000,26593.200000,20169.200000,12387477770196574076,null,1,1,0
31,55,5.003730,Normal,32.8,32.800000,26318.300000,17685.700000,3975472869781090716,null,1,1,0
32,60,5.006790,Normal,24.16,24.160000,26593.200000,20169.200000,9676650119520557615,null,1,1,0
33,65,5.006240,Normal,22.9,22.900000,25894.600000,19964.400000,345107134739819212,null,1,1,0
34,70,5.009040,Normal,19.5,19.500000,25600.400000,20609.200000,2106631336727746397,null,1,1,0
35,75,5.008760,Normal,19.5,19.500000,25600.400000,20609.200000,6545371333829026995,null,1,1,0
36,80,5.006760,Normal,20.94,20.940000,25695.500000,20314.700000,8618327910330644792,null,1,1,0
37,85,5.021140,Normal,21.68,21.680000,26201.200000,20521.600000,7676741957340480544,null,1,1,0
38,90,5.007140,Normal,23.39,23.390000,25957.800000,19886.300000,17904454852938198039,null,1,1,0
39,95,5.009860,Normal,23.32,23.320000,26009.800000,19945.600000,3944397064049265063,null,1,1,0
40,100,5.007820,Normal,19.5,19.500000,25600.400000,20609.200000,9660944373281738075,null,1,1,0
41,5,5.008150,Normal,22.92,22.920000,25818.300000,19901.500000,15446065792237984030,null,2,1,0
42,10,5.007730,Normal,22.92,22.920000,25818.300000,19901.500000,4202048695090355429,null,2,1,0
43,15,5.009380,Normal,22.03,22.030000,25635.200000,19986.700000,1438553583210240060,null,2,1,0
44,20,5.010830,Normal,21.3,21.300000,25795.100000,20300.900000,2280800952473145312,null,2,1,0
45,25,5.011470,Normal,20.89,20.890000,25567.600000,20225.400000,1603161352659156418,null,2,1,0
46,30,5.012600,Normal,21.71,21.710000,25877.200000,20259.900000,4288311963273236710,null,2,1,0
47,35,5.010270,Normal,19.86,19.860000,25176.400000,20175.800000,6319571063472117395,null,2,1,0
48,40,5.010090,Normal,22.65,22.650000,26206.200000,20270.400000,13214776852037835854,null,2,1,0
49,45,5.011660,Normal,21.09,21.090000,25522.400000,20139.800000,10073827838878600068,null,2,1,0
50,50,5.008550,Normal,20.24,20.240000,25590.600000,20409.900000,8186796198831935515,null,2,1,0
51,55,5.006410,Normal,44.92,44.920000,25630.900000,14116.500000,15146455920566049650,null,2,1,0
52,60,5.005260,Normal,20.8,20.800000,25522.400000,20213.800000,7360143027863093514,null,2,1,0
