EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.009329,Normal,43.36,43.360000,-85.000000,-121.855059,14921508010286178949,null,0,1,0
2,10,5.006188,Normal,39.61,39.610000,-85.000000,-118.672459,8683817217222751575,null,0,1,0
3,15,5.007237,Normal,39.61,39.610000,-85.000000,-118.672459,1109746989676116089,null,0,1,0
4,20,5.006970,Normal,39.61,39.610000,-85.000000,-118.672459,18425285283540328501,null,0,1,0
5,25,5.008456,Normal,39.61,39.610000,-85.000000,-118.672459,16080314484600567712,null,0,1,0
6,30,5.018203,Normal,39.61,39.610000,-85.000000,-118.672459,2045221141382991416,null,0,1,0
7,35,5.006327,Normal,39.61,39.610000,-85.000000,-118.672459,7961787602010660163,null,0,1,0
8,40,5.005906,Normal,39.61,39.610000,-85.000000,-118.672459,10934190324494141854,null,0,1,0
9,45,5.021884,Normal,39.61,39.610000,-85.000000,-118.672459,15967154807106001393,null,0,1,0
10,50,5.003930,Normal,39.61,39.610000,-85.000000,-118.672459,12532714191337212529,null,0,1,0
11,55,5.005770,Normal,39.61,39.610000,-85.000000,-118.672459,9762774080304111974,null,0,1,0
12,60,5.003962,Normal,39.61,39.610000,-85.000000,-118.672459,12715936217890530867,null,0,1,0
13,65,5.005846,Normal,42.5,42.500000,-85.000000,-121.128896,5948685825087948624,null,0,1,0
14,70,5.035980,Normal,39.61,39.610000,-85.000000,-118.672459,7795296211628941225,null,0,1,0
15,75,5.003869,Normal,39.61,39.610000,-85.000000,-118.672459,9135607279948674511,null,0,1,0
16,80,5.003818,Normal,39.61,39.610000,-85.000000,-118.672459,6373346568299067,null,0,1,0
17,85,5.004604,Normal,39.61,39.610000,-85.000000,-118.672459,11685713339607382547,null,0,1,0
18,90,5.006807,Normal,33.34,33.340000,-89.000000,-118.672459,1211801674033732574,null,0,1,0
19,95,5.005752,Normal,33.34,33.340000,-89.000000,-118.672459,17648355577354814956,null,0,1,0
20,100,5.007619,Normal,45.45,45.450000,-88.000000,-128.000000,10298776568238232289,null,0,1,0
21,5,5.009560,Normal,42.27,42.270000,-85.000000,-120.926000,6439873165248256756,null,1,1,0
22,10,5.010800,Normal,39.64,39.640000,-86.000000,-120.094000,11255561039145532449,null,1,1,0
23,15,5.005930,Normal,36.09,36.090000,-87.000000,-118.395000,13537950976286585776,null,1,1,0
24,20,5.005570,Normal,38.77,38.770000,-86.000000,-119.345000,8143321566228951748,null,1,1,0
25,25,5.005000,Normal,36.09,36.090000,-87.000000,-118.395000,13829843512675762482,null,1,1,0
26,30,5.005150,Normal,36.09,36.090000,-87.000000,-118.395000,14639195974366144042,null,1,1,0
27,35,5.008690,Normal,38.77,38.770000,-86.000000,-119.345000,1568501419763867883,null,1,1,0
28,40,5.003840,Normal,37.99,37.990000,-86.000000,-118.672000,9152225097391836983,null,1,1,0
29,45,5.008240,Normal,38.77,38.770000,-86.000000,-119.345000,6346586623082395652,null,1,1,0
30,50,5.022190,Normal,36.09,36.090000,-87.000000,-118.395000,13510139824145008960,null,1,1,0
31,55,5.006450,Normal,42.5,42.500000,-85.000000,-121.129000,6303081838990863485,null,1,1,0
32,60,5.006430,Normal,37.22,37.220000,-88.000000,-120.758000,15182703590485435946,null,1,1,0
33,65,5.005340,Normal,40.87,40.870000,-85.000000,-119.739000,8821329877668485662,null,1,1,0
34,70,5.005490,Normal,36.09,36.090000,-87.000000,-118.395000,18187714007764400727,null,1,1,0
35,75,5.008630,Normal,42.07,42.070000,-85.000000,-120.758000,6648309970111370597,null,1,1,0
36,80,5.020990,Normal,36.09,36.090000,-87.000000,-118.395000,8729747635580863429,null,1,1,0
37,85,5.075460,Normal,36.78,36.780000,-89.000000,-121.732000,650535371667810277,null,1,1,0
38,90,5.014000,Normal,38.77,38.770000,-86.000000,-119.345000,9858087293318796346,null,1,1,0
39,95,5.005510,Normal,38.77,38.770000,-86.000000,-119.345000,7519070621891470997,null,1,1,0
40,100,5.027740,Normal,42.69,42.690000,-85.000000,-121.284000,3833923834661260628,null,1,1,0
41,105,5.015240,Normal,33.06,33.060000,-90.000000,-119.750000,18280275838728487531,null,0,1,1
42,110,5.004332,Normal,39.61,39.610000,-85.000000,-118.672459,7795296211628941225,null,0,2,0
43,115,5.024839,Normal,39.61,39.610000,-85.000000,-118.672459,2493132812185271892,null,0,2,0
44,120,5.029068,Normal,39.61,39.610000,-85.000000,-118.672459,1384381938246404769,null,0,2,0
45,125,5.018094,Normal,39.61,39.610000,-85.000000,-118.672459,14933121345513782116,null,0,2,0
46,130,5.012198,Normal,34.86,34.860000,-88.000000,-118.672459,11772175868267851671,null,0,2,0
47,110,5.021830,Normal,37.99,37.990000,-86.000000,-118.672000,17514050945686148453,null,1,2,0
48,115,5.003670,Normal,29.62,29.620000,-91.000000,-117.957000,16498790402925288191,null,1,2,0
49,120,5.006390,Normal,26.83,26.830000,-93.000000,-117.957000,11316838334576731851,null,1,2,0
50,125,5.003020,Normal,31.06,31.060000,-90.000000,-117.957000,6845080118911744438,null,1,2,0
51,130,5.003300,Normal,32.54,32.540000,-89.000000,-117.957000,3778563700382406035,null,1,2,0
52,135,5.004399,Normal,26.83,26.830000,-93.000000,-117.956522,15575736486897748372,null,0,2,1
53,135,5.004914,Normal,26.83,26.830000,-93.000000,-117.956522,1391422962907703596,null,1,2,1
54,140,5.005846,Normal,26.83,26.830000,-93.000000,-117.956522,4835045901165284740,null,0,2,1
55,140,5.004610,Normal,26.83,26.830000,-93.000000,-117.956522,10761569944760162560,null,1,2,1
56,145,5.003983,Normal,36.52,36.520000,-89.000000,-121.500000,15288638173366607265,null,0,2,1
57,145,5.004574,Normal,31.97,31.970000,-94.000000,-124.050000,15437059853929299154,null,1,2,1
58,150,5.004198,Normal,37.16,37.160000,-86.000000,-117.956522,9544008735742349282,null,0,2,1
59,150,5.004076,Normal,45.35,45.350000,-86.000000,-125.000000,8704316829587622367,null,1,2,1
60,155,5.004187,Normal,26.83,26.830000,-93.000000,-117.956522,11638510393307070187,null,0,2,1
61,155,5.005911,Normal,24.16,24.160000,-95.000000,-117.956522,14335225141831771534,null,1,2,1
62,161,5.003589,Normal,39.61,39.610000,-85.000000,-118.672459,18044686751859187205,null,0,3,0
63,166,5.011931,Normal,39.61,39.610000,-85.000000,-118.672459,14698274946203897488,null,0,3,0
64,171,5.006864,Normal,39.61,39.610000,-85.000000,-118.672459,11026824795372663007,null,0,3,0
65,176,5.005445,Normal,43.06,43.060000,-85.000000,-121.597541,8002815478967382628,null,0,3,0
66,181,5.017699,Normal,38.07,38.070000,-88.000000,-121.500000,6556683262969531590,null,0,3,0
67,186,5.004819,Normal,39.61,39.610000,-85.000000,-118.672459,12020136990179734183,null,0,3,0
68,191,5.024824,Normal,31.06,31.060000,-90.000000,-117.956522,18280275838728487531,null,0,3,0
69,196,5.011291,Normal,32.54,32.540000,-89.000000,-117.956522,14697419710093872708,null,0,3,0
70,201,5.019405,Normal,31.06,31.060000,-90.000000,-117.956522,12740544860520522417,null,0,3,0
71,206,5.030158,Normal,36.52,36.520000,-89.000000,-121.500000,17688244671255243468,null,0,3,0
72,161,5.008270,Normal,29.62,29.620000,-91.000000,-117.957000,11316838334576731851,null,1,3,0
73,166,5.004920,Normal,40.81,40.810000,-86.000000,-121.099000,16195894013266029919,null,1,3,0
74,171,5.006020,Normal,37.99,37.990000,-86.000000,-118.672000,12761904819051534585,null,1,3,0
75,176,5.019930,Normal,40.15,40.150000,-86.000000,-120.525000,4392050746983190032,null,1,3,0
76,181,5.003270,Normal,37.16,37.160000,-86.000000,-117.957000,9544008735742349282,null,1,3,0
77,186,5.003890,Normal,26.83,26.830000,-93.000000,-117.957000,17213922153928501545,null,1,3,0
78,191,5.005850,Normal,38.72,38.720000,-87.000000,-120.684000,2786375143379821321,null,1,3,0
79,196,5.006300,Normal,26.83,26.830000,-93.000000,-117.957000,1988689328769625376,null,1,3,0
80,201,5.045640,Normal,38.13,38.130000,-87.000000,-120.176000,965860167325779098,null,1,3,0
81,206,5.004770,Normal,26.83,26.830000,-93.000000,-117.957000,10404463423241196822,null,1,3,0
82,211,5.004177,Normal,24.16,24.160000,-95.000000,-117.956522,17911168209541639347,null,0,3,1
83,211,5.005916,Normal,24.16,24.160000,-95.000000,-117.956522,18162716148526194400,null,1,3,1
84,216,5.025046,Normal,35.58,35.580000,-87.000000,-117.956522,6097741696551302658,null,0,3,1
85,216,5.004321,Normal,24.16,24.160000,-95.000000,-117.956522,13907646124002057997,null,1,3,1
86,221,5.006610,Normal,24.16,24.160000,-95.000000,-117.956522,4237965930756398741,null,0,3,1
87,221,5.004332,Normal,24.16,24.160000,-95.000000,-117.956522,8714997455399995020,null,1,3,1
88,226,5.003538,Normal,24.16,24.160000,-95.000000,-117.956522,4300217835507305427,null,0,3,1
89,226,5.003571,Normal,24.16,24.160000,-95.000000,-117.956522,122640945575252126,null,1,3,1
90,231,5.005495,Normal,24.16,24.160000,-95.000000,-117.956522,17892032826920240641,null,0,3,1
91,231,5.003718,Normal,24.16,24.160000,-95.000000,-117.956522,9140940479661133022,null,1,3,1
92,236,5.004023,Normal,24.16,24.160000,-95.000000,-117.956522,16051022995067066852,null,0,3,1
93,236,5.004236,Normal,24.16,24.160000,-95.000000,-117.956522,8950524392845795048,null,1,3,1
94,241,5.004149,Normal,24.16,24.160000,-95.000000,-117.956522,12213966224458236829,null,0,3,1
95,241,5.004107,Normal,24.16,24.160000,-95.000000,-117.956522,10407415629557468880,null,1,3,1
96,246,5.005629,Normal,24.16,24.160000,-95.000000,-117.956522,5478728980166650745,null,0,3,1
97,246,5.006201,Normal,25.49,25.490000,-94.000000,-117.956522,1998549416019180108,null,1,3,1
98,251,5.003976,Normal,31.06,31.060000,-90.000000,-117.956522,15386196178011343991,null,0,3,1
99,251,5.003488,Normal,28.21,28.210000,-92.000000,-117.956522,1713895980096303653,null,1,3,1
100,256,5.004540,Normal,28.21,28.210000,-92.000000,-117.956522,393421494090553423,null,0,3,1
101,256,5.011054,Normal,28.21,28.210000,-92.000000,-117.956522,17231536638408002524,null,1,3,1
102,261,5.004987,Normal,26.83,26.830000,-93.000000,-117.956522,6568066785962414295,null,0,3,1
103,261,5.004010,Normal,26.83,26.830000,-93.000000,-117.956522,3451281533499451413,null,1,3,1
104,266,5.004789,Normal,26.83,26.830000,-93.000000,-117.956522,4127753951301408083,null,0,3,1
105,266,5.003458,Normal,24.16,24.160000,-95.000000,-117.956522,1085348057382908064,null,1,3,1
106,271,5.004822,Normal,24.16,24.160000,-95.000000,-117.956522,17475990681702149761,null,0,3,1
107,271,5.004470,Normal,24.16,24.160000,-95.000000,-117.956522,7297563334599387377,null,1,3,1
108,276,5.004555,Normal,24.16,24.160000,-95.000000,-117.956522,4660400734979113463,null,0,3,1
109,276,5.003537,Normal,24.16,24.160000,-95.000000,-117.956522,8407660818331088828,null,1,3,1
110,281,5.004060,Normal,24.16,24.160000,-95.000000,-117.956522,4053247239680071159,null,0,3,1
111,281,5.004847,Normal,24.16,24.160000,-95.000000,-117.956522,15391043347998746748,null,1,3,1
112,286,5.005093,Normal,24.16,24.160000,-95.000000,-117.956522,12393973385829693334,null,0,3,1
113,286,5.005820,Normal,35.58,35.580000,-87.000000,-117.956522,1906421867530329285,null,1,3,1
114,291,5.004481,Normal,24.16,24.160000,-95.000000,-117.956522,7702102879264017858,null,0,3,1
115,291,5.005451,Normal,24.16,24.160000,-95.000000,-117.956522,13986953312734533469,null,1,3,1
116,296,5.011936,Normal,24.16,24.160000,-95.000000,-117.956522,14656052602659052694,null,0,3,1
117,296,5.009074,Normal,24.16,24.160000,-95.000000,-117.956522,15407075774589874544,null,1,3,1
118,301,5.003501,Normal,24.16,24.160000,-95.000000,-117.956522,11442277747187200167,null,0,3,1
119,301,5.003968,Normal,24.16,24.160000,-95.000000,-117.956522,10078375518315874360,null,1,3,1
120,306,5.004983,Normal,26.78,26.780000,-93.000000,-117.903840,7643580515029811973,null,0,3,1
121,306,5.006781,Normal,24.16,24.160000,-95.000000,-117.956522,10587917979281752199,null,1,3,1
122,311,5.005272,Normal,25.49,25.490000,-94.000000,-117.956522,2770387028379891179,null,0,3,1
123,311,5.004627,Normal,26.83,26.830000,-93.000000,-117.956522,9020229536294556746,null,1,3,1
124,316,5.005131,Normal,24.16,24.160000,-95.000000,-117.956522,11631380911096274320,null,0,3,1
125,316,5.005297,Normal,34.5,34.500000,-91.000000,-122.396694,1168933148500318431,null,1,3,1
126,321,5.004937,Normal,48.59,48.590000,-86.000000,-127.785714,14470324329900389956,null,0,3,1
127,321,5.003888,Normal,48.59,48.590000,-86.000000,-127.785714,6883839975212356969,null,1,3,1
128,326,5.004727,Normal,25.85,25.850000,-95.000000,-119.556561,8797424189637244886,null,0,3,1
129,326,5.003773,Normal,24.16,24.160000,-95.000000,-117.956522,12205813307199830902,null,1,3,1
130,331,5.004127,Normal,33.8,33.800000,-86.000000,-115.064739,15844639163814287859,null,0,3,1
131,331,5.012027,Normal,27.19,27.190000,-94.000000,-119.556561,12088190329371881108,null,1,3,1
132,336,5.013851,Normal,45.21,45.210000,-88.000000,-127.785714,16592329091171430569,null,0,4,0
133,341,5.028147,Normal,32.54,32.540000,-89.000000,-117.956522,6938233412786002216,null,0,4,0
