EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.027015,Normal,28.31,28.310000,6826.000000,4893.326704,14921508010286178949,null,0,1,0
2,10,5.020087,Normal,29.82,29.820000,6825.999996,4790.448880,5643427149002281568,null,0,1,0
3,15,5.027866,Normal,28.3,28.300000,6825.999997,4894.044238,2823934824078185206,null,0,1,0
4,20,5.027185,Normal,28.3,28.300000,6825.999997,4894.044238,4953176355233792838,null,0,1,0
5,26,5.027508,Normal,28.3,28.300000,6825.999997,4894.044238,17389999200280525169,null,0,1,0
6,31,5.020767,Normal,28.3,28.300000,6825.999997,4894.044238,10932394299006356428,null,0,1,0
7,36,5.020258,Normal,28.36,28.360000,6825.999998,4889.896273,8683817217222751575,null,0,1,0
8,41,5.030296,Normal,30.01,30.010000,6825.999996,4777.468507,8426713912480278403,null,0,1,0
9,46,5.016373,Normal,28.38,28.380000,6825.999998,4888.739916,66560094061867943,null,0,1,0
10,51,5.024967,Normal,28.35,28.350000,6825.999999,4890.518466,10938499863717094109,null,0,1,0
11,57,5.021461,Normal,28.3,28.300000,6825.999997,4894.044238,13077815406065335359,null,0,1,0
12,62,5.022367,Normal,28.3,28.300000,6825.999997,4894.044238,14718808688324299525,null,0,1,0
13,67,5.024723,Normal,28.37,28.370000,6825.999998,4889.178177,5948685825087948624,null,0,1,0
14,72,5.029995,Normal,30.01,30.010000,6825.999996,4777.468507,17878160102696106270,null,0,1,0
15,77,5.026305,Normal,28.35,28.350000,6825.999997,4890.997704,14403042972698526843,null,0,1,0
16,82,5.026368,Normal,28.3,28.300000,6825.999997,4894.044238,9002657734057019648,null,0,1,0
17,88,5.027207,Normal,28.3,28.300000,6825.999997,4894.044238,11695041479610220446,null,0,1,0
18,93,5.027218,Normal,28.3,28.300000,6825.999997,4894.044238,7475797912735248108,null,0,1,0
19,98,5.021538,Normal,36.14,36.140000,6826.000000,4358.802489,8211792182747950806,null,0,1,0
20,103,5.020510,Normal,28.3,28.300000,6825.999997,4894.044238,12551533722498806011,null,0,1,0
21,5,5.018360,Normal,36.42,36.420000,7162.000000,4553.490000,17514050945686148453,null,1,1,0
22,10,5.031220,Normal,36.42,36.420000,7162.000000,4553.490000,14945327202240187335,null,1,1,0
23,15,5.023590,Normal,33.46,33.460000,6760.000000,4498.340000,5618135918108975868,null,1,1,0
24,20,5.013500,Normal,29.82,29.820000,6826.000000,4790.580000,18187865233440282756,null,1,1,0
25,26,5.020020,Normal,35.29,35.290000,6826.000000,4417.330000,6352249871399618991,null,1,1,0
