EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004527,Normal,29.38,29.380000,20560.000000,14519.131583,14921508010286178949,null,0,1,0
2,10,5.003276,Normal,33.7,33.700000,21228.000000,14074.429735,5643427149002281568,null,0,1,0
3,15,5.002934,Normal,34.27,34.270000,21228.000000,13953.983971,2823934824078185206,null,0,1,0
4,20,5.004536,Normal,32.35,32.350000,21228.000000,14360.691612,12911295086759950527,null,0,1,0
5,25,5.002970,Normal,29.92,29.920000,20534.000000,14390.953893,15495703117619861868,null,0,1,0
6,30,5.003110,Normal,29.42,29.420000,19941.000000,14074.429735,13964071529318666704,null,0,1,0
7,35,5.003271,Normal,29.38,29.380000,20560.000000,14519.131583,635589708496059671,null,0,1,0
8,40,5.003119,Normal,32.62,32.620000,21228.000000,14303.043993,16450644818478286277,null,0,1,0
9,45,5.003223,Normal,29.38,29.380000,20560.000000,14519.131583,2077675631147850639,null,0,1,0
10,50,5.003315,Normal,29.38,29.380000,20560.000000,14519.131583,2225858521084382651,null,0,1,0
11,55,5.003470,Normal,31.08,31.080000,20312.000000,13999.622419,3895283216737288575,null,0,1,0
12,60,5.033374,Normal,34.85,34.850000,21228.000000,13829.573449,16957666276679199244,null,0,1,0
13,65,5.003419,Normal,29.38,29.380000,20560.000000,14519.131583,6762843893550650360,null,0,1,0
14,70,5.003211,Normal,31.59,31.590000,21228.000000,14521.340908,844706301316953147,null,0,1,0
15,75,5.007020,Normal,29.38,29.380000,20560.000000,14519.131583,10905844833752053842,null,0,1,0
16,80,5.003570,Normal,29.42,29.420000,19941.000000,14074.429735,10346973009034893901,null,0,1,0
17,85,5.003509,Normal,34.27,34.270000,21228.000000,13953.983971,5948685825087948624,null,0,1,0
18,90,5.003570,Normal,31.59,31.590000,21228.000000,14521.340908,18060637416333092177,null,0,1,0
19,95,5.003326,Normal,29.38,29.380000,20560.000000,14519.131583,864434800366833410,null,0,1,0
20,100,5.003494,Normal,31.59,31.590000,21228.000000,14521.340908,10475899001479897097,null,0,1,0
21,5,5.006150,Normal,34.65,34.650000,20342.000000,13293.200000,17514050945686148453,null,1,1,0
22,10,5.007870,Normal,34.65,34.650000,20342.000000,13293.200000,14945327202240187335,null,1,1,0
23,15,5.006490,Normal,36.24,36.240000,20846.000000,13290.700000,5618135918108975868,null,1,1,0
24,20,5.005870,Normal,32.84,32.840000,20177.000000,13549.900000,14451080528597731927,null,1,1,0
25,25,5.003140,Normal,27.19,27.190000,19670.000000,14321.800000,2008866043198203729,null,1,1,0
26,30,5.010090,Normal,34.91,34.910000,21228.000000,13816.300000,12958196362911473347,null,1,1,0
27,35,5.003300,Normal,33.96,33.960000,21228.000000,14019.900000,434588622264425953,null,1,1,0
28,40,5.003450,Normal,29.56,29.560000,19925.000000,14034.800000,14339747839926656418,null,1,1,0
29,45,5.004160,Normal,31.36,31.360000,20837.000000,14303.500000,1911609352720659774,null,1,1,0
30,50,5.003620,Normal,27.19,27.190000,19670.000000,14321.800000,16398719897542059636,null,1,1,0
31,55,5.003550,Normal,27.19,27.190000,19670.000000,14321.800000,1969750911352997391,null,1,1,0
32,60,5.003250,Normal,33.91,33.910000,21228.000000,14029.000000,2992282010363148101,null,1,1,0
33,65,5.008030,Normal,31.05,31.050000,21226.000000,14635.900000,18176816011465650118,null,1,1,0
34,70,5.003290,Normal,27.19,27.190000,19670.000000,14321.800000,6824427139622087322,null,1,1,0
35,75,5.003120,Normal,27.19,27.190000,19670.000000,14321.800000,6229545762651978988,null,1,1,0
36,80,5.011120,Normal,41.94,41.940000,21228.000000,12325.200000,15701448470769573034,null,1,1,0
37,85,5.004080,Normal,27.19,27.190000,19670.000000,14321.800000,15023833571516450451,null,1,1,0
38,90,5.004460,Normal,27.83,27.830000,20270.000000,14628.400000,2747608453069113093,null,1,1,0
39,95,5.003270,Normal,29.71,29.710000,20051.000000,14094.700000,4585450476204170292,null,1,1,0
40,100,5.003160,Normal,32.03,32.030000,21228.000000,14428.800000,15315615275860136921,null,1,1,0
41,5,5.003840,Normal,38.71,38.710000,20123.000000,12332.800000,2804053118686667685,null,2,1,0
42,10,5.004700,Normal,38.96,38.960000,19875.000000,12131.300000,15558195506789843468,null,2,1,0
43,15,5.003510,Normal,38.71,38.710000,20123.000000,12332.800000,13303944659963484373,null,2,1,0
44,20,5.003820,Normal,41.66,41.660000,20346.000000,11869.500000,11199251386705429188,null,2,1,0
45,25,5.005640,Normal,36.92,36.920000,21083.000000,13300.200000,6270139998492463137,null,2,1,0
46,30,5.006640,Normal,33.78,33.780000,20270.000000,13421.800000,9375439909497471836,null,2,1,0
47,35,5.005950,Normal,34.65,34.650000,20342.000000,13293.200000,6678858865771253069,null,2,1,0
48,40,5.006130,Normal,33.78,33.780000,20270.000000,13421.800000,5273819903147895851,null,2,1,0
49,45,5.005680,Normal,35.43,35.430000,20524.000000,13251.600000,409401284752001507,null,2,1,0
50,50,5.006120,Normal,33.78,33.780000,20270.000000,13421.800000,6950635279219429393,null,2,1,0
51,55,5.005350,Normal,34.64,34.640000,20342.000000,13295.000000,3083737049003028595,null,2,1,0
52,60,5.005800,Normal,33.78,33.780000,20270.000000,13421.800000,8208285136201231999,null,2,1,0
53,65,5.005310,Normal,33.78,33.780000,20270.000000,13421.800000,12504688451658718899,null,2,1,0
54,70,5.002840,Normal,32.28,32.280000,21228.000000,14375.300000,10466108319544888998,null,2,1,0
55,75,5.009630,Normal,34.88,34.880000,21228.000000,13823.700000,3839671295796866610,null,2,1,0
56,80,5.003150,Normal,33.73,33.730000,21228.000000,14067.600000,4133944834542227374,null,2,1,0
57,85,5.004430,Normal,30.83,30.830000,21228.000000,14682.900000,2489525845970731287,null,2,1,0
58,90,5.004260,Normal,28.3,28.300000,19875.000000,14250.800000,9332206985472700492,null,2,1,0
59,95,5.003360,Normal,33.91,33.910000,21228.000000,14029.000000,7215783833340158330,null,2,1,0
60,100,5.003330,Normal,33.71,33.710000,21228.000000,14071.400000,14892490281770390279,null,2,1,0
61,5,5.011720,Normal,34.87,34.870000,21228.000000,13825.600000,145401686263944303,null,3,1,0
62,10,5.010720,Normal,34.87,34.870000,21228.000000,13825.600000,8799749763501343571,null,3,1,0
63,15,5.011500,Normal,34.87,34.870000,21228.000000,13825.600000,15708186979800204989,null,3,1,0
64,20,5.010740,Normal,34.8,34.800000,21228.000000,13840.200000,14547541339312857813,null,3,1,0
65,25,5.010550,Normal,34.8,34.800000,21228.000000,13840.200000,9751553250932254790,null,3,1,0
66,30,5.011960,Normal,34.8,34.800000,21228.000000,13840.200000,3039652428755603052,null,3,1,0
67,35,5.011000,Normal,34.8,34.800000,21228.000000,13840.200000,4324507943025438721,null,3,1,0
68,40,5.011050,Normal,35.05,35.050000,21228.000000,13787.600000,16215260288730416117,null,3,1,0
69,45,5.011360,Normal,34.82,34.820000,21228.000000,13836.800000,14479968263074247148,null,3,1,0
