EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003942,Normal,17.18,17.180000,2637476.000000,2184264.366267,14921508010286178949,null,0,1,0
2,10,5.003406,Normal,18.31,18.310000,2668232.999999,2179556.690007,2823934824078185206,null,0,1,0
3,15,5.003529,Normal,16.27,16.270000,2641461.000000,2211614.923829,3895283216737288575,null,0,1,0
4,20,5.006930,Normal,17.46,17.460000,2678391.000000,2210740.228028,1049631541030871684,null,0,1,0
5,25,5.002878,Normal,19.24,19.240000,2659476.000000,2147890.168771,16679742048881223644,null,0,1,0
6,30,5.003009,Normal,16.25,16.250000,2641461.000000,2212260.091894,6462305668448669345,null,0,1,0
7,35,5.002564,Normal,15.3,15.300000,2678391.000000,2268698.757865,1675061994520932546,null,0,1,0
8,40,5.003414,Normal,15.28,15.280000,2678391.000000,2269248.887961,13716955108508674556,null,0,1,0
9,45,5.002349,Normal,15.3,15.300000,2678391.000000,2268698.757865,469510370491789691,null,0,1,0
10,50,5.002544,Normal,18.48,18.480000,2678391.000000,2183344.041297,15446163851586011691,null,0,1,0
11,55,5.002459,Normal,17.04,17.040000,2716391.000000,2253447.203636,581730118522903691,null,0,1,0
12,60,5.002639,Normal,15.3,15.300000,2678391.000000,2268532.885901,18388227410568310386,null,0,1,0
13,65,5.003559,Normal,15.28,15.280000,2678391.000000,2269248.887961,3432735240545368144,null,0,1,0
14,70,5.004084,Normal,21.22,21.220000,2625156.000000,2068140.701060,6273258924486038737,null,0,1,0
15,75,5.002460,Normal,17.31,17.310000,2716391.000000,2246085.236836,10591317364926250130,null,0,1,0
16,80,5.005155,Normal,21.32,21.320000,2634415.999997,2072793.822088,5036612103465115872,null,0,1,0
17,85,5.002676,Normal,20.82,20.820000,2724946.000000,2157541.059067,2936458471949975941,null,0,1,0
18,90,5.003914,Normal,22.98,22.980000,2658141.999996,2047189.197733,3310748068429800794,null,0,1,0
19,95,5.002776,Normal,15.83,15.830000,2659476.000000,2238502.884260,10641127826547696493,null,0,1,0
20,100,5.003453,Normal,15.83,15.830000,2659476.000000,2238502.884260,16989829237837827594,null,0,1,0
21,5,5.004090,Normal,23.54,23.540000,2657970.000000,2032400.000000,8723278136865304665,null,1,1,0
22,10,5.002820,Normal,24.34,24.340000,2652200.000000,2006760.000000,4970148594231515670,null,1,1,0
23,15,5.003320,Normal,23.54,23.540000,2657970.000000,2032400.000000,2098913149819046562,null,1,1,0
24,20,5.004220,Normal,17.34,17.340000,2691900.000000,2225250.000000,16096926607947553079,null,1,1,0
25,25,5.058480,Normal,19.85,19.850000,2681310.000000,2149000.000000,16694637474619434949,null,1,1,0
26,30,5.055900,Normal,19.8,19.800000,2681310.000000,2150290.000000,17806737890496766564,null,1,1,0
27,35,5.004350,Normal,17.34,17.340000,2691900.000000,2225250.000000,16013003481142567195,null,1,1,0
28,40,5.004820,Normal,17.34,17.340000,2691900.000000,2225250.000000,1397933428060168984,null,1,1,0
29,45,5.005360,Normal,17.48,17.480000,2696570.000000,2225250.000000,5551141266148242684,null,1,1,0
30,50,5.003240,Normal,21.26,21.260000,2724950.000000,2145500.000000,12387477770196574076,null,1,1,0
31,55,5.002770,Normal,18.95,18.950000,2654680.000000,2151580.000000,3975472869781090716,null,1,1,0
32,60,5.003810,Normal,19.69,19.690000,2724950.000000,2188340.000000,9676650119520557615,null,1,1,0
33,65,5.002680,Normal,20.89,20.890000,2678390.000000,2118770.000000,345107134739819212,null,1,1,0
34,70,5.002790,Normal,20.34,20.340000,2681310.000000,2135990.000000,2106631336727746397,null,1,1,0
35,75,5.004750,Normal,17.34,17.340000,2691900.000000,2225250.000000,6545371333829026995,null,1,1,0
36,80,5.004660,Normal,19.12,19.120000,2721030.000000,2200830.000000,8618327910330644792,null,1,1,0
37,85,5.004920,Normal,17.48,17.480000,2696570.000000,2225250.000000,7676741957340480544,null,1,1,0
38,90,5.005310,Normal,22.64,22.640000,2669130.000000,2064910.000000,17904454852938198039,null,1,1,0
39,95,5.004100,Normal,21.36,21.360000,2628220.000000,2066850.000000,3944397064049265063,null,1,1,0
40,100,5.004850,Normal,17.48,17.480000,2696570.000000,2225250.000000,9660944373281738075,null,1,1,0
41,5,5.003750,Normal,21.67,21.670000,2628220.000000,2058710.000000,15446065792237984030,null,2,1,0
