instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
neos-4387871-tavua.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/1_neos-4387871-tavua_seed-3_20260505_005459,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/1_neos-4387871-tavua_seed-3_20260505_005459/run.log
neos-4954672-berkel.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/2_neos-4954672-berkel_seed-3_20260505_011107,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/2_neos-4954672-berkel_seed-3_20260505_011107/run.log
neos-5093327-huahum.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/3_neos-5093327-huahum_seed-3_20260505_012435,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/3_neos-5093327-huahum_seed-3_20260505_012435/run.log
nexp-150-20-8-5.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/4_nexp-150-20-8-5_seed-3_20260505_014535,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/4_nexp-150-20-8-5_seed-3_20260505_014535/run.log
rococoB10-011000.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/5_rococoB10-011000_seed-3_20260505_015903,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/5_rococoB10-011000_seed-3_20260505_015903/run.log
sorrell3.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/6_sorrell3_seed-3_20260505_021345,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/6_sorrell3_seed-3_20260505_021345/run.log
supportcase26.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/7_supportcase26_seed-3_20260505_023258,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/7_supportcase26_seed-3_20260505_023258/run.log
supportcase40.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/8_supportcase40_seed-3_20260505_025510,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/8_supportcase40_seed-3_20260505_025510/run.log
supportcase6.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/9_supportcase6_seed-3_20260505_031327,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/9_supportcase6_seed-3_20260505_031327/run.log
var-smallemery-m6j6.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/10_var-smallemery-m6j6_seed-3_20260505_032842,/scratch/yorig/mpils-results-grid-seconds-5-4may/medium-2/4proc/seed-3/10_var-smallemery-m6j6_seed-3_20260505_032842/run.log
