EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.023676,Normal,9.79,9.790000,-142.031250,-155.938326,14921508010286178949,null,0,1,0
2,10,5.020400,Normal,9.79,9.790000,-142.031250,-155.938326,5643427149002281568,null,0,1,0
3,15,5.023406,Normal,10.56,10.560000,-140.937500,-155.820393,2823934824078185206,null,0,1,0
4,20,5.021599,Normal,10.64,10.640000,-140.937500,-155.938326,12911295086759950527,null,0,1,0
5,26,5.017150,Normal,10.64,10.640000,-140.937500,-155.938326,15495703117619861868,null,0,1,0
6,31,5.019711,Normal,9.79,9.790000,-142.031250,-155.938326,13964071529318666704,null,0,1,0
7,36,5.017966,Normal,10.64,10.640000,-140.937500,-155.938326,635589708496059671,null,0,1,0
8,41,5.017581,Normal,10.57,10.570000,-140.937500,-155.832090,16450644818478286277,null,0,1,0
9,46,5.020578,Normal,9.79,9.790000,-142.031250,-155.938326,2077675631147850639,null,0,1,0
10,52,5.022291,Normal,9.79,9.790000,-142.031250,-155.938326,2225858521084382651,null,0,1,0
11,57,5.022463,Normal,10.64,10.640000,-140.937500,-155.938326,3895283216737288575,null,0,1,0
12,62,5.018591,Normal,14.88,14.880000,-135.843750,-156.056268,16957666276679199244,null,0,1,0
13,67,5.020581,Normal,9.79,9.790000,-142.031250,-155.938326,6762843893550650360,null,0,1,0
14,72,5.028618,Normal,9.79,9.790000,-142.031250,-155.938326,844706301316953147,null,0,1,0
15,78,5.020852,Normal,9.79,9.790000,-142.031250,-155.938326,10905844833752053842,null,0,1,0
16,83,5.021387,Normal,9.79,9.790000,-142.031250,-155.938326,10346973009034893901,null,0,1,0
17,88,5.056558,Normal,10.47,10.470000,-140.937500,-155.687066,5948685825087948624,null,0,1,0
18,93,5.016949,Normal,10.64,10.640000,-140.937500,-155.938326,18060637416333092177,null,0,1,0
19,98,5.019976,Normal,10.64,10.640000,-140.937500,-155.938326,864434800366833410,null,0,1,0
