EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004291,51.33,51.330000,1650013849.999506,803033273.654835,14921508010286178949,null,0,1,0
2,10,5.003820,52.11,52.110000,1683347916.666667,806079978.167498,2823934824078185206,null,0,1,0
3,15,5.008211,49.79,49.790000,1593348520.000000,800005869.986754,844706301316953147,null,0,1,0
4,20,5.002415,51.49,51.490000,1650015050.000000,800412689.808299,300411628152950630,null,0,1,0
5,25,5.003386,52.94,52.940000,1700014549.999000,800004616.240314,9083158521763270140,null,0,1,0
6,30,5.017038,49.79,49.790000,1593348520.000000,800006028.985467,9001690191229605544,null,0,1,0
7,35,5.017131,50,50.000000,1600015250.000000,800006255.326732,11415306107196363309,null,0,1,0
8,40,5.003568,47.06,47.060000,1700015100.000000,900005423.513216,6527031708453753794,null,0,1,0
9,45,5.005333,50.58,50.580000,1625014575.000000,803149018.623599,4366405140146509336,null,0,1,0
10,50,5.002800,35.28,35.280000,1545014020.000000,1000002279.318163,3242524941886811588,null,0,1,0
11,55,5.009440,35.48,35.480000,1550014050.000000,1000005073.846154,9349609256136945076,null,0,1,0
12,60,5.002981,50,50.000000,1600013433.330333,800004360.075088,10706974756939140074,null,0,1,0
13,65,5.004783,52.94,52.940000,1700013950.000000,800005801.256276,7713530131881664580,null,0,1,0
14,70,5.003033,42.24,42.240000,1433345533.333333,827912495.216184,1022071155137584061,null,0,1,0
15,75,5.003647,46.67,46.670000,1500012949.997225,800005932.897944,10934190324494141854,null,0,1,0
16,80,5.025853,36.51,36.510000,1575013625.000000,1000005269.362170,2788508905325843803,null,0,1,0
17,85,5.003808,38.7,38.700000,1533346466.666000,940006555.058138,1834606084838608061,null,0,1,0
18,90,5.033294,34.78,34.780000,1533347166.666667,1000002279.318163,14230583360183771852,null,0,1,0
19,95,5.003689,45.76,45.760000,1475013050.000006,800005975.637430,10364030338585192225,null,0,1,0
20,100,5.002600,33.33,33.330000,1500012950.000000,1000002279.318163,14522757394311797972,null,0,1,0
21,5,5.004540,50,50.000000,1600020000.000000,800004000.000000,4742023368992659407,null,1,1,0
22,10,5.003750,50,50.000000,1600010000.000000,800004000.000000,6256578975208963304,null,1,1,0
23,15,5.003110,50,50.000000,1600020000.000000,800004000.000000,4212311836723003975,null,1,1,0
24,20,5.007940,50,50.000000,1600020000.000000,800004000.000000,2573251395108725737,null,1,1,0
25,25,5.004770,49.21,49.210000,1575020000.000000,800003000.000000,1919750748207864055,null,1,1,0
26,30,5.007700,48.94,48.940000,1566680000.000000,800004000.000000,12170421410415508284,null,1,1,0
27,35,5.002900,51.52,51.520000,1650020000.000000,800004000.000000,11155293636165913534,null,1,1,0
28,40,5.003260,49.21,49.210000,1575020000.000000,800004000.000000,14986643767913997868,null,1,1,0
29,45,5.007440,49.21,49.210000,1575020000.000000,800004000.000000,1176910196402198944,null,1,1,0
30,50,5.004590,52.94,52.940000,1700010000.000000,800004000.000000,13542458994619495638,null,1,1,0
31,55,5.005720,45.03,45.030000,1755570000.000000,964979000.000000,12770687450911684389,null,1,1,0
32,60,5.042360,52.94,52.940000,1700010000.000000,800004000.000000,15381106938254348828,null,1,1,0
33,65,5.004450,51.03,51.030000,1700020000.000000,832438000.000000,1343254367577789173,null,1,1,0
34,70,5.002360,45.74,45.740000,1842870000.000000,1000010000.000000,5284318921351125900,null,1,1,0
35,75,5.003940,44.44,44.440000,1800020000.000000,1000010000.000000,11242972777738608003,null,1,1,0
36,80,5.004130,50,50.000000,1800010000.000000,900005000.000000,5126550067205311172,null,1,1,0
37,85,5.002830,43.75,43.750000,1600010000.000000,900003000.000000,9240113141329838902,null,1,1,0
38,90,5.006180,44.83,44.830000,1450010000.000000,800007000.000000,2348891208322455947,null,1,1,0
39,95,5.003440,52.94,52.940000,1700010000.000000,800006000.000000,16102986237469750670,null,1,1,0
40,100,5.003050,43.75,43.750000,1600010000.000000,900004000.000000,8181032022941000542,null,1,1,0
41,105,5.005280,48.2,48.200000,1544458077.777778,800005042.440221,4228041680454205584,null,0,1,1
42,110,5.015819,48.49,48.490000,1650015925.000000,850003508.215596,11429370386548359830,null,0,1,1
43,115,5.003508,50,50.000000,1600015199.999991,800005010.630531,4936736282091330615,null,0,1,1
44,120,5.003339,47.53,47.530000,1600013433.333333,839545722.881164,4250873418214124902,null,0,1,1
45,125,5.003526,48.26,48.260000,1600014300.000000,827912113.522527,15947627933080747156,null,0,1,1
46,130,5.004652,48.26,48.260000,1600014299.998000,827911939.228372,13332515102903723361,null,0,1,1
47,135,5.003142,44.12,44.120000,1700013608.811708,950005070.997703,11711684240746156523,null,0,1,1
48,140,5.003504,40.3,40.300000,1675014225.000006,1000002329.271396,8573875481745535162,null,0,1,1
49,145,5.004132,50,50.000000,1600014600.000000,800005420.559365,11158127125306471590,null,0,1,1
50,150,5.004015,46.66,46.660000,1500012950.000000,800045653.325500,1870523957706745566,null,0,1,1
51,155,5.004802,51.72,51.720000,1657156828.571429,800006322.723979,12446227071006502076,null,0,1,1
52,160,5.002457,51.52,51.520000,1650015650.000000,800005400.000000,10457991162084099924,null,0,1,1
53,165,5.002946,40.68,40.680000,1475013050.000000,875005857.792191,3431865204185341991,null,0,1,1
54,170,5.007395,52.94,52.940000,1700017100.000000,800005031.271347,14991786146082946201,null,0,1,1
55,175,5.005028,50,50.000000,1600014616.666667,800004978.161333,18171201283425163942,null,0,1,1
56,180,5.005206,51.02,51.020000,1633347033.333334,800004918.268020,14161315360604806899,null,0,1,1
57,185,5.003769,52.94,52.940000,1700014150.000000,800006013.924051,8533626218698530149,null,0,1,1
58,190,5.003543,48.5,48.500000,1562514137.500000,804655480.041018,5366330900701609403,null,0,1,1
59,195,5.005431,47.69,47.690000,1530013280.000000,800412644.976253,3993456174924088907,null,0,1,1
