EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.039153,5.63,5.630000,50.000000,47.186667,14921508010286178949,null,0,1,0
2,10,5.016738,5.63,5.630000,50.000000,47.186667,2823934824078185206,null,0,1,0
3,15,5.011459,3.7,3.700000,49.000000,47.186667,3895283216737288575,null,0,1,0
4,20,5.008901,3.7,3.700000,49.000000,47.186667,1049631541030871684,null,0,1,0
5,25,5.021794,3.7,3.700000,49.000000,47.186667,16679742048881223644,null,0,1,0
6,30,5.010547,3.7,3.700000,49.000000,47.186667,6462305668448669345,null,0,1,0
7,35,5.013103,5.63,5.630000,50.000000,47.186667,5988662020493846908,null,0,1,0
8,40,5.010323,5.63,5.630000,50.000000,47.186667,4862113567422649290,null,0,1,0
9,45,5.011670,3.7,3.700000,49.000000,47.186667,2441688160292591395,null,0,1,0
10,50,5.010721,5.63,5.630000,50.000000,47.186667,3823057375706889759,null,0,1,0
11,55,5.011515,5.63,5.630000,50.000000,47.186667,14605588685206531618,null,0,1,0
12,60,5.013577,5.63,5.630000,50.000000,47.186667,15743638518301921207,null,0,1,0
13,65,5.009986,5.63,5.630000,50.000000,47.186667,12911295086759950527,null,0,1,0
14,70,5.009597,3.7,3.700000,49.000000,47.186667,16710989201653268352,null,0,1,0
15,75,5.011905,5.63,5.630000,50.000000,47.186667,1307886365978403084,null,0,1,0
16,80,5.009621,3.7,3.700000,49.000000,47.186667,14518627335714223442,null,0,1,0
17,85,5.008513,5.63,5.630000,50.000000,47.186667,16450644818478286277,null,0,1,0
18,90,5.147586,3.7,3.700000,49.000000,47.186667,17956490771213986838,null,0,1,0
19,95,5.040778,3.7,3.700000,49.000000,47.186667,7713530131881664580,null,0,1,0
20,100,5.036578,3.7,3.700000,49.000000,47.186667,2861183227548455869,null,0,1,0
21,5,5.013550,5.63,5.630000,50.000000,47.186700,8723278136865304665,null,1,1,0
22,10,5.011410,5.63,5.630000,50.000000,47.186700,4970148594231515670,null,1,1,0
23,15,5.042410,5.63,5.630000,50.000000,47.186700,2098913149819046562,null,1,1,0
24,20,5.007240,5.63,5.630000,50.000000,47.186700,16096926607947553079,null,1,1,0
25,25,5.009070,5.63,5.630000,50.000000,47.186700,10855493633358854012,null,1,1,0
26,30,5.043190,3.7,3.700000,49.000000,47.186700,12085058044227750276,null,1,1,0
27,35,5.008080,3.7,3.700000,49.000000,47.186700,15235910596849928401,null,1,1,0
28,40,5.007670,3.7,3.700000,49.000000,47.186700,17767974255694952705,null,1,1,0
29,45,5.008350,3.7,3.700000,49.000000,47.186700,3042319671078986065,null,1,1,0
30,50,5.033640,3.7,3.700000,49.000000,47.186700,5950553070097493001,null,1,1,0
31,55,5.008270,3.7,3.700000,49.000000,47.186700,12513190431786578718,null,1,1,0
32,60,5.006900,5.63,5.630000,50.000000,47.186700,280552621453005026,null,1,1,0
33,65,5.050630,3.7,3.700000,49.000000,47.186700,8487751112166024486,null,1,1,0
34,70,5.074010,5.63,5.630000,50.000000,47.186700,17812840212793920127,null,1,1,0
35,75,5.008190,3.7,3.700000,49.000000,47.186700,17682920575451369598,null,1,1,0
36,80,5.048410,3.7,3.700000,49.000000,47.186700,3287811628515553475,null,1,1,0
37,85,5.016600,3.7,3.700000,49.000000,47.186700,14577471514035369670,null,1,1,0
38,90,5.013840,5.63,5.630000,50.000000,47.186700,8928152884353011530,null,1,1,0
39,95,5.009440,3.7,3.700000,49.000000,47.186700,17526302767673923860,null,1,1,0
40,100,5.008350,5.63,5.630000,50.000000,47.186700,9839889299797985975,null,1,1,0
41,105,5.006793,3.7,3.700000,49.000000,47.186667,5071944672512797259,null,0,1,1
42,110,5.037936,3.7,3.700000,49.000000,47.186667,1258333979204404999,null,0,1,1
43,115,5.026639,3.7,3.700000,49.000000,47.186667,9079797385151017316,null,0,1,1
44,121,5.007707,3.7,3.700000,49.000000,47.186667,8576533644038031167,null,0,1,1
45,126,5.007064,5.63,5.630000,50.000000,47.186667,6121139791648500101,null,0,1,1
46,131,5.006115,5.63,5.630000,50.000000,47.186667,9444816721219908753,null,0,1,1
47,136,5.045227,3.7,3.700000,49.000000,47.186667,7518987215591080263,null,0,1,1
48,141,5.013082,3.7,3.700000,49.000000,47.186667,8403795924196848710,null,0,1,1
49,146,5.008991,5.63,5.630000,50.000000,47.186667,10923830436152519747,null,0,1,1
50,151,5.006266,5.63,5.630000,50.000000,47.186667,12487956500839884,null,0,1,1
51,156,5.007625,5.63,5.630000,50.000000,47.186667,9151214116595659491,null,0,1,1
52,161,5.007249,7.48,7.480000,51.000000,47.186667,5960653855864733534,null,0,1,1
