EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004023,7.37,7.370000,11801.185729,10931.475952,14921508010286178949,null,0,1,0
2,10,5.004075,7.19,7.190000,11801.185729,10952.367304,8683817217222751575,null,0,1,0
3,15,5.009694,7.19,7.190000,11801.185729,10952.367304,1109746989676116089,null,0,1,0
4,20,5.004347,6.98,6.980000,11801.185729,10977.656621,18425285283540328501,null,0,1,0
5,25,5.002076,7.18,7.180000,11801.185729,10953.960515,6070537763972133232,null,0,1,0
6,30,5.002238,7.16,7.160000,11801.185729,10955.888327,9428679558194670920,null,0,1,0
7,35,5.002022,5.89,5.890000,11801.185729,11106.269819,4815033675713270516,null,0,1,0
8,40,5.002433,5.79,5.790000,11801.185729,11117.811415,7871030047706827809,null,0,1,0
9,45,5.004317,5.73,5.730000,11801.185729,11125.021746,6835024588631728636,null,0,1,0
10,50,5.002820,11.12,11.120000,11983.529154,10650.892365,517776526044466248,null,0,1,0
11,55,5.002450,5.67,5.670000,11801.185729,11131.678686,15509290313755215919,null,0,1,0
12,60,5.003433,8.47,8.470000,11877.694361,10871.302667,15017725423364954335,null,0,1,0
13,65,5.002399,6.15,6.150000,11801.185729,11075.721361,4553833153291620195,null,0,1,0
14,70,5.006268,6.02,6.020000,11801.185729,11090.419093,9184096621864317930,null,0,1,0
15,75,5.005929,5.73,5.730000,11801.185729,11124.704673,4226466483508747854,null,0,1,0
16,80,5.009240,11.12,11.120000,11983.529154,10650.892365,10419661703412308137,null,0,1,0
17,85,5.004167,5.91,5.910000,11801.185729,11104.094888,243735248033210831,null,0,1,0
18,90,5.005089,5.89,5.890000,11801.185729,11106.269819,7547180101863458077,null,0,1,0
19,95,5.005624,5.69,5.690000,11801.185729,11129.434890,11143791850350570247,null,0,1,0
20,100,5.014102,7.58,7.580000,11801.185729,10906.316669,12498237841794579524,null,0,1,0
21,5,5.003990,10.45,10.450000,11891.300000,10649.000000,6439873165248256756,null,1,1,0
22,10,5.006640,11.17,11.170000,12007.700000,10666.400000,11255561039145532449,null,1,1,0
23,15,5.005420,11.27,11.270000,11982.900000,10632.900000,16491404846762771235,null,1,1,0
24,20,5.005560,9.75,9.750000,11801.200000,10650.900000,14641529875676470423,null,1,1,0
25,25,5.005300,10.19,10.190000,11857.400000,10649.000000,6180013470909553343,null,1,1,0
26,30,5.009500,9.75,9.750000,11801.200000,10650.900000,18181308809607689415,null,1,1,0
27,35,5.004560,11,11.000000,11985.200000,10667.300000,167073399308404491,null,1,1,0
28,40,5.023730,9.53,9.530000,11801.200000,10676.000000,2124134745575245083,null,1,1,0
29,45,5.002960,9.53,9.530000,11801.200000,10676.000000,17448994907849059821,null,1,1,0
30,50,5.005900,11.49,11.490000,12062.600000,10676.000000,11630394027452693141,null,1,1,0
31,55,5.014310,9.54,9.540000,11801.200000,10675.800000,3835054278916981086,null,1,1,0
32,60,5.003300,9.4,9.400000,11801.200000,10692.300000,4865856817145733078,null,1,1,0
33,65,5.002530,9.44,9.440000,11801.200000,10687.600000,7214459775766091044,null,1,1,0
34,70,5.002860,9.44,9.440000,11801.200000,10687.600000,17209550133604794986,null,1,1,0
35,75,5.003630,9.53,9.530000,11801.200000,10677.100000,17608610080010624073,null,1,1,0
36,80,5.004720,9.44,9.440000,11801.200000,10687.600000,14950185540675155937,null,1,1,0
37,85,5.005500,9.44,9.440000,11801.200000,10687.600000,16823300959272772204,null,1,1,0
38,90,5.003030,7.09,7.090000,11801.200000,10964.700000,10581760081638376039,null,1,1,0
39,95,5.003170,7.07,7.070000,11801.200000,10966.400000,16129009417319891601,null,1,1,0
40,100,5.003190,7.38,7.380000,11801.200000,10929.800000,14442212894416209828,null,1,1,0
41,105,5.005794,5.36,5.360000,11801.185729,11168.528754,509193506388462569,null,0,1,1
42,105,5.003580,5.15,5.150000,11801.185729,11193.281408,13798367567074333763,null,1,1,1
43,110,5.002437,5.72,5.720000,11801.185729,11126.491782,15509290313755215919,null,0,2,0
44,115,5.005513,5.69,5.690000,11801.185729,11129.404579,17913919675562784967,null,0,2,0
45,120,5.002832,5.43,5.430000,11801.185729,11160.929321,11080843219626660211,null,0,2,0
46,125,5.006123,5.88,5.880000,11801.185729,11107.710033,4244223751688482973,null,0,2,0
47,130,5.005281,5.73,5.730000,11801.185729,11125.021746,17673687361390509449,null,0,2,0
48,135,5.023544,5.42,5.420000,11801.185729,11161.412067,11243037287168157141,null,0,2,0
49,110,5.002860,9.38,9.380000,11801.200000,10694.500000,2750739447067069705,null,1,2,0
50,115,5.003060,9.38,9.380000,11801.200000,10694.500000,13954830148923955863,null,1,2,0
51,120,5.002500,11.18,11.180000,11978.800000,10639.400000,1196383510435479487,null,1,2,0
52,125,5.003090,10.83,10.830000,11978.800000,10681.700000,15786124835935667630,null,1,2,0
53,130,5.007950,10.59,10.590000,11945.800000,10680.200000,10814539592768964864,null,1,2,0
54,135,5.003530,9.38,9.380000,11801.200000,10694.500000,18183930593866637844,null,1,2,0
55,140,5.002890,5.41,5.410000,11801.185729,11162.190327,5493980103112637246,null,0,2,1
56,145,5.002691,5.63,5.630000,11801.185729,11136.822042,7845992911762115698,null,0,2,1
57,150,5.003114,5.18,5.180000,11801.185729,11189.948113,16879279593608911624,null,0,2,1
58,155,5.004864,5.26,5.260000,11801.185729,11180.316839,13783177775674794360,null,0,2,1
59,160,5.003042,10.73,10.730000,12175.099984,10868.387134,17352431880941025399,null,0,2,1
60,165,5.002493,8.36,8.360000,11931.694361,10934.395601,16686316685596123371,null,0,2,1
61,170,5.002018,5.79,5.790000,11801.185729,11118.361531,13496835057953423069,null,0,2,1
62,175,5.002374,6.69,6.690000,11877.694361,11083.378932,15235910972787636384,null,0,2,1
63,180,5.002905,6.67,6.670000,11801.185729,11013.900561,199686209575054427,null,0,2,1
64,185,5.006393,13.14,13.140000,12209.892379,10605.558830,1106786947582373668,null,0,2,1
65,190,5.002977,10.53,10.530000,11985.177453,10722.910258,17050586157379558796,null,0,2,1
66,195,5.002886,12.14,12.140000,12161.371258,10684.455231,697656845510004763,null,0,2,1
67,200,5.003122,5.12,5.120000,11801.185729,11197.328113,9857742736671838839,null,0,2,1
68,140,5.002698,5.88,5.880000,11801.185729,11107.048362,8163121500840751293,null,1,2,1
69,145,5.019718,5.37,5.370000,11801.185729,11167.089278,2950035664051233745,null,1,2,1
70,150,5.003395,5.78,5.780000,11801.185729,11119.517398,13682480494003786091,null,1,2,1
71,155,5.003191,5.51,5.510000,11801.185729,11151.508701,5798790423560323274,null,1,2,1
72,160,5.010268,5.46,5.460000,11801.185729,11157.382075,13741901634728755034,null,1,2,1
73,165,5.002636,5.69,5.690000,11801.185729,11130.286301,11876070168299517653,null,1,2,1
74,170,5.002601,5.89,5.890000,11801.185729,11105.918445,16544851001674301687,null,1,2,1
75,175,5.002579,5.91,5.910000,11801.185729,11104.094888,12764718809509649978,null,1,2,1
76,180,5.002845,5.16,5.160000,11801.185729,11191.654876,17866105718215028482,null,1,2,1
77,185,5.002932,5.48,5.480000,11801.185729,11154.281777,8843258041878945409,null,1,2,1
78,190,5.007954,5.71,5.710000,11801.185729,11126.946221,16181436365995447052,null,1,2,1
79,195,5.002953,5.78,5.780000,11801.185729,11119.476122,17457805385473822742,null,1,2,1
80,200,5.002631,5.62,5.620000,11801.185729,11138.320830,6124897076996556297,null,1,2,1
81,206,5.001878,5.65,5.650000,11801.185729,11134.744802,6572090820840171104,null,0,3,0
82,211,5.003257,5.79,5.790000,11801.185729,11118.347023,2536978972836116668,null,0,3,0
