instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
csched008.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/1_csched008_seed-5_20260502_192509,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/1_csched008_seed-5_20260502_192509/run.log
fastxgemm-n2r6s0t2.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/2_fastxgemm-n2r6s0t2_seed-5_20260502_194101,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/2_fastxgemm-n2r6s0t2_seed-5_20260502_194101/run.log
glass4.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/3_glass4_seed-5_20260502_195641,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/3_glass4_seed-5_20260502_195641/run.log
lotsize.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/4_lotsize_seed-5_20260502_201412,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/4_lotsize_seed-5_20260502_201412/run.log
mas74.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/5_mas74_seed-5_20260502_203617,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/5_mas74_seed-5_20260502_203617/run.log
neos-4413714-turia.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/6_neos-4413714-turia_seed-5_20260502_205647,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/6_neos-4413714-turia_seed-5_20260502_205647/run.log
qap10.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/7_qap10_seed-5_20260502_212211,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/7_qap10_seed-5_20260502_212211/run.log
rocI-4-11.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/8_rocI-4-11_seed-5_20260502_212319,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/8_rocI-4-11_seed-5_20260502_212319/run.log
supportcase18.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/9_supportcase18_seed-5_20260502_213741,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/9_supportcase18_seed-5_20260502_213741/run.log
supportcase33.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/10_supportcase33_seed-5_20260502_215132,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/easy/2proc/seed-5/10_supportcase33_seed-5_20260502_215132/run.log
