EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.012481,28.56,28.560000,1793426.999999,1281258.471422,14921508010286178949,null,0,1,0
2,10,5.010305,29.99,29.990000,1848694.999998,1294239.751127,2823934824078185206,null,0,1,0
3,15,5.013958,27,27.000000,1769713.000000,1291868.774499,3895283216737288575,null,0,1,0
4,20,5.011891,29.02,29.020000,1822930.000000,1293914.647671,1049631541030871684,null,0,1,0
5,25,5.014854,25.72,25.720000,1792400.999999,1331479.804058,16679742048881223644,null,0,1,0
6,30,5.010992,25.87,25.870000,1794231.999999,1329984.653783,5826761873059806248,null,0,1,0
7,35,5.010856,25.76,25.760000,1792400.999999,1330725.676861,4753199439758930964,null,0,1,0
8,40,5.013569,25.3,25.300000,1777433.000000,1327713.134509,12116950701432349655,null,0,1,0
9,45,5.010564,24.53,24.530000,1749307.000000,1320172.174345,13021042638478834492,null,0,1,0
10,50,5.010771,24.22,24.220000,1739604.000000,1318320.230806,8174957904706015393,null,0,1,0
11,55,5.012977,28.44,28.440000,1843381.999999,1319167.105352,6759520450873354873,null,0,1,0
12,60,5.010485,24.83,24.830000,1755054.999999,1319228.184174,16161221487080333197,null,0,1,0
13,65,5.010412,27.12,27.120000,1804749.999999,1315304.409417,7752194582002336987,null,0,1,0
14,70,5.015368,27.82,27.820000,1776281.999999,1282041.598241,8681453523357361424,null,0,1,0
15,75,5.014221,24.46,24.460000,1749307.000000,1321391.018086,813259194471581574,null,0,1,0
16,80,5.012569,25.72,25.720000,1792400.999999,1331479.804058,10591460970130914737,null,0,1,0
17,85,5.010277,39.34,39.340000,1940615.000000,1177185.481417,8555484442632026181,null,0,1,0
18,90,5.029208,32.35,32.350000,1940615.000000,1312920.065186,14127127688766739014,null,0,1,0
19,95,5.012346,26.22,26.220000,1786442.999998,1318078.959972,7796997070082349895,null,0,1,0
20,100,5.009814,68.25,68.250000,1940615.000000,616209.036328,7000450240918768743,null,0,1,0
21,5,5.003980,25.99,25.990000,1699430.000000,1257720.000000,8723278136865304665,null,1,1,0
22,10,5.004650,32.79,32.790000,1825750.000000,1227060.000000,4970148594231515670,null,1,1,0
23,15,5.004550,25.72,25.720000,1655040.000000,1229380.000000,2098913149819046562,null,1,1,0
24,20,5.006330,26.73,26.730000,1567220.000000,1148320.000000,14941587328240492291,null,1,1,0
25,25,5.013370,26.73,26.730000,1567220.000000,1148320.000000,2792895396170894892,null,1,1,0
26,30,5.004510,25.72,25.720000,1655040.000000,1229380.000000,9414181165683156458,null,1,1,0
27,35,5.004780,25.72,25.720000,1655040.000000,1229380.000000,18368262985047444403,null,1,1,0
28,40,5.004560,25.72,25.720000,1655040.000000,1229380.000000,8431264211995136302,null,1,1,0
29,45,5.006070,23.14,23.140000,1688650.000000,1297980.000000,8168469344796460727,null,1,1,0
30,50,5.005830,19.19,19.190000,1618930.000000,1308230.000000,7017209149664994162,null,1,1,0
31,55,5.035800,20.86,20.860000,1677980.000000,1327980.000000,11290626753266849981,null,1,1,0
32,60,5.004530,24.83,24.830000,1714000.000000,1288490.000000,14241961784587386463,null,1,1,0
33,65,5.005450,22.09,22.090000,1616980.000000,1259750.000000,15888343005037060817,null,1,1,0
34,70,5.006990,20.91,20.910000,1658100.000000,1311460.000000,9600892259315989219,null,1,1,0
35,75,5.012520,24.72,24.720000,1763180.000000,1327260.000000,5900705502554308027,null,1,1,0
36,80,5.013850,23.64,23.640000,1759900.000000,1343840.000000,18440782920157591290,null,1,1,0
37,85,5.033710,19.16,19.160000,1549220.000000,1252450.000000,18350070819048909707,null,1,1,0
38,90,5.003430,23.84,23.840000,1644410.000000,1252450.000000,6729954927477718000,null,1,1,0
39,95,5.010930,58.78,58.780000,2800800.000000,1154470.000000,3279151817524102736,null,1,1,0
40,100,5.030820,19.16,19.160000,1549220.000000,1252450.000000,3567142292965138301,null,1,1,0
41,5,5.015570,27.37,27.370000,1831320.000000,1330100.000000,15446065792237984030,null,2,1,0
42,10,5.009590,28.95,28.950000,1872180.000000,1330100.000000,4202048695090355429,null,2,1,0
43,15,5.017400,22.62,22.620000,1723780.000000,1333850.000000,1438553583210240060,null,2,1,0
44,20,5.010870,25.65,25.650000,1784460.000000,1326710.000000,2280800952473145312,null,2,1,0
45,25,5.015830,22.05,22.050000,1711260.000000,1333960.000000,6765806572274570993,null,2,1,0
46,30,5.014440,27.33,27.330000,1841910.000000,1338480.000000,14805199791895917889,null,2,1,0
47,35,5.017410,23.09,23.090000,1739390.000000,1337840.000000,5163765092059108932,null,2,1,0
48,40,5.012680,22.05,22.050000,1711260.000000,1333960.000000,5900292036280685013,null,2,1,0
49,45,5.015140,22.93,22.930000,1749530.000000,1348310.000000,14045827802281475243,null,2,1,0
50,50,5.013430,23.72,23.720000,1764470.000000,1345890.000000,6539902364177888558,null,2,1,0
51,55,5.012570,22.05,22.050000,1711260.000000,1333960.000000,14280664245202811801,null,2,1,0
52,60,5.011670,25.94,25.940000,1785640.000000,1322360.000000,5598165109803859624,null,2,1,0
53,65,5.005270,31.27,31.270000,1924430.000000,1322670.000000,14137823124304981236,null,2,1,0
54,70,5.007960,30.32,30.320000,1897900.000000,1322370.000000,4035940615164631750,null,2,1,0
55,75,5.014880,23.09,23.090000,1739390.000000,1337840.000000,14716923845047058640,null,2,1,0
56,80,5.006200,25.6,25.600000,1800290.000000,1339430.000000,15676456980279876168,null,2,1,0
57,85,5.013340,62.07,62.070000,1551280.000000,588434.000000,13450032462038992207,null,2,1,0
