EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.010547,27.54,27.540000,28249.840000,20469.349450,14921508010286178949,null,0,1,0
2,10,5.003841,22.63,22.630000,26151.300000,20234.005085,10101538263502436884,null,0,1,0
3,15,5.004125,22.63,22.630000,26151.300000,20234.005085,14880678517235238818,null,0,1,0
4,20,5.004608,35.71,35.710000,26678.250000,17152.016120,4934740888478172005,null,0,1,0
5,25,5.006421,51.85,51.850000,25630.900000,12340.560687,3793061173611652593,null,0,1,0
6,30,5.009680,22.79,22.790000,26453.270000,20423.409582,9316799145851188295,null,0,1,0
7,35,5.003416,22.22,22.220000,26505.630000,20614.956306,435339654445841590,null,0,1,0
8,40,5.003498,28.31,28.310000,28353.500000,20326.214023,14955943753975624090,null,0,1,0
9,45,5.004093,21.29,21.290000,26191.730000,20614.956306,1333570878132213475,null,0,1,0
10,50,5.007860,20.74,20.740000,25743.270000,20403.567106,7469841069273365367,null,0,1,0
11,55,5.003466,22.83,22.830000,26715.130000,20614.956306,8369518548037755976,null,0,1,0
12,60,5.006300,21.19,21.190000,25503.110000,20097.846911,3847493871623121314,null,0,1,0
13,65,5.007472,27.04,27.040000,27306.700000,19923.606370,7166600907415017760,null,0,1,0
14,70,5.007163,22.03,22.030000,26027.900000,20294.880221,3362899636032410115,null,0,1,0
15,75,5.006050,20.8,20.800000,25743.270000,20388.293389,7976113148062349402,null,0,1,0
16,80,5.005807,22.79,22.790000,26453.270000,20423.409582,6970174728301331728,null,0,1,0
17,85,5.005895,20.8,20.800000,25743.270000,20388.293389,9868053314607465494,null,0,1,0
18,90,5.005730,24.09,24.090000,25819.120000,19599.369176,10078812320696938866,null,0,1,0
19,95,5.006677,19.62,19.620000,25413.750000,20428.172288,9156833422006016071,null,0,1,0
20,100,5.005396,21.99,21.990000,25862.240000,20174.645370,11777347710198226668,null,0,1,0
21,5,5.011770,22.29,22.290000,25562.300000,19864.000000,9686720361045965965,null,1,1,0
22,10,5.010080,21.26,21.260000,25791.800000,20309.300000,14977320980139403669,null,1,1,0
23,15,5.010450,21.26,21.260000,25791.800000,20309.300000,6900896254888489057,null,1,1,0
24,20,5.011650,24.42,24.420000,26892.000000,20324.500000,310494264194603193,null,1,1,0
25,25,5.007060,55.94,55.940000,25630.900000,11292.800000,1169425567451093850,null,1,1,0
26,30,5.009360,23.2,23.200000,26047.400000,20004.600000,2365507332469088318,null,1,1,0
27,35,5.009200,23.18,23.180000,26169.000000,20102.700000,718436855236861245,null,1,1,0
28,40,5.008060,21.26,21.260000,25791.800000,20309.300000,16000941504924986952,null,1,1,0
29,45,5.007940,21.26,21.260000,25791.800000,20309.300000,13085142890989382541,null,1,1,0
30,50,5.008660,21.26,21.260000,25791.800000,20309.300000,15162745138756906137,null,1,1,0
31,55,5.009050,21.26,21.260000,25791.800000,20309.300000,2057489992720434847,null,1,1,0
32,60,5.009210,21.26,21.260000,25791.800000,20309.300000,3509116492690434847,null,1,1,0
33,65,5.009730,29.85,29.850000,28245.400000,19814.300000,5710348878039728083,null,1,1,0
34,70,5.009900,23.2,23.200000,26047.400000,20004.600000,2854857213036358008,null,1,1,0
35,75,5.010980,21.66,21.660000,25872.200000,20268.100000,1698815858495011613,null,1,1,0
36,80,5.005160,24.3,24.300000,26850.100000,20324.500000,13235688858974276600,null,1,1,0
37,85,5.009840,22.4,22.400000,26134.000000,20280.400000,15014210636279907952,null,1,1,0
38,90,5.009220,23.2,23.200000,26047.400000,20004.600000,1455673053683296396,null,1,1,0
