EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.010183,23.34,23.340000,-33.200000,-40.950000,14921508010286178949,null,0,1,0
2,10,5.009719,23.34,23.340000,-33.200000,-40.950000,5643427149002281568,null,0,1,0
3,15,5.009684,23.34,23.340000,-33.200000,-40.950000,2823934824078185206,null,0,1,0
4,21,5.023611,23.34,23.340000,-33.200000,-40.950000,12911295086759950527,null,0,1,0
5,26,5.010225,23.34,23.340000,-33.200000,-40.950000,15495703117619861868,null,0,1,0
6,31,5.010011,23.34,23.340000,-33.200000,-40.950000,13964071529318666704,null,0,1,0
7,37,5.015569,23.34,23.340000,-33.200000,-40.950000,635589708496059671,null,0,1,0
8,42,5.012516,23.34,23.340000,-33.200000,-40.950000,16450644818478286277,null,0,1,0
9,47,5.009885,23.34,23.340000,-33.200000,-40.950000,2077675631147850639,null,0,1,0
10,52,5.024328,23.34,23.340000,-33.200000,-40.950000,2225858521084382651,null,0,1,0
11,58,5.022017,23.34,23.340000,-33.200000,-40.950000,3895283216737288575,null,0,1,0
12,63,5.016422,23.34,23.340000,-33.200000,-40.950000,16957666276679199244,null,0,1,0
13,68,5.024175,23.34,23.340000,-33.200000,-40.950000,6762843893550650360,null,0,1,0
14,74,5.011919,23.34,23.340000,-33.200000,-40.950000,844706301316953147,null,0,1,0
15,79,5.013507,23.34,23.340000,-33.200000,-40.950000,10905844833752053842,null,0,1,0
16,84,5.009409,23.34,23.340000,-33.200000,-40.950000,10346973009034893901,null,0,1,0
17,89,5.009685,23.34,23.340000,-33.200000,-40.950000,5948685825087948624,null,0,1,0
18,95,5.009630,23.34,23.340000,-33.200000,-40.950000,18060637416333092177,null,0,1,0
19,100,5.009482,23.34,23.340000,-33.200000,-40.950000,864434800366833410,null,0,1,0
20,105,5.021678,23.34,23.340000,-33.200000,-40.950000,10475899001479897097,null,0,1,0
21,5,5.009960,23.34,23.340000,-33.200000,-40.950000,17514050945686148453,null,1,1,0
22,10,5.026180,23.34,23.340000,-33.200000,-40.950000,14945327202240187335,null,1,1,0
23,15,5.010000,23.34,23.340000,-33.200000,-40.950000,5618135918108975868,null,1,1,0
24,21,5.009830,23.34,23.340000,-33.200000,-40.950000,14451080528597731927,null,1,1,0
