EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005944,11.75,11.750000,29320.000000,25876.028077,14921508010286178949,null,0,1,0
2,10,5.002539,15.79,15.790000,29368.000000,24729.551852,5643427149002281568,null,0,1,0
3,15,5.005055,17.71,17.710000,29858.000000,24570.607243,2823934824078185206,null,0,1,0
4,20,5.004849,17.93,17.930000,29560.000000,24261.291991,12911295086759950527,null,0,1,0
5,25,5.007835,11.75,11.750000,29320.000000,25876.028077,15495703117619861868,null,0,1,0
6,30,5.007680,13.57,13.570000,28612.000000,24729.551852,13964071529318666704,null,0,1,0
7,35,5.007459,11.75,11.750000,29320.000000,25876.028077,635589708496059671,null,0,1,0
8,40,5.005412,11.53,11.530000,29046.000000,25697.957941,16450644818478286277,null,0,1,0
9,45,5.005282,17.34,17.340000,29681.000000,24533.753939,15743638518301921207,null,0,1,0
10,50,5.005547,11.53,11.530000,29046.000000,25697.957941,8072248657571659494,null,0,1,0
11,55,5.005174,10.76,10.760000,29046.000000,25920.423482,11955410339736752056,null,0,1,0
12,60,5.005047,14.57,14.570000,29223.000000,24965.568046,1861566145767096219,null,0,1,0
13,65,5.005210,10.76,10.760000,29046.000000,25920.423482,11300786933409214828,null,0,1,0
14,70,5.004989,11.53,11.530000,29046.000000,25697.957941,7243998897530177175,null,0,1,0
15,75,5.005102,11.53,11.530000,29046.000000,25697.957941,9894321853420648009,null,0,1,0
16,80,5.005400,21.34,21.340000,30698.000000,24145.857143,8231821064026944110,null,0,1,0
17,85,5.005203,11.53,11.530000,29046.000000,25697.957941,5388722425551471032,null,0,1,0
18,90,5.005276,15.95,15.950000,29380.000000,24695.231284,6010467171295984527,null,0,1,0
19,95,5.007564,18.99,18.990000,30237.000000,24494.257274,9609809399184634108,null,0,1,0
20,100,5.010321,18.79,18.790000,30520.000000,24785.294341,14653569487722581816,null,0,1,0
21,105,5.005206,10.76,10.760000,29046.000000,25920.423482,4750248294005106914,null,0,1,1
22,110,5.005468,11.53,11.530000,29046.000000,25697.957941,17291417885469698028,null,0,1,1
23,115,5.004917,10.76,10.760000,29046.000000,25920.423482,1008588469710050857,null,0,1,1
24,120,5.005235,11.53,11.530000,29046.000000,25697.957941,6234020047914238103,null,0,1,1
25,125,5.006457,14.11,14.110000,30178.000000,25919.811062,3866407563771474683,null,0,1,1
26,130,5.005369,14.11,14.110000,30178.000000,25919.811062,8482349409903587396,null,0,1,1
27,135,5.004937,11.53,11.530000,29046.000000,25697.957941,13071976075344871458,null,0,1,1
28,140,5.006364,11.53,11.530000,29046.000000,25697.957941,14865145350276168938,null,0,1,1
29,145,5.006978,22.59,22.590000,32043.000000,24802.993811,1807541158493982680,null,0,1,1
30,150,5.006499,21.55,21.550000,32351.000000,25379.988244,8309787766069692952,null,0,1,1
31,155,5.004036,1.79769e+308,,,24785.294341,4140815090946488245,null,0,1,1
32,160,5.004465,1.79769e+308,,,24816.749658,7033164805929103306,null,0,1,1
33,165,5.005762,10.76,10.760000,29046.000000,25920.423482,9251503157512378381,null,0,1,1
34,170,5.004053,11.91,11.910000,29719.000000,26178.170636,14857673024512495527,null,0,1,1
35,175,5.004332,15.28,15.280000,29256.000000,24785.294341,14602860727041544032,null,0,1,1
36,180,5.005489,15.77,15.770000,29426.000000,24785.294341,5053149065829334765,null,0,1,1
37,185,5.005343,10.27,10.270000,29238.000000,26235.123712,9518639279441731973,null,0,1,1
38,190,5.003903,1.79769e+308,,,24832.881139,10086515098988988996,null,0,2,0
39,195,5.007463,10.93,10.930000,29241.000000,26044.412498,8476512898304830900,null,0,2,0
40,200,5.005641,10.27,10.270000,29238.000000,26235.123712,13169229904172097457,null,0,2,0
41,205,5.010834,18.79,18.790000,30520.000000,24785.294341,8550234547105661344,null,0,2,0
42,210,5.006168,12.96,12.960000,30196.000000,26283.326373,16176771606204114180,null,0,2,0
43,215,5.004669,10.27,10.270000,29238.000000,26235.123712,513018261421415417,null,0,2,0
44,220,5.005662,10.27,10.270000,29238.000000,26235.123712,11026702911377912117,null,0,2,1
45,225,5.004686,10.27,10.270000,29238.000000,26235.123712,16477580327945707196,null,0,2,1
46,230,5.004715,10.27,10.270000,29238.000000,26235.123712,16624617428297735553,null,0,2,1
47,235,5.005724,10.27,10.270000,29238.000000,26235.123712,4603614448269037866,null,0,2,1
48,240,5.004970,10.27,10.270000,29238.000000,26235.123712,2212773927031635774,null,0,2,1
49,246,5.006026,10.27,10.270000,29238.000000,26235.123712,3933072248710543476,null,0,2,1
50,251,5.004989,10.27,10.270000,29238.000000,26235.123712,2985667338489959408,null,0,2,1
51,256,5.004491,10.27,10.270000,29238.000000,26235.123712,9135058050911930938,null,0,2,1
52,261,5.004872,10.27,10.270000,29238.000000,26235.123712,10486220245865994250,null,0,2,1
53,266,5.006321,10.27,10.270000,29238.000000,26235.123712,1009970906874822433,null,0,2,1
54,271,5.005817,10.27,10.270000,29238.000000,26235.123712,11066524296285042027,null,0,2,1
55,276,5.005035,10.27,10.270000,29238.000000,26235.123712,6404932105217418693,null,0,2,1
56,281,5.005022,12.65,12.650000,30075.000000,26271.025882,7412180545320385820,null,0,2,1
57,286,5.006716,12.58,12.580000,29753.000000,26010.622039,12819808111454053506,null,0,2,1
58,291,5.006183,12.91,12.910000,30119.000000,26229.514439,14042006628156812176,null,0,2,1
59,296,5.006083,13.79,13.790000,30453.000000,26252.965799,13860888020982040111,null,0,2,1
60,301,5.005468,12.96,12.960000,30196.000000,26283.326373,5787067682976189652,null,0,2,1
61,306,5.005094,11.57,11.570000,29753.000000,26310.228860,3521428847223971503,null,0,2,1
62,311,5.006568,13.93,13.930000,30323.000000,26099.846177,9446991680046005314,null,0,2,1
63,316,5.005105,13.93,13.930000,30323.000000,26099.846177,10821815230257167021,null,0,2,1
64,321,5.003484,10.27,10.270000,29238.000000,26235.123712,7344393890971065450,null,0,2,1
65,326,5.004093,10.27,10.270000,29238.000000,26235.123712,2336684599459592189,null,0,2,1
66,331,5.003836,10.27,10.270000,29238.000000,26235.123712,13013789827180476950,null,0,2,1
67,336,5.004021,10.27,10.270000,29238.000000,26235.123712,17169382491927762208,null,0,2,1
68,341,5.003857,10.27,10.270000,29238.000000,26235.123712,14390420895982608523,null,0,2,1
69,346,5.003884,10.27,10.270000,29238.000000,26235.123712,16714100475124749735,null,0,2,1
70,351,5.004064,10.27,10.270000,29238.000000,26235.123712,9542085647555866111,null,0,2,1
71,356,5.003995,10.27,10.270000,29238.000000,26235.123712,13550193326104023454,null,0,2,1
72,361,5.004936,1.79769e+308,,,24802.993811,2538217183849854205,null,0,2,1
73,366,5.003419,32.6,32.600000,38606.000000,26019.012180,8405732395670215387,null,0,2,1
74,371,5.005714,23.37,23.370000,29954.000000,22954.000000,3258708701214716884,null,0,2,1
75,376,5.004077,10.27,10.270000,29238.000000,26235.123712,3906259577954019211,null,0,2,1
76,381,5.004064,10.27,10.270000,29238.000000,26235.123712,13107970857830192383,null,0,2,1
77,386,5.003922,10.27,10.270000,29238.000000,26235.123712,3998607534077878999,null,0,2,1
78,391,5.003920,10.27,10.270000,29238.000000,26235.123712,1398700637171395269,null,0,2,1
79,396,5.005198,12.93,12.930000,30225.000000,26315.770114,7837697681215787601,null,0,2,1
80,401,5.005551,11.27,11.270000,29618.000000,26279.210585,13683293358437210299,null,0,2,1
81,406,5.005497,13.54,13.540000,30394.000000,26280.028288,11872436375215604928,null,0,2,1
