EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005929,32.99,32.990000,34.142100,22.877948,14921508010286178949,null,0,1,0
2,10,5.012694,32.99,32.990000,34.142100,22.877948,10101538263502436884,null,0,1,0
3,15,5.004214,35.01,35.010000,34.142100,22.189418,10346973009034893901,null,0,1,0
4,20,5.017166,32.99,32.990000,34.142100,22.877948,635589708496059671,null,0,1,0
5,25,5.004763,33.73,33.730000,33.798940,22.397657,5948685825087948624,null,0,1,0
6,30,5.007511,32.99,32.990000,34.142100,22.877948,6762843893550650360,null,0,1,0
7,35,5.005695,32.99,32.990000,34.142100,22.877948,13290681019215308220,null,0,1,0
8,40,5.015087,35.88,35.880000,34.142100,21.890863,844706301316953147,null,0,1,0
9,45,5.006003,32.99,32.990000,34.142100,22.877948,2225858521084382651,null,0,1,0
10,50,5.004634,32.99,32.990000,34.142100,22.877948,281880667954374288,null,0,1,0
11,55,5.005641,32.99,32.990000,34.142100,22.877948,16450644818478286277,null,0,1,0
12,60,5.005007,35.28,35.280000,33.970520,21.987181,13964071529318666704,null,0,1,0
13,65,5.009699,32.09,32.090000,33.970520,23.070773,16957666276679199244,null,0,1,0
14,70,5.010446,32.09,32.090000,33.970520,23.070773,9316799145851188295,null,0,1,0
15,75,5.011184,32.09,32.090000,33.970520,23.070773,10136391872394692371,null,0,1,0
16,80,5.029935,33.96,33.960000,34.142100,22.546332,1962580943703632403,null,0,1,0
17,85,5.008831,33.81,33.810000,34.142100,22.598526,9790877350325995247,null,0,1,0
18,90,5.006889,31.95,31.950000,33.556310,22.836074,5398713608842390699,null,0,1,0
19,95,5.005886,31.95,31.950000,33.556310,22.836074,1852653753117493246,null,0,1,0
20,100,5.005320,31.95,31.950000,33.556310,22.836074,9488507934449369295,null,0,1,0
21,5,5.011450,41.98,41.980000,34.384700,19.949900,9686720361045965965,null,1,1,0
22,10,5.010520,36.53,36.530000,33.798900,21.451500,14977320980139403669,null,1,1,0
23,15,5.011530,37.27,37.270000,34.384700,21.570200,6900896254888489057,null,1,1,0
24,20,5.007550,37.32,37.320000,34.142100,21.400800,310494264194603193,null,1,1,0
25,25,5.007370,47.09,47.090000,34.142100,18.063600,1169425567451093850,null,1,1,0
26,30,5.010540,37.27,37.270000,34.384700,21.570200,2365507332469088318,null,1,1,0
