EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003101,17.7,17.700000,1776.756508,1462.242733,14921508010286178949,null,0,1,0
2,10,5.004725,17.59,17.590000,1785.248931,1471.274624,8683817217222751575,null,0,1,0
3,15,5.007091,17.36,17.360000,1785.248930,1475.297272,1109746989676116089,null,0,1,0
4,20,5.002492,17.23,17.230000,1781.002719,1474.155696,8922813005609054591,null,0,1,0
5,25,5.003539,18.94,18.940000,1814.972409,1471.156639,10535844257046861981,null,0,1,0
6,30,5.004487,18.83,18.830000,1823.421636,1479.992871,14287723523544119192,null,0,1,0
7,35,5.006715,18.09,18.090000,1823.421635,1493.492826,15698224127470996287,null,0,1,0
8,40,5.010093,17.77,17.770000,1797.987564,1478.399099,7823902003105478575,null,0,1,0
9,45,5.005027,20.67,20.670000,1857.391325,1473.417986,11511669895017624170,null,0,1,0
10,50,5.002941,19.19,19.190000,1814.972409,1466.642745,14362875194648240785,null,0,1,0
11,55,5.003800,18.74,18.740000,1874.419366,1523.094495,2463828792448055363,null,0,1,0
12,60,5.014572,18.44,18.440000,1802.233775,1469.891200,12888482828633900124,null,0,1,0
13,65,5.005176,17.68,17.680000,1785.248931,1469.591815,17160789492527329850,null,0,1,0
14,70,5.004347,22.03,22.030000,1799.555365,1403.135903,9002218094150405681,null,0,1,0
15,75,5.004523,23.06,23.060000,1793.698157,1380.088820,11345600435966607007,null,0,1,0
16,80,5.003282,17.21,17.210000,1781.002719,1474.576859,12212679471206823458,null,0,1,0
17,85,5.004494,17.14,17.140000,1781.002719,1475.808597,5598204436578686673,null,0,1,0
18,90,5.002966,19.5,19.500000,1857.391325,1495.202052,8227437086404876403,null,0,1,0
19,95,5.003045,20.2,20.200000,1844.652692,1472.124155,4567059885755527213,null,0,1,0
20,100,5.004455,17.03,17.030000,1781.002719,1477.743390,767152649634296335,null,0,1,0
21,5,5.003700,22.32,22.320000,1789.950000,1390.480000,6439873165248256756,null,1,1,0
22,10,5.002530,21.81,21.810000,1772.510000,1385.880000,11255561039145532449,null,1,1,0
23,15,5.002420,21.81,21.810000,1772.510000,1385.880000,13537950976286585776,null,1,1,0
24,20,5.018880,22.37,22.370000,1785.250000,1385.880000,1543992123533599919,null,1,1,0
25,25,5.025300,22,22.000000,1776.760000,1385.880000,14009712684742254439,null,1,1,0
26,30,5.003880,20.49,20.490000,1747.030000,1389.030000,9152225097391836983,null,1,1,0
27,35,5.002480,20.49,20.490000,1747.030000,1389.030000,7175277100558198735,null,1,1,0
28,40,5.003240,20.49,20.490000,1747.030000,1389.030000,10916087405892859718,null,1,1,0
29,45,5.002520,21,21.000000,1760.090000,1390.390000,9543194682814193745,null,1,1,0
30,50,5.002490,20.49,20.490000,1747.030000,1389.030000,17608610080010624073,null,1,1,0
31,55,5.005400,21.09,21.090000,1747.030000,1378.550000,4296045147399869194,null,1,1,0
32,60,5.007510,20.49,20.490000,1747.030000,1389.030000,3684839894587016456,null,1,1,0
