EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.013964,34.97,34.970000,-15.000000,-20.245619,14921508010286178949,null,0,1,0
2,10,5.015272,36.56,36.560000,-15.000000,-20.483874,5643427149002281568,null,0,1,0
3,15,5.015308,35.52,35.520000,-15.000000,-20.327254,2823934824078185206,null,0,1,0
4,21,5.014938,35.52,35.520000,-15.000000,-20.327254,12911295086759950527,null,0,1,0
5,26,5.013917,35.52,35.520000,-15.000000,-20.327254,15495703117619861868,null,0,1,0
6,31,5.014584,35.52,35.520000,-15.000000,-20.327254,13964071529318666704,null,0,1,0
7,36,5.013820,35.52,35.520000,-15.000000,-20.327254,635589708496059671,null,0,1,0
8,42,5.046562,35.52,35.520000,-15.000000,-20.327254,16450644818478286277,null,0,1,0
9,47,5.051725,35.52,35.520000,-15.000000,-20.327254,2077675631147850639,null,0,1,0
10,52,5.015618,35.52,35.520000,-15.000000,-20.327254,2225858521084382651,null,0,1,0
11,57,5.013144,34.97,34.970000,-15.000000,-20.245619,3895283216737288575,null,0,1,0
12,63,5.015107,42.79,42.790000,-15.000000,-21.418937,16957666276679199244,null,0,1,0
13,68,5.015277,35.52,35.520000,-15.000000,-20.327254,6762843893550650360,null,0,1,0
14,73,5.013624,35.52,35.520000,-15.000000,-20.327254,844706301316953147,null,0,1,0
15,78,5.013783,34.97,34.970000,-15.000000,-20.245619,10905844833752053842,null,0,1,0
16,84,5.013575,35.52,35.520000,-15.000000,-20.327254,10346973009034893901,null,0,1,0
17,89,5.014351,35.52,35.520000,-15.000000,-20.327254,5948685825087948624,null,0,1,0
18,94,5.013232,35.52,35.520000,-15.000000,-20.327254,18060637416333092177,null,0,1,0
19,99,5.014195,35.52,35.520000,-15.000000,-20.327254,864434800366833410,null,0,1,0
20,105,5.014379,34.97,34.970000,-15.000000,-20.245619,10475899001479897097,null,0,1,0
21,5,5.016550,35.52,35.520000,-15.000000,-20.327300,17514050945686148453,null,1,1,0
22,10,5.014320,35.52,35.520000,-15.000000,-20.327300,14945327202240187335,null,1,1,0
23,15,5.020830,35.52,35.520000,-15.000000,-20.327300,5618135918108975868,null,1,1,0
24,21,5.017900,35.52,35.520000,-15.000000,-20.327300,14451080528597731927,null,1,1,0
25,26,5.012400,35.52,35.520000,-15.000000,-20.327300,14848801465634500120,null,1,1,0
26,31,5.011250,35.52,35.520000,-15.000000,-20.327300,5751493537778056445,null,1,1,0
27,36,5.010770,35.52,35.520000,-15.000000,-20.327300,3285289725500150287,null,1,1,0
28,42,5.011950,35.52,35.520000,-15.000000,-20.327300,2978541634261456060,null,1,1,0
29,47,5.015280,35.52,35.520000,-15.000000,-20.327300,3333717581537672010,null,1,1,0
30,52,5.011430,35.52,35.520000,-15.000000,-20.327300,8725071177841226662,null,1,1,0
31,57,5.010970,35.52,35.520000,-15.000000,-20.327300,14748301322663243038,null,1,1,0
