EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.184332,34.96,34.960000,21228.000000,13807.069690,14921508010286178949,null,0,1,0
2,10,5.214287,34.94,34.940000,21228.000000,13811.318816,2823934824078185206,null,0,1,0
3,15,5.091796,44.67,44.670000,21228.000000,11744.876421,8211792182747950806,null,0,1,0
4,20,5.206263,37.6,37.600000,21228.000000,13246.319841,7996245778148271637,null,0,1,0
5,25,5.006262,34.94,34.940000,21228.000000,13811.318816,13816062404021032092,null,0,1,0
6,31,5.213486,34.94,34.940000,21228.000000,13811.318816,9002657734057019648,null,0,1,0
7,36,5.054908,34.81,34.810000,21228.000000,13837.705617,4224704790384270877,null,0,1,0
8,41,5.093012,34.81,34.810000,21228.000000,13837.705617,8510482686144944158,null,0,1,0
9,46,5.054763,34.85,34.850000,21228.000000,13829.386480,2441688160292591395,null,0,1,0
10,51,5.008030,34.81,34.810000,21228.000000,13839.229683,8683817217222751575,null,0,1,0
11,56,5.007440,40.22,40.220000,20936.000000,12514.761741,3388673737561012652,null,0,1,0
12,61,5.054992,34.81,34.810000,21228.000000,13837.705617,14922610808749074189,null,0,1,0
13,66,5.083672,34.81,34.810000,21228.000000,13837.705617,12854658231499805072,null,0,1,0
14,71,5.007777,34.84,34.840000,21228.000000,13831.430932,7040482131495544149,null,0,1,0
15,76,5.008266,34.81,34.810000,21228.000000,13837.572293,5851055747708778244,null,0,1,0
16,81,5.008512,34.81,34.810000,21228.000000,13837.572293,5049419880861449681,null,0,1,0
17,86,5.217645,34.98,34.980000,21228.000000,13802.348704,4953176355233792838,null,0,1,0
18,91,5.034059,34.84,34.840000,21228.000000,13831.430932,11695041479610220446,null,0,1,0
19,97,5.130454,34.81,34.810000,21228.000000,13837.705617,2026759176471162006,null,0,1,0
20,102,5.008100,34.97,34.970000,21228.000000,13804.617882,4916318742863578662,null,0,1,0
21,5,5.006820,35.96,35.960000,20712.000000,13263.000000,4742023368992659407,null,1,1,0
22,10,5.006900,40.94,40.940000,20040.000000,11836.500000,6256578975208963304,null,1,1,0
23,15,5.006230,36.11,36.110000,20646.000000,13190.600000,4212311836723003975,null,1,1,0
24,20,5.006200,35.96,35.960000,20712.000000,13263.000000,2573251395108725737,null,1,1,0
25,25,5.006670,35.36,35.360000,20516.000000,13260.700000,1919750748207864055,null,1,1,0
