EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.022516,10.64,10.640000,-140.937500,-155.938326,14921508010286178949,null,0,1,0
2,10,5.024014,10.72,10.720000,-140.937500,-156.048283,8683817217222751575,null,0,1,0
3,15,5.020991,10.64,10.640000,-140.937500,-155.938326,9658482938002475941,null,0,1,0
4,20,5.020606,10.64,10.640000,-140.937500,-155.938326,6762843893550650360,null,0,1,0
5,26,5.022394,9.72,9.720000,-142.031250,-155.832090,14770251354950928531,null,0,1,0
6,31,5.021887,9.72,9.720000,-142.031250,-155.832090,11666252435646076626,null,0,1,0
7,36,5.021521,9.79,9.790000,-142.031250,-155.938326,5988662020493846908,null,0,1,0
8,41,5.023650,9.72,9.720000,-142.031250,-155.832090,7546529019771280744,null,0,1,0
9,47,5.016902,60.16,60.160000,-97.437500,-156.056268,6447204706455729812,null,0,1,0
10,52,5.022569,9.72,9.720000,-142.031250,-155.832090,982730380044948298,null,0,1,0
11,57,5.040937,9.72,9.720000,-142.031250,-155.832090,6389865117513611435,null,0,1,0
12,62,5.021913,9.72,9.720000,-142.031250,-155.832090,16867142091176465754,null,0,1,0
13,67,5.026507,9.72,9.720000,-142.031250,-155.832090,7731515200120874478,null,0,1,0
14,73,5.028649,10.64,10.640000,-140.937500,-155.938326,3895283216737288575,null,0,1,0
15,78,5.018306,9.72,9.720000,-142.031250,-155.832090,4210072402446711936,null,0,1,0
16,83,5.017931,12.39,12.390000,-138.843750,-156.048283,16899722969686440636,null,0,1,0
17,88,5.015974,10.51,10.510000,-140.937500,-155.755393,4403795101158116818,null,0,1,0
18,93,5.018869,12.24,12.240000,-138.843750,-155.832090,6345961133544176677,null,0,1,0
19,99,5.054814,9.72,9.720000,-142.031250,-155.832090,17846396744683150994,null,0,1,0
20,104,5.017793,10.57,10.570000,-140.937500,-155.832090,4155217603842334998,null,0,1,0
21,5,5.025860,7.21,7.210000,-145.219000,-155.687000,6439873165248256756,null,1,1,0
