EvalID,TimeEvaluated,SolverRuntimeSeconds,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003502,16.44,16.440000,2628216.000000,2196101.948561,14921508010286178949,null,0,1,0
2,10,5.002669,17.19,17.190000,2646763.999999,2191823.629217,2823934824078185206,null,0,1,0
3,15,5.002642,15.85,15.850000,2637475.999992,2219392.913709,3895283216737288575,null,0,1,0
4,20,5.004184,15.85,15.850000,2637475.999992,2219392.913709,1049631541030871684,null,0,1,0
5,25,5.003196,18.17,18.170000,2637475.999998,2158238.557510,16679742048881223644,null,0,1,0
6,30,5.003556,15.85,15.850000,2637475.999992,2219392.913709,6462305668448669345,null,0,1,0
7,35,5.003030,16.44,16.440000,2628216.000000,2196140.648165,5988662020493846908,null,0,1,0
8,40,5.003143,21.22,21.220000,2625156.000000,2068140.701060,4862113567422649290,null,0,1,0
9,45,5.002609,16.65,16.650000,2625155.999999,2188046.743398,2441688160292591395,null,0,1,0
10,50,5.005703,16.09,16.090000,2658974.999999,2231173.904397,3823057375706889759,null,0,1,0
11,55,5.003005,15.85,15.850000,2637475.999992,2219392.913709,14605588685206531618,null,0,1,0
12,60,5.003172,16.44,16.440000,2628216.000000,2196101.948561,15743638518301921207,null,0,1,0
13,65,5.003050,17.98,17.980000,2659468.999990,2181428.982362,12911295086759950527,null,0,1,0
14,70,5.002968,18.31,18.310000,2659468.999998,2172535.650525,16710989201653268352,null,0,1,0
15,75,5.003351,22.97,22.970000,2678391.000000,2063092.666436,1307886365978403084,null,0,1,0
16,80,5.003016,15.85,15.850000,2637475.999992,2219392.913709,14518627335714223442,null,0,1,0
17,85,5.003006,16.44,16.440000,2628216.000000,2196140.648165,16450644818478286277,null,0,1,0
18,90,5.002451,18.04,18.040000,2628216.000000,2154189.754103,17956490771213986838,null,0,1,0
19,95,5.002754,18.47,18.470000,2655343.000000,2164992.886895,7713530131881664580,null,0,1,0
20,100,5.003178,17.62,17.620000,2662324.999999,2193195.462832,2861183227548455869,null,0,1,0
21,5,5.003280,23.91,23.910000,2670960.000000,2032400.000000,8723278136865304665,null,1,1,0
22,10,5.003390,25.09,25.090000,2679010.000000,2006760.000000,4970148594231515670,null,1,1,0
23,15,5.002820,23.91,23.910000,2670960.000000,2032400.000000,2098913149819046562,null,1,1,0
24,20,5.003910,16.77,16.770000,2681310.000000,2231660.000000,16096926607947553079,null,1,1,0
25,25,5.003640,19.72,19.720000,2681310.000000,2152680.000000,16694637474619434949,null,1,1,0
26,30,5.003400,19.72,19.720000,2681310.000000,2152680.000000,17806737890496766564,null,1,1,0
27,35,5.003730,16.77,16.770000,2681310.000000,2231660.000000,16013003481142567195,null,1,1,0
28,40,5.003350,16.77,16.770000,2681310.000000,2231660.000000,1397933428060168984,null,1,1,0
29,45,5.003480,16.77,16.770000,2681310.000000,2231660.000000,5551141266148242684,null,1,1,0
30,50,5.003330,21.15,21.150000,2724950.000000,2148650.000000,12387477770196574076,null,1,1,0
31,55,5.002690,18.66,18.660000,2654680.000000,2159350.000000,3975472869781090716,null,1,1,0
32,60,5.003150,19.39,19.390000,2723580.000000,2195470.000000,9676650119520557615,null,1,1,0
33,65,5.002960,20.73,20.730000,2678390.000000,2123050.000000,345107134739819212,null,1,1,0
34,70,5.003310,20.18,20.180000,2681310.000000,2140120.000000,2106631336727746397,null,1,1,0
35,75,5.003500,16.77,16.770000,2681310.000000,2231660.000000,6545371333829026995,null,1,1,0
36,80,5.003090,18.92,18.920000,2721030.000000,2206140.000000,8618327910330644792,null,1,1,0
37,85,5.003800,16.77,16.770000,2681310.000000,2231660.000000,7676741957340480544,null,1,1,0
38,90,5.004960,22.49,22.490000,2669130.000000,2068780.000000,17904454852938198039,null,1,1,0
39,95,5.004650,21.36,21.360000,2628220.000000,2066850.000000,3944397064049265063,null,1,1,0
40,100,5.003470,16.77,16.770000,2681310.000000,2231660.000000,9660944373281738075,null,1,1,0
41,5,5.003360,21.15,21.150000,2628220.000000,2072340.000000,15446065792237984030,null,2,1,0
42,10,5.002740,21.67,21.670000,2628220.000000,2058710.000000,4202048695090355429,null,2,1,0
43,15,5.002770,22.31,22.310000,2651480.000000,2060030.000000,1438553583210240060,null,2,1,0
44,20,5.002800,21.64,21.640000,2628220.000000,2059520.000000,18348230643339525308,null,2,1,0
45,25,5.002620,21.15,21.150000,2628220.000000,2072340.000000,4191205017993244521,null,2,1,0
46,30,5.002590,21.31,21.310000,2628220.000000,2068110.000000,11653280150158819812,null,2,1,0
47,35,5.002950,21.15,21.150000,2628220.000000,2072340.000000,18094935684124116638,null,2,1,0
48,40,5.002320,21.6,21.600000,2625160.000000,2058040.000000,8549353452254005399,null,2,1,0
49,45,5.003570,24.38,24.380000,2659380.000000,2011030.000000,11057048612570833976,null,2,1,0
50,50,5.002920,21.15,21.150000,2628220.000000,2072340.000000,5084488271151921045,null,2,1,0
51,55,5.002920,21.82,21.820000,2641460.000000,2065110.000000,6612282804636127582,null,2,1,0
52,60,5.005750,21.6,21.600000,2634420.000000,2065320.000000,5847089399501479146,null,2,1,0
53,65,5.002930,21.15,21.150000,2628220.000000,2072340.000000,4853038974559462271,null,2,1,0
54,70,5.003290,20.74,20.740000,2625160.000000,2080750.000000,4578482647436309278,null,2,1,0
55,75,5.005570,20.42,20.420000,2625160.000000,2089100.000000,2422897240537883548,null,2,1,0
56,80,5.020750,22.36,22.360000,2641460.000000,2050860.000000,1722850569717175639,null,2,1,0
57,85,5.004950,20.35,20.350000,2628220.000000,2093300.000000,6996014771778309259,null,2,1,0
58,90,5.004170,20.03,20.030000,2625160.000000,2099250.000000,5513035299901077070,null,2,1,0
59,95,5.006810,20.22,20.220000,2625160.000000,2094350.000000,18403717172865343778,null,2,1,0
60,100,5.006030,20.03,20.030000,2625160.000000,2099250.000000,11173705630851877225,null,2,1,0
61,5,5.003600,21.44,21.440000,2625160.000000,2062430.000000,14075347302301588864,null,3,1,0
62,10,5.003110,22.02,22.020000,2636130.000000,2055660.000000,13805086800485329465,null,3,1,0
63,15,5.004100,21.48,21.480000,2625160.000000,2061220.000000,14167589269659174657,null,3,1,0
64,20,5.005120,21.48,21.480000,2625160.000000,2061220.000000,14474151713492844321,null,3,1,0
65,25,5.002910,29.87,29.870000,2628220.000000,1843220.000000,16887099114260268141,null,3,1,0
66,30,5.003710,21.03,21.030000,2620840.000000,2069770.000000,8492922454319531633,null,3,1,0
67,35,5.002920,18.74,18.740000,2675330.000000,2173840.000000,16795453509471413601,null,3,1,0
68,40,5.005840,21.91,21.910000,2641460.000000,2062700.000000,12471786494824980463,null,3,1,0
69,45,5.002910,18.09,18.090000,2637480.000000,2160300.000000,1955077428857429847,null,3,1,0
70,50,5.003230,18.11,18.110000,2637480.000000,2159710.000000,12142042661585497164,null,3,1,0
71,55,5.002820,17.66,17.660000,2628220.000000,2164090.000000,14523316790787761610,null,3,1,0
72,60,5.002820,17.66,17.660000,2628220.000000,2164090.000000,16301691980949978539,null,3,1,0
73,65,5.002700,17.45,17.450000,2631460.000000,2172160.000000,8926623362093385507,null,3,1,0
74,70,5.002690,17.53,17.530000,2633880.000000,2172160.000000,5269052806990707399,null,3,1,0
75,75,5.002760,17.53,17.530000,2633880.000000,2172160.000000,10609709131312759738,null,3,1,0
76,80,5.002760,17.56,17.560000,2637480.000000,2174210.000000,5855334778438846391,null,3,1,0
77,85,5.002370,18.66,18.660000,2697270.000000,2194040.000000,11845698905919952894,null,3,1,0
78,90,5.002490,18.54,18.540000,2697270.000000,2197240.000000,18316218505450679889,null,3,1,0
79,95,5.005490,17.45,17.450000,2631460.000000,2172160.000000,3751049761567096114,null,3,1,0
80,100,5.002900,17.53,17.530000,2633880.000000,2172160.000000,13067387972929989096,null,3,1,0
81,5,5.003600,21.11,21.110000,2721030.000000,2146490.000000,3607391237478288220,null,4,1,0
82,10,5.003050,21.1,21.100000,2721030.000000,2146790.000000,17425034657188371328,null,4,1,0
83,15,5.003660,20.56,20.560000,2715470.000000,2157150.000000,5409689308487463777,null,4,1,0
84,20,5.003270,21.64,21.640000,2721030.000000,2132150.000000,17270416478823506605,null,4,1,0
85,25,5.003630,20.56,20.560000,2715470.000000,2157150.000000,2156323291570471170,null,4,1,0
86,30,5.003180,21.61,21.610000,2721030.000000,2133010.000000,1356939577200352033,null,4,1,0
87,35,5.006770,20.56,20.560000,2715470.000000,2157150.000000,4301023627258530500,null,4,1,0
88,40,5.002930,20.36,20.360000,2724950.000000,2170250.000000,7850652960550855406,null,4,1,0
89,45,5.005130,22.6,22.600000,2628220.000000,2034310.000000,2987642760691109944,null,4,1,0
90,50,5.003050,21.46,21.460000,2724950.000000,2140220.000000,15294770769141689897,null,4,1,0
91,55,5.005650,22.19,22.190000,2678390.000000,2084090.000000,15061520813915171404,null,4,1,0
92,60,5.002890,20.28,20.280000,2724950.000000,2172390.000000,3571464194820720534,null,4,1,0
93,65,5.002880,19.71,19.710000,2695740.000000,2164460.000000,2934987684606334006,null,4,1,0
94,70,5.003370,18.77,18.770000,2716050.000000,2206150.000000,8970248154663290404,null,4,1,0
95,75,5.002970,16.75,16.750000,2659480.000000,2213910.000000,6594548524782405089,null,4,1,0
96,80,5.007820,16.75,16.750000,2659480.000000,2213910.000000,309044907571858885,null,4,1,0
97,85,5.003000,16.75,16.750000,2659480.000000,2213910.000000,16042078679804226416,null,4,1,0
98,90,5.004140,17.35,17.350000,2647660.000000,2188180.000000,11511751894601918611,null,4,1,0
99,95,5.003490,20.9,20.900000,2650220.000000,2096300.000000,15388140673391584897,null,4,1,0
100,100,5.003460,16.35,16.350000,2643760.000000,2211430.000000,8716191540738376966,null,4,1,0
101,5,5.003990,20.9,20.900000,2724950.000000,2155340.000000,6128791737735043497,null,5,1,0
102,10,5.003910,21.24,21.240000,2724950.000000,2146290.000000,7476122385861717275,null,5,1,0
103,15,5.003800,20.9,20.900000,2724950.000000,2155340.000000,902467761583244035,null,5,1,0
104,20,5.003460,24.28,24.280000,2678390.000000,2028000.000000,2367558522957212399,null,5,1,0
105,25,5.003440,19.14,19.140000,2724950.000000,2203270.000000,11706000648323783891,null,5,1,0
106,30,5.002810,20.2,20.200000,2721030.000000,2171260.000000,6472551375322164322,null,5,1,0
107,35,5.003190,19.14,19.140000,2724950.000000,2203270.000000,9054336657336584842,null,5,1,0
108,40,5.003350,19.9,19.900000,2625160.000000,2102810.000000,16017145057763565876,null,5,1,0
109,45,5.003230,19.14,19.140000,2724950.000000,2203270.000000,16589651771492250313,null,5,1,0
110,50,5.003970,19.52,19.520000,2721030.000000,2190010.000000,11371324091317615567,null,5,1,0
111,55,5.003600,18.31,18.310000,2681310.000000,2190280.000000,11725643306138661292,null,5,1,0
112,60,5.003720,18.34,18.340000,2681310.000000,2189620.000000,16852465660870219381,null,5,1,0
113,65,5.003200,18.76,18.760000,2681310.000000,2178230.000000,5025786521270026290,null,5,1,0
