EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.002939,Normal,46.59,46.590000,1550014250.000000,827911247.903467,14921508010286178949,null,0,1,0
2,10,5.001984,Normal,50.93,50.930000,1683347916.666667,826089454.355935,2823934824078185206,null,0,1,0
3,15,5.002938,Normal,48.28,48.280000,1593348520.000000,824070194.097736,844706301316953147,null,0,1,0
4,20,5.003913,Normal,46.59,46.590000,1550014250.000000,827911247.903467,13575339350133640537,null,0,1,0
5,25,5.004080,Normal,43.14,43.140000,1500013233.333333,852835791.883186,10926055034921966546,null,0,1,0
6,30,5.003033,Normal,33.33,33.330000,1500012100.000000,1000005607.050215,16740374584774211926,null,0,1,0
7,35,5.002564,Normal,33.33,33.330000,1500014170.000000,1000005367.890947,15566179723134062124,null,0,1,0
8,40,5.003400,Normal,49.58,49.580000,1600013400.000000,806793629.426792,1307886365978403084,null,0,1,0
9,45,5.002586,Normal,50,50.000000,1600013400.000000,800006402.088929,1211801674033732574,null,0,1,0
10,50,5.002121,Normal,50,50.000000,1600014050.000000,800004721.373490,8417674758348920402,null,0,1,0
11,55,5.002998,Normal,51.52,51.520000,1650014600.000000,800005684.543664,14896565257402557777,null,0,1,0
12,60,5.003211,Normal,33.33,33.330000,1500012100.000000,1000005607.050215,3294962772343063016,null,0,1,0
13,65,5.003000,Normal,50,50.000000,1600015199.998000,800006199.544741,557944281895787271,null,0,1,0
14,70,5.001823,Normal,46,46.000000,1666681333.333333,900006038.743333,7308259572284505480,null,0,1,0
15,75,5.007171,Normal,41.5,41.500000,1375014725.000000,804336096.332104,10759454804867121993,null,0,1,0
16,80,5.003184,Normal,50,50.000000,1600015200.000000,800006199.544741,15980496833870860722,null,0,1,0
17,85,5.003141,Normal,50,50.000000,1600015200.000000,800006199.544741,6447204706455729812,null,0,1,0
18,90,5.011375,Normal,52.89,52.890000,1700016000.000000,800802670.440157,17902161027923917558,null,0,1,0
19,95,5.003923,Normal,52.94,52.940000,1700015000.000000,800005742.221161,18331591896100395225,null,0,1,0
20,100,5.003000,Normal,48.93,48.930000,1575013941.666667,804418046.765983,12977337688287671063,null,0,1,0
21,105,5.002635,Normal,35.71,35.710000,1400013669.895724,900005022.461096,5677936478945305011,null,0,1,1
22,110,5.003329,Normal,48.7,48.700000,1587515737.500000,814429587.083818,14738178860556675875,null,0,1,1
23,115,5.002953,Normal,46.59,46.590000,1550014710.000000,827911821.669704,15970734150254420657,null,0,1,1
24,120,5.002440,Normal,43.19,43.190000,1433345533.333332,814243961.225447,6362139444152298307,null,0,1,1
25,125,5.002937,Normal,36.67,36.670000,1500012800.000000,950006324.953896,13802579061101881562,null,0,1,1
26,130,5.002529,Normal,36.67,36.670000,1500012100.000000,950006871.989231,1883572757521530772,null,0,1,1
27,135,5.002930,Normal,36.42,36.420000,1500013400.000000,953720331.896616,2243794183025114151,null,0,1,1
28,140,5.002449,Normal,36.42,36.420000,1500013400.000000,953720684.784437,6622704212040516448,null,0,1,1
29,145,5.003377,Normal,46.64,46.640000,1500012799.998000,800353949.108216,13563515468965371569,null,0,1,1
30,150,5.003012,Normal,47.83,47.830000,1533347066.666666,800006243.647026,3091157112605680175,null,0,1,1
31,155,5.004038,Normal,52.27,52.270000,1680015550.000000,801861363.098784,10998089957578242268,null,0,1,1
32,160,5.002073,Normal,47.06,47.060000,1700015100.000000,900005665.067270,9785978520600551841,null,0,1,1
33,165,5.003212,Normal,49.61,49.610000,1600013400.000000,806251463.736987,5988289261829948807,null,0,1,1
34,170,5.002304,Normal,50,50.000000,1600014550.000000,800005060.808892,13498208034708615099,null,0,1,1
