EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004357,Normal,119,119.000000,-5050303.000000,-11060403.000000,14921508010286178949,null,0,1,0
2,10,5.006585,Normal,118.06,118.060000,-5050303.000000,-11012518.979812,2823934824078185206,null,0,1,0
3,15,5.003488,Normal,119,119.000000,-5050303.000000,-11060403.000000,14403042972698526843,null,0,1,0
4,20,5.007126,Normal,149.19,149.190000,-4040403.000000,-10068450.839046,17878160102696106270,null,0,1,0
5,25,5.007904,Normal,173.5,173.500000,-4040303.000000,-11050397.959832,4953176355233792838,null,0,1,0
6,30,5.006581,Normal,118.81,118.810000,-5050303.000000,-11050382.652263,7475797912735248108,null,0,1,0
7,35,5.004407,Normal,173.6,173.600000,-4040303.000000,-11054264.323382,2814756197111476349,null,0,1,0
8,40,5.013767,Normal,117.48,117.480000,-5050303.000000,-10983397.712941,5891509694437369548,null,0,1,0
9,45,5.068122,Normal,83.89,83.890000,-6020203.000000,-11070501.774399,4317007314211609304,null,0,1,0
10,50,5.015421,Normal,119.64,119.640000,-5040303.000000,-11070403.000000,10168772048199037330,null,0,1,0
11,55,5.003435,Normal,174,174.000000,-4040403.000000,-11070503.000000,13078180862426902622,null,0,1,0
12,60,5.003524,Normal,119.2,119.200000,-5050303.000000,-11070501.611043,12600866760872575975,null,0,1,0
13,65,5.002629,Normal,173.95,173.950000,-4040303.000000,-11068468.595155,16065058253728189681,null,0,1,0
14,70,5.003483,Normal,119.2,119.200000,-5050303.000000,-11070490.650142,14989898807192343869,null,0,1,0
15,75,5.003049,Normal,174.43,174.430000,-4030303.000000,-11060503.000000,7996245778148271637,null,0,1,0
16,80,5.021311,Normal,83.87,83.870000,-6020203.000000,-11069190.904888,7434276066197659460,null,0,1,0
17,85,5.003669,Normal,119.2,119.200000,-5050303.000000,-11070494.682683,8708744449200989479,null,0,1,0
18,90,5.004739,Normal,119.2,119.200000,-5050303.000000,-11070503.000000,15722394749507777875,null,0,1,0
19,95,5.035347,Normal,83.89,83.890000,-6020203.000000,-11070497.835706,977308502941528037,null,0,1,0
20,100,5.060949,Normal,83.87,83.870000,-6020203.000000,-11069190.904888,5528947903488503428,null,0,1,0
21,5,5.004300,Normal,174.68,174.680000,-4030300.000000,-11070500.000000,8723278136865304665,null,1,1,0
22,10,5.007090,Normal,120.52,120.520000,-5020200.000000,-11070500.000000,4970148594231515670,null,1,1,0
23,15,5.011960,Normal,119.64,119.640000,-5040300.000000,-11070500.000000,6270648273501389222,null,1,1,0
24,20,5.003470,Normal,174,174.000000,-4040300.000000,-11070500.000000,1718447797715883133,null,1,1,0
25,25,5.006510,Normal,119.2,119.200000,-5050300.000000,-11070500.000000,10152323841903041700,null,1,1,0
26,30,5.019980,Normal,174,174.000000,-4040300.000000,-11070500.000000,10823279408244034512,null,1,1,0
27,35,5.003040,Normal,83.72,83.720000,-6020200.000000,-11060500.000000,16414587791449935868,null,1,1,0
28,40,5.003120,Normal,83.72,83.720000,-6020200.000000,-11060500.000000,14340580733457491544,null,1,1,0
29,45,5.003220,Normal,174,174.000000,-4040300.000000,-11070400.000000,11093355791874491445,null,1,1,0
30,50,5.009340,Normal,174,174.000000,-4040300.000000,-11070500.000000,5353490818871996710,null,1,1,0
31,55,5.003400,Normal,174,174.000000,-4040300.000000,-11070500.000000,1983701969413110197,null,1,1,0
32,60,5.004320,Normal,83.72,83.720000,-6020200.000000,-11060500.000000,13860518320960378053,null,1,1,0
33,65,5.006370,Normal,83.89,83.890000,-6020200.000000,-11070500.000000,4487024247701547667,null,1,1,0
34,70,5.008550,Normal,121.4,121.400000,-5000200.000000,-11070500.000000,14335578211823071436,null,1,1,0
35,75,5.005910,Normal,266.54,266.540000,-3020200.000000,-11070300.000000,6466732440026394739,null,1,1,0
36,80,5.006290,Normal,83.72,83.720000,-6020200.000000,-11060500.000000,4121817601127489895,null,1,1,0
37,85,5.018710,Normal,119.2,119.200000,-5050300.000000,-11070500.000000,14262386274037740067,null,1,1,0
38,90,5.005460,Normal,119.2,119.200000,-5050300.000000,-11070500.000000,9247550395997998226,null,1,1,0
39,95,5.003780,Normal,174.68,174.680000,-4030300.000000,-11070500.000000,11573527107464709595,null,1,1,0
40,100,5.005760,Normal,447.98,447.980000,-2020200.000000,-11070400.000000,5511673532167351088,null,1,1,0
41,105,5.004263,Normal,174.93,174.930000,-4030303.000000,-11080503.000000,17878044211922655555,null,0,1,1
42,110,5.003840,Normal,119.2,119.200000,-5050303.000000,-11070503.000000,16625200233535746903,null,0,1,1
43,115,5.003727,Normal,119.2,119.200000,-5050303.000000,-11070403.000000,4125563425549409334,null,0,1,1
44,121,5.003622,Normal,83.89,83.890000,-6020203.000000,-11070403.000000,2922201805604250422,null,0,1,1
45,126,5.003271,Normal,119.01,119.010000,-5050203.000000,-11060503.000000,15265968845207696197,null,0,1,1
46,131,5.003352,Normal,119.2,119.200000,-5050303.000000,-11070503.000000,1883892609238217141,null,0,1,1
47,136,5.003417,Normal,83.72,83.720000,-6020203.000000,-11060503.000000,661402612647123092,null,0,1,1
48,141,5.004693,Normal,83.72,83.720000,-6020203.000000,-11060503.000000,8639682770481421749,null,0,1,1
49,146,5.003727,Normal,1.79769e+308,,,-11070503.000000,15118995459436070617,null,0,1,1
