EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.007591,Normal,68.75,68.750000,308144.054812,96310.267929,14921508010286178949,null,0,1,0
2,10,5.006772,Normal,68.74,68.740000,308160.021378,96323.415345,10101538263502436884,null,0,1,0
3,15,5.005711,Normal,68.74,68.740000,308160.021378,96323.415345,14880678517235238818,null,0,1,0
4,20,5.007208,Normal,69.39,69.390000,314544.745971,96286.773083,4934740888478172005,null,0,1,0
5,25,5.005185,Normal,76.27,76.270000,333809.066611,79213.034497,3793061173611652593,null,0,1,0
6,30,5.010167,Normal,42.3,42.300000,166900.613358,96298.281709,9316799145851188295,null,0,1,0
7,35,5.009507,Normal,34.78,34.780000,147646.744656,96300.168678,8269145169008378730,null,0,1,0
8,40,5.007511,Normal,70,70.000000,320985.033193,96309.671426,1852653753117493246,null,0,1,0
9,45,5.008868,Normal,34.78,34.780000,147646.744656,96300.168678,17989633941153654673,null,0,1,0
10,50,5.010030,Normal,34.78,34.780000,147646.744656,96300.168678,16126618860705807826,null,0,1,0
11,55,5.010536,Normal,42.32,42.320000,166917.798277,96278.658142,11142473046071125735,null,0,1,0
12,60,5.010766,Normal,42.3,42.300000,166910.626667,96299.338444,16022656360059352008,null,0,1,0
13,65,5.009511,Normal,21.07,21.070000,122005.967995,96304.204573,4058349335085332852,null,0,1,0
14,70,5.007667,Normal,67.38,67.380000,295319.398047,96330.986406,12838090338739417079,null,0,1,0
15,75,5.006276,Normal,69.39,69.390000,314561.361679,96281.971192,8569532263473468273,null,0,1,0
16,81,5.006234,Normal,54.54,54.540000,211792.592197,96288.667215,13074606999628833925,null,0,1,0
17,86,5.006068,Normal,21.08,21.080000,121994.433291,96283.587622,9442520552887490431,null,0,1,0
18,91,5.006630,Normal,21.07,21.070000,122005.967995,96304.204573,7524954228503923542,null,0,1,0
19,96,5.006692,Normal,34.83,34.830000,147717.837253,96262.101887,6308502647429959443,null,0,1,0
20,101,5.007476,Normal,25.02,25.020000,128431.396554,96304.204573,14033241844260589153,null,0,1,0
21,5,5.010250,Normal,52.42,52.420000,199023.000000,94692.000000,9686720361045965965,null,1,1,0
22,10,5.012630,Normal,52.42,52.420000,199023.000000,94692.000000,14977320980139403669,null,1,1,0
23,15,5.012580,Normal,52.42,52.420000,199023.000000,94692.000000,1871591627137445803,null,1,1,0
24,20,5.010830,Normal,52.42,52.420000,199023.000000,94692.000000,7129054616402336492,null,1,1,0
25,25,5.011420,Normal,40.03,40.030000,160505.000000,96262.300000,5422601811110845924,null,1,1,0
26,30,5.012000,Normal,42.32,42.320000,166880.000000,96262.300000,762089674238848521,null,1,1,0
27,35,5.011150,Normal,40.02,40.020000,160485.000000,96261.600000,18048410261294971436,null,1,1,0
28,40,5.011780,Normal,40.02,40.020000,160485.000000,96261.600000,4733781620624499589,null,1,1,0
29,45,5.011730,Normal,34.83,34.830000,147718.000000,96262.100000,12193429144129170048,null,1,1,0
30,50,5.010970,Normal,37.53,37.530000,154093.000000,96262.100000,13983721717951242996,null,1,1,0
31,55,5.007600,Normal,69.39,69.390000,314545.000000,96279.400000,17252944517231348214,null,1,1,0
32,60,5.010340,Normal,34.83,34.830000,147718.000000,96262.100000,11237172697756894009,null,1,1,0
33,65,5.011140,Normal,40.03,40.030000,160526.000000,96262.000000,16022101257603359493,null,1,1,0
34,70,5.010070,Normal,44.48,44.480000,173355.000000,96254.700000,90237439375246534,null,1,1,0
35,75,5.012310,Normal,34.83,34.830000,147718.000000,96262.100000,5840052474125580676,null,1,1,0
36,81,5.011330,Normal,25.04,25.040000,128457.000000,96285.200000,13435045902822640220,null,1,1,0
37,86,5.010290,Normal,21.08,21.080000,121994.000000,96283.600000,13674721321499600243,null,1,1,0
38,91,5.011010,Normal,21.08,21.080000,121994.000000,96283.600000,7020549702040756264,null,1,1,0
39,96,5.010060,Normal,21.08,21.080000,121994.000000,96283.600000,14441498267302883129,null,1,1,0
40,101,5.011590,Normal,76.27,76.270000,333809.000000,79213.000000,12632915211095614896,null,1,1,0
41,5,5.010790,Normal,40.03,40.030000,160526.000000,96262.100000,17808874148426417796,null,2,1,0
42,10,5.012560,Normal,66.67,66.670000,288850.000000,96278.200000,11633543647495200375,null,2,1,0
43,15,5.012800,Normal,40.03,40.030000,160526.000000,96262.100000,5640172564576391019,null,2,1,0
44,20,5.010960,Normal,40.03,40.030000,160526.000000,96262.100000,13442604047210902029,null,2,1,0
45,25,5.012620,Normal,40.03,40.030000,160526.000000,96262.100000,16329590515646545778,null,2,1,0
46,30,5.012090,Normal,25.04,25.040000,128457.000000,96285.200000,16422045157006476828,null,2,1,0
47,35,5.011390,Normal,25.04,25.040000,128457.000000,96285.200000,4476447403378541253,null,2,1,0
48,40,5.011680,Normal,25.05,25.050000,128457.000000,96285.200000,4408874252917390650,null,2,1,0
49,45,5.010950,Normal,40.03,40.030000,160526.000000,96262.100000,5047879259615584793,null,2,1,0
50,50,5.009890,Normal,76.27,76.270000,333809.000000,79213.000000,1207793044339541294,null,2,1,0
51,55,5.016940,Normal,25.04,25.040000,128457.000000,96285.200000,14836951381685196617,null,2,1,0
52,60,5.012100,Normal,25.04,25.040000,128457.000000,96285.200000,2023311841867244648,null,2,1,0
53,65,5.013640,Normal,25.04,25.040000,128457.000000,96285.200000,10919619345772259608,null,2,1,0
54,70,5.013350,Normal,25.04,25.040000,128457.000000,96285.200000,12080726994908534337,null,2,1,0
55,75,5.010740,Normal,21.08,21.080000,121983.000000,96268.500000,16194072704312495265,null,2,1,0
56,81,5.021600,Normal,28.59,28.590000,134836.000000,96283.200000,17893523782064289411,null,2,1,0
57,86,5.011900,Normal,21.08,21.080000,121983.000000,96268.500000,3026328468817701556,null,2,1,0
58,91,5.010250,Normal,21.08,21.080000,121983.000000,96268.500000,18241148125837790080,null,2,1,0
59,96,5.011570,Normal,21.08,21.080000,121983.000000,96268.500000,15279085761418631428,null,2,1,0
60,101,5.006180,Normal,69.38,69.380000,314526.000000,96292.900000,16223576130191152659,null,2,1,0
61,5,5.007650,Normal,69.39,69.390000,314521.000000,96288.000000,15837001027272843000,null,3,1,0
62,10,5.012250,Normal,68.08,68.080000,301724.000000,96305.500000,625404552481149274,null,3,1,0
63,15,5.007410,Normal,68.08,68.080000,301724.000000,96307.800000,6709285937789361054,null,3,1,0
64,20,5.006120,Normal,68.08,68.080000,301724.000000,96305.500000,12162087210659168310,null,3,1,0
65,25,5.012020,Normal,68.08,68.080000,301724.000000,96305.500000,440615048405943591,null,3,1,0
66,30,5.008650,Normal,66.67,66.670000,288912.000000,96306.300000,6130748348547612334,null,3,1,0
67,35,5.008330,Normal,66.67,66.670000,288912.000000,96306.300000,17859045068493074987,null,3,1,0
68,40,5.007540,Normal,66.67,66.670000,288912.000000,96306.300000,11276835772564695342,null,3,1,0
69,45,5.007890,Normal,67.4,67.400000,295337.000000,96285.100000,13793889652341364572,null,3,1,0
70,50,5.007680,Normal,66.67,66.670000,288912.000000,96306.300000,5102422208661131679,null,3,1,0
71,55,5.007040,Normal,67.39,67.390000,295302.000000,96305.500000,16270249222214715487,null,3,1,0
72,60,5.005910,Normal,66.67,66.670000,288912.000000,96303.800000,10131885056861949108,null,3,1,0
73,65,5.005680,Normal,25.07,25.070000,128509.000000,96289.400000,15133837633365319533,null,3,1,0
74,70,5.007720,Normal,25.07,25.070000,128509.000000,96289.400000,17552276943228815478,null,3,1,0
75,75,5.017070,Normal,25.07,25.070000,128509.000000,96289.400000,17277678103282326580,null,3,1,0
76,81,5.006170,Normal,25.07,25.070000,128509.000000,96289.400000,277733233718679257,null,3,1,0
77,86,5.007180,Normal,49.99,49.990000,192537.000000,96287.900000,14049236347619554058,null,3,1,0
78,91,5.007630,Normal,53.13,53.130000,205421.000000,96280.300000,367057145798387904,null,3,1,0
79,96,5.008240,Normal,70,70.000000,320955.000000,96284.100000,3330644121750690551,null,3,1,0
80,101,5.005140,Normal,25.07,25.070000,128509.000000,96289.400000,8160165704349704134,null,3,1,0
81,5,5.008440,Normal,70,70.000000,320959.000000,96294.200000,15967469245584910126,null,4,1,0
82,10,5.009620,Normal,69.39,69.390000,314560.000000,96289.100000,17398987104164056686,null,4,1,0
83,15,5.008070,Normal,69.39,69.390000,314560.000000,96289.100000,9354944776725705168,null,4,1,0
84,20,5.008580,Normal,69.39,69.390000,314560.000000,96289.100000,15316289207864360336,null,4,1,0
85,25,5.009370,Normal,69.39,69.390000,314560.000000,96289.100000,8211870932835325920,null,4,1,0
86,30,5.008440,Normal,67.39,67.390000,295307.000000,96286.600000,5300780180584517934,null,4,1,0
87,35,5.010200,Normal,21.08,21.080000,121980.000000,96267.000000,4621306504648472082,null,4,1,0
88,40,5.008740,Normal,21.08,21.080000,121980.000000,96267.000000,7204614375317001443,null,4,1,0
89,45,5.009290,Normal,16.7,16.700000,115600.000000,96294.500000,751230245411129475,null,4,1,0
90,50,5.007700,Normal,16.7,16.700000,115600.000000,96294.500000,5619175171514978570,null,4,1,0
91,55,5.008450,Normal,25.02,25.020000,128386.000000,96267.000000,11560949644651319778,null,4,1,0
92,60,5.006720,Normal,21.06,21.060000,122001.000000,96306.300000,14139167989005408291,null,4,1,0
93,65,5.009820,Normal,25.02,25.020000,128386.000000,96267.000000,4848653224644972163,null,4,1,0
94,70,5.008820,Normal,16.69,16.690000,115559.000000,96274.300000,6037586421320343243,null,4,1,0
95,76,5.009910,Normal,16.69,16.690000,115559.000000,96274.300000,3137340909298055197,null,4,1,0
