EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.002788,Normal,32.23,32.230000,450.000000,304.970820,14921508010286178949,null,0,1,0
2,10,5.002420,Normal,32.23,32.230000,450.000000,304.970820,10101538263502436884,null,0,1,0
3,15,5.007215,Normal,20.46,20.460000,387.000000,307.818479,10346973009034893901,null,0,1,0
4,20,5.002690,Normal,18.46,18.460000,377.000000,307.392158,18069049565768102882,null,0,1,0
5,25,5.003883,Normal,30.49,30.490000,443.000000,307.933513,7182317055943276213,null,0,1,0
6,30,5.005448,Normal,22.51,22.510000,397.000000,307.635173,9520833983500170300,null,0,1,0
7,35,5.005986,Normal,33.81,33.810000,456.000000,301.839246,7816284278214281566,null,0,1,0
8,40,5.003370,Normal,33.53,33.530000,456.000000,303.091059,12831973121291315016,null,0,1,0
9,45,5.015518,Normal,24.61,24.610000,415.000000,312.885000,3727359726770191402,null,0,1,0
10,50,5.006571,Normal,32.56,32.560000,453.000000,305.505632,16484672666910899908,null,0,1,0
11,55,5.004541,Normal,20.7,20.700000,388.000000,307.674126,10536649605976853278,null,0,1,0
12,60,5.038717,Normal,31.13,31.130000,446.000000,307.175428,6178121669256523131,null,0,1,0
13,65,5.016039,Normal,32.56,32.560000,453.000000,305.505632,6478187175134832789,null,0,1,0
14,70,5.016203,Normal,22.51,22.510000,397.000000,307.635173,5676791974286111734,null,0,1,0
15,75,5.004905,Normal,33.64,33.640000,457.000000,303.265858,12475327740374578207,null,0,1,0
16,80,5.009346,Normal,31.93,31.930000,454.000000,309.030981,7424713560557895205,null,0,1,0
17,85,5.007981,Normal,19.18,19.180000,381.000000,307.933513,8997243553903153486,null,0,1,0
18,90,5.008657,Normal,19.65,19.650000,385.000000,309.360636,9944497607077682247,null,0,1,0
19,95,5.004788,Normal,33.52,33.520000,457.000000,303.821594,5648393998649506609,null,0,1,0
20,100,5.007170,Normal,33.6,33.600000,457.000000,303.448425,8560615736301595944,null,0,1,0
21,5,5.008120,Normal,27.96,27.960000,414.000000,298.251000,9686720361045965965,null,1,1,0
22,10,5.008070,Normal,27.96,27.960000,414.000000,298.251000,14977320980139403669,null,1,1,0
23,15,5.008120,Normal,27.96,27.960000,414.000000,298.251000,1871591627137445803,null,1,1,0
24,20,5.015360,Normal,27.96,27.960000,414.000000,298.251000,7129054616402336492,null,1,1,0
25,25,5.022500,Normal,25.9,25.900000,410.000000,303.810000,5422601811110845924,null,1,1,0
26,30,5.009030,Normal,26.35,26.350000,410.000000,301.961000,762089674238848521,null,1,1,0
27,35,5.007250,Normal,25.9,25.900000,410.000000,303.810000,18048410261294971436,null,1,1,0
28,40,5.032030,Normal,27.84,27.840000,416.000000,300.181000,4606096117026724049,null,1,1,0
29,45,5.006870,Normal,25.72,25.720000,409.000000,303.810000,14473338074509787936,null,1,1,0
30,50,5.008220,Normal,25.9,25.900000,410.000000,303.810000,9050685715541351330,null,1,1,0
31,55,5.007560,Normal,25.9,25.900000,410.000000,303.810000,8887762761226646552,null,1,1,0
32,60,5.008860,Normal,25.9,25.900000,410.000000,303.810000,6366680414913968911,null,1,1,0
33,65,5.008910,Normal,25.9,25.900000,410.000000,303.810000,6155313623272402162,null,1,1,0
34,70,5.008030,Normal,25.8,25.800000,410.000000,304.238000,4421723367346337253,null,1,1,0
35,75,5.008200,Normal,25.9,25.900000,410.000000,303.810000,1034318399345106559,null,1,1,0
36,80,5.008700,Normal,25.9,25.900000,410.000000,303.810000,4175598996044574001,null,1,1,0
37,85,5.009450,Normal,14.91,14.910000,369.000000,313.971000,14276126281641836626,null,1,1,0
38,90,5.008530,Normal,22.42,22.420000,412.000000,319.630000,11471545563092991709,null,1,1,0
39,95,5.009520,Normal,30.57,30.570000,440.000000,305.483000,6304424901073440198,null,1,1,0
40,100,5.006810,Normal,13.74,13.740000,364.000000,313.971000,1524151074501932390,null,1,1,0
41,105,5.006095,Normal,1.79769e+308,,,309.898459,9775766572978260273,null,0,1,1
42,110,5.004964,Normal,15.14,15.140000,370.000000,313.971273,12285718830134234787,null,0,1,1
43,115,5.006127,Normal,14.45,14.450000,367.000000,313.971273,8124887545149134865,null,0,1,1
44,120,5.006082,Normal,15.14,15.140000,370.000000,313.971273,4516932105917560126,null,0,1,1
45,125,5.003570,Normal,20.13,20.130000,391.000000,312.282249,13961384296890535808,null,0,1,1
46,130,5.008453,Normal,21.54,21.540000,398.000000,312.282249,14742038268072121977,null,0,1,1
47,135,5.006096,Normal,14.45,14.450000,367.000000,313.971273,9162026072024612757,null,0,1,1
48,140,5.006448,Normal,15.14,15.140000,370.000000,313.971273,18053821523969738745,null,0,1,1
49,145,5.004719,Normal,1.79769e+308,,,313.026251,5656846616048728653,null,0,1,1
50,150,5.006342,Normal,1.79769e+308,,,313.026251,2799663352268486530,null,0,1,1
51,155,5.007663,Normal,36.86,36.860000,495.000000,312.565781,7191254307402740627,null,0,1,1
52,160,5.003183,Normal,21.14,21.140000,397.000000,313.059887,7521885046489090368,null,0,1,1
53,165,5.004900,Normal,15.14,15.140000,370.000000,313.971273,6197833015784999507,null,0,1,1
54,170,5.006748,Normal,31.04,31.040000,457.000000,315.162369,453863139954599441,null,0,1,1
55,175,5.006120,Normal,26.36,26.360000,425.000000,312.976561,14663092125434930882,null,0,1,1
56,180,5.007804,Normal,14.72,14.720000,367.000000,312.972189,16814633197257105793,null,0,1,1
