instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/1_b1c1s1_seed-3_20260504_032749,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/1_b1c1s1_seed-3_20260504_032749/run.log
cost266-UUE.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/2_cost266-UUE_seed-3_20260504_034438,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/2_cost266-UUE_seed-3_20260504_034438/run.log
csched007.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/3_csched007_seed-3_20260504_040317,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/3_csched007_seed-3_20260504_040317/run.log
cvs16r128-89.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/4_cvs16r128-89_seed-3_20260504_042441,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/4_cvs16r128-89_seed-3_20260504_042441/run.log
eilA101-2.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/5_eilA101-2_seed-3_20260504_043942,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/5_eilA101-2_seed-3_20260504_043942/run.log
momentum1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/6_momentum1_seed-3_20260504_045728,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/6_momentum1_seed-3_20260504_045728/run.log
mushroom-best.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/7_mushroom-best_seed-3_20260504_052123,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/7_mushroom-best_seed-3_20260504_052123/run.log
neos-1456979.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/8_neos-1456979_seed-3_20260504_054233,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/8_neos-1456979_seed-3_20260504_054233/run.log
neos-3024952-loue.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/9_neos-3024952-loue_seed-3_20260504_055831,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/9_neos-3024952-loue_seed-3_20260504_055831/run.log
neos-3555904-turama.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/10_neos-3555904-turama_seed-3_20260504_061853,/scratch/yorig/mpils-results-grid-seconds-5-watchdog-mip-start/medium-1/2proc/seed-3/10_neos-3555904-turama_seed-3_20260504_061853/run.log
