EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.169539,Normal,66.81,66.810000,2420.506503,803.373888,14921508010286178949,null,0,1,0
2,11,5.413577,Normal,66.81,66.810000,2420.506503,803.373888,8683817217222751575,null,0,1,0
3,16,5.400578,Normal,66.81,66.810000,2420.506503,803.373888,9658482938002475941,null,0,1,0
4,21,5.046596,Normal,66.81,66.810000,2420.506503,803.373888,6762843893550650360,null,0,1,0
5,27,5.344724,Normal,66.81,66.810000,2420.506503,803.373888,14770251354950928531,null,0,1,0
6,32,5.418070,Normal,66.81,66.810000,2420.506503,803.373888,844706301316953147,null,0,1,0
7,38,5.421002,Normal,66.81,66.810000,2420.506503,803.373888,2823934824078185206,null,0,1,0
8,43,5.331409,Normal,66.81,66.810000,2420.506503,803.373888,5834950261831871145,null,0,1,0
9,49,5.041134,Normal,66.81,66.810000,2420.506503,803.373888,10346973009034893901,null,0,1,0
10,54,5.346039,Normal,66.81,66.810000,2420.506503,803.373888,3895283216737288575,null,0,1,0
11,60,5.374513,Normal,66.81,66.810000,2420.506503,803.373888,17254147022443499681,null,0,1,0
12,65,5.363380,Normal,66.81,66.810000,2420.506503,803.373888,15495703117619861868,null,0,1,0
13,71,5.365827,Normal,66.81,66.810000,2420.506503,803.373888,10926055034921966546,null,0,1,0
14,76,5.054786,Normal,66.81,66.810000,2420.506503,803.373888,13964071529318666704,null,0,1,0
15,81,5.353853,Normal,66.81,66.810000,2420.506503,803.373888,5643427149002281568,null,0,1,0
16,87,5.359716,Normal,66.81,66.810000,2420.506503,803.373888,1894762743428622621,null,0,1,0
17,92,5.045525,Normal,66.81,66.810000,2420.506503,803.373888,635589708496059671,null,0,1,0
18,98,5.340617,Normal,66.81,66.810000,2420.506503,803.373888,16450644818478286277,null,0,1,0
19,103,5.467629,Normal,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
20,109,5.400931,Normal,66.62,66.620000,2406.646621,803.373888,1989493773585018539,null,0,1,0
21,14,14.671900,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,6439873165248256756,null,1,1,0
22,29,14.103600,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,11255561039145532449,null,1,1,0
23,43,13.925800,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,16491404846762771235,null,1,1,0
24,57,14.019800,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,14641529875676470423,null,1,1,0
25,71,14.033200,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,11163219150738261790,null,1,1,0
26,85,14.151400,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,2882679706520234668,null,1,1,0
27,100,13.955000,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,744862665148618604,null,1,1,0
28,114,14.048200,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,3901661637220707813,null,1,1,0
29,128,13.736100,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,4165438099601571963,null,1,1,0
30,142,13.681400,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,8820339026034730343,null,1,1,0
31,155,13.584900,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,125172155304207817,null,1,1,0
32,161,5.338960,Normal,66.62,66.620000,2406.650000,803.374000,7662307623775734720,null,1,1,0
33,166,5.345770,Normal,66.62,66.620000,2406.650000,803.374000,12388255034037167778,null,1,1,0
34,172,5.339040,Normal,66.62,66.620000,2406.650000,803.374000,16725421535149462443,null,1,1,0
35,177,5.322170,Normal,66.62,66.620000,2406.650000,803.374000,14931798097503472185,null,1,1,0
36,183,5.330680,Normal,66.62,66.620000,2406.650000,803.374000,15506577695434087396,null,1,1,0
37,188,5.350420,Normal,66.62,66.620000,2406.650000,803.374000,6117673701861092561,null,1,1,0
38,194,5.332150,Normal,66.62,66.620000,2406.650000,803.374000,4620222899169089894,null,1,1,0
39,199,5.319230,Normal,66.62,66.620000,2406.650000,803.374000,9176079331204457774,null,1,1,0
40,205,5.334780,Normal,66.62,66.620000,2406.650000,803.374000,3711401675438893996,null,1,1,0
41,210,5.058293,Normal,58.98,58.980000,1958.304296,803.373888,9737618245863125003,null,0,1,1
42,210,5.031484,Normal,100,100.000000,2420.506503,0.000000,3147816627678247940,null,1,1,1
43,215,5.026763,Normal,100,100.000000,2420.506503,0.000000,9527437579712775590,null,0,2,0
44,221,5.132912,Normal,58.98,58.980000,1958.304296,803.373888,11096973058360635725,null,0,2,0
45,226,5.046332,Normal,58.98,58.980000,1958.304296,803.373888,17290916099432765372,null,0,2,0
46,231,5.162533,Normal,58.98,58.980000,1958.304296,803.373888,2569017726107562719,null,0,2,0
47,246,14.660025,WatchdogAbortRequested,58.98,58.980000,1958.304296,803.373888,2293480693402703332,null,0,2,0
48,251,5.057559,Normal,58.98,58.980000,1958.304296,803.373888,1328392239527274356,null,0,2,0
49,221,10.395400,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,2750739447067069705,null,1,2,0
50,230,9.646410,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,17621126318685772224,null,1,2,0
51,241,10.174200,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,15554197131802503658,null,1,2,0
52,246,5.031430,Normal,100,100.000000,2420.510000,0.000000,11015371047032240431,null,1,2,0
53,251,5.043230,Normal,100,100.000000,2420.510000,0.000000,13348207523540462499,null,1,2,0
54,261,9.544250,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,1431627218405652203,null,1,2,0
55,266,5.042509,Normal,58.98,58.980000,1958.304296,803.373888,362444322776317635,null,0,2,1
56,271,5.043661,Normal,58.98,58.980000,1958.304296,803.373888,3580408498437219305,null,0,2,1
57,276,5.043825,Normal,58.98,58.980000,1958.304296,803.373888,9022893695999418451,null,0,2,1
58,282,5.044006,Normal,58.98,58.980000,1958.304296,803.373888,8916658849756157110,null,0,2,1
59,287,5.041749,Normal,58.98,58.980000,1958.304296,803.373888,6168706701938631356,null,0,2,1
60,292,5.142449,Normal,58.98,58.980000,1958.304296,803.373888,14207319421086711538,null,0,2,1
61,297,5.044917,Normal,58.98,58.980000,1958.304296,803.373888,1768016903646627223,null,0,2,1
62,303,5.047456,Normal,58.98,58.980000,1958.304296,803.373888,13724573972966636075,null,0,2,1
63,308,5.044928,Normal,58.98,58.980000,1958.304296,803.373888,16680386550537895026,null,0,2,1
64,313,5.080094,Normal,58.98,58.980000,1958.304296,803.373888,11964012416039452971,null,0,2,1
65,318,5.043106,Normal,58.98,58.980000,1958.304296,803.373888,13289387294809065583,null,0,2,1
66,323,5.042285,Normal,58.98,58.980000,1958.304296,803.373888,2650302971589648839,null,0,2,1
67,329,5.043025,Normal,58.98,58.980000,1958.304296,803.373888,266052936187188415,null,0,2,1
68,334,5.045136,Normal,58.98,58.980000,1958.304296,803.373888,13545044107706029612,null,0,2,1
69,339,5.108545,Normal,58.98,58.980000,1958.304296,803.373888,4454552601948338953,null,0,2,1
70,344,5.043391,Normal,58.98,58.980000,1958.304296,803.373888,18212015908896370039,null,0,2,1
71,350,5.043017,Normal,58.98,58.980000,1958.304296,803.373888,893102941063127492,null,0,2,1
72,355,5.043805,Normal,58.98,58.980000,1958.304296,803.373888,437531092010278220,null,0,2,1
73,360,5.043454,Normal,58.98,58.980000,1958.304296,803.373888,9031517161733637283,null,0,2,1
74,365,5.048430,Normal,58.98,58.980000,1958.304296,803.373888,17150540056235603123,null,0,2,1
75,370,5.041817,Normal,58.98,58.980000,1958.304296,803.373888,5770137284952700379,null,0,2,1
76,376,5.108490,Normal,58.98,58.980000,1958.304296,803.373888,3220883211754347066,null,0,2,1
77,266,5.044288,Normal,58.98,58.980000,1958.304296,803.373888,16444520795252225850,null,1,2,1
78,271,5.044951,Normal,58.98,58.980000,1958.304296,803.373888,14714042743718346457,null,1,2,1
79,276,5.042673,Normal,58.98,58.980000,1958.304296,803.373888,10899458930434470506,null,1,2,1
80,282,5.045459,Normal,58.98,58.980000,1958.304296,803.373888,4128135550895017259,null,1,2,1
81,287,5.045289,Normal,58.98,58.980000,1958.304296,803.373888,5803895996088642981,null,1,2,1
82,292,5.045468,Normal,58.98,58.980000,1958.304296,803.373888,13466079406009614930,null,1,2,1
83,297,5.050131,Normal,58.98,58.980000,1958.304296,803.373888,16567250532988692715,null,1,2,1
84,303,5.048912,Normal,58.98,58.980000,1958.304296,803.373888,1900004705170082014,null,1,2,1
85,308,5.046760,Normal,58.98,58.980000,1958.304296,803.373888,13631841122899866490,null,1,2,1
86,313,5.093945,Normal,58.98,58.980000,1958.304296,803.373888,11458321592963139537,null,1,2,1
87,318,5.046967,Normal,58.98,58.980000,1958.304296,803.373888,14596102505285578893,null,1,2,1
88,323,5.090502,Normal,58.98,58.980000,1958.304296,803.373888,364218941862672730,null,1,2,1
89,329,5.044891,Normal,58.98,58.980000,1958.304296,803.373888,15395755972883334885,null,1,2,1
90,334,5.046067,Normal,58.98,58.980000,1958.304296,803.373888,11071213187965031036,null,1,2,1
91,339,5.048501,Normal,58.98,58.980000,1958.304296,803.373888,1192710491621733112,null,1,2,1
92,344,5.044035,Normal,58.98,58.980000,1958.304296,803.373888,13962599876923580438,null,1,2,1
93,350,5.044876,Normal,58.98,58.980000,1958.304296,803.373888,8356407680291500709,null,1,2,1
94,355,5.043031,Normal,58.98,58.980000,1958.304296,803.373888,130028002400043866,null,1,2,1
95,360,5.044748,Normal,58.98,58.980000,1958.304296,803.373888,18354528478312966418,null,1,2,1
96,365,5.065483,Normal,58.98,58.980000,1958.304296,803.373888,13294019571047358406,null,1,2,1
97,370,5.043661,Normal,58.98,58.980000,1958.304296,803.373888,13156652548020635387,null,1,2,1
98,381,5.042450,Normal,58.98,58.980000,1958.304296,803.373888,8140963475098747739,null,0,3,0
99,386,5.043422,Normal,58.98,58.980000,1958.304296,803.373888,4793030563350197417,null,0,3,0
100,391,5.040627,Normal,58.98,58.980000,1958.304296,803.373888,11071213187965031036,null,0,3,0
101,397,5.042832,Normal,58.98,58.980000,1958.304296,803.373888,4241535864000047471,null,0,3,0
102,402,5.039687,Normal,58.98,58.980000,1958.304296,803.373888,15395755972883334885,null,0,3,0
103,407,5.049615,Normal,58.98,58.980000,1958.304296,803.373888,18354528478312966418,null,0,3,0
104,412,5.047212,Normal,58.98,58.980000,1958.304296,803.373888,1768016903646627223,null,0,3,0
105,417,5.042742,Normal,58.98,58.980000,1958.304296,803.373888,5868222753019070274,null,0,3,0
106,423,5.042119,Normal,58.98,58.980000,1958.304296,803.373888,130028002400043866,null,0,3,0
107,428,5.042911,Normal,58.98,58.980000,1958.304296,803.373888,4035148945271922222,null,0,3,0
108,433,5.040562,Normal,58.98,58.980000,1958.304296,803.373888,10833289074480522657,null,0,3,0
109,438,5.042577,Normal,58.98,58.980000,1958.304296,803.373888,17744877294407148604,null,0,3,0
110,443,5.043385,Normal,58.98,58.980000,1958.304296,803.373888,719593026894390595,null,0,3,0
111,449,5.043838,Normal,58.98,58.980000,1958.304296,803.373888,3220883211754347066,null,0,3,0
112,454,5.040213,Normal,58.98,58.980000,1958.304296,803.373888,18212015908896370039,null,0,3,0
113,459,5.041443,Normal,58.98,58.980000,1958.304296,803.373888,14748096058739521500,null,0,3,0
114,464,5.040847,Normal,58.98,58.980000,1958.304296,803.373888,1192710491621733112,null,0,3,0
115,469,5.041903,Normal,58.98,58.980000,1958.304296,803.373888,362444322776317635,null,0,3,0
116,475,5.040947,Normal,58.98,58.980000,1958.304296,803.373888,893102941063127492,null,0,3,0
117,480,5.055776,Normal,58.98,58.980000,1958.304296,803.373888,6918720321485707504,null,0,3,0
118,485,5.051968,Normal,58.98,58.980000,1958.304296,803.373888,17150540056235603123,null,0,3,0
119,490,5.040152,Normal,58.98,58.980000,1958.304296,803.373888,8356407680291500709,null,0,3,0
120,495,5.039759,Normal,58.98,58.980000,1958.304296,803.373888,11314369357762951296,null,0,3,0
121,501,5.043100,Normal,58.98,58.980000,1958.304296,803.373888,2691723114085671123,null,0,3,0
122,506,5.046207,Normal,58.98,58.980000,1958.304296,803.373888,14596102505285578893,null,0,3,0
123,511,5.046877,Normal,58.98,58.980000,1958.304296,803.373888,15172865629877078327,null,0,3,0
124,516,5.045509,Normal,58.98,58.980000,1958.304296,803.373888,3580408498437219305,null,0,3,0
125,521,5.043115,Normal,58.98,58.980000,1958.304296,803.373888,13294019571047358406,null,0,3,0
126,527,5.044427,Normal,58.98,58.980000,1958.304296,803.373888,11881299716766696238,null,0,3,0
127,532,5.043288,Normal,58.98,58.980000,1958.304296,803.373888,15787266032320692387,null,0,3,0
128,381,5.031760,Normal,100,100.000000,2420.510000,0.000000,2038502587618474939,null,1,3,0
129,386,5.031200,Normal,100,100.000000,2420.510000,0.000000,16697249495222448818,null,1,3,0
130,391,5.033350,Normal,100,100.000000,2420.510000,0.000000,16143626303699086319,null,1,3,0
131,396,5.045840,Normal,100,100.000000,2420.510000,0.000000,7071359930872685300,null,1,3,0
132,402,5.072420,Normal,100,100.000000,2420.510000,0.000000,15411256956137284331,null,1,3,0
133,407,5.037810,Normal,100,100.000000,2420.510000,0.000000,1909003752368565403,null,1,3,0
134,412,5.037720,Normal,100,100.000000,2420.510000,0.000000,15937117095974303901,null,1,3,0
135,417,5.037340,Normal,100,100.000000,2420.510000,0.000000,13042264710884394490,null,1,3,0
136,422,5.032520,Normal,100,100.000000,2420.510000,0.000000,15647871055715800281,null,1,3,0
137,428,5.033050,Normal,100,100.000000,2420.510000,0.000000,7144767631734485085,null,1,3,0
138,433,5.037300,Normal,100,100.000000,2420.510000,0.000000,14210899208424710081,null,1,3,0
139,438,5.064950,Normal,100,100.000000,2420.510000,0.000000,11886002178041098502,null,1,3,0
140,443,5.036470,Normal,100,100.000000,2420.510000,0.000000,16967863085554270383,null,1,3,0
141,448,5.031860,Normal,100,100.000000,2420.510000,0.000000,10981512410654656669,null,1,3,0
142,454,5.052740,Normal,100,100.000000,2420.510000,0.000000,15407558760519578864,null,1,3,0
143,459,5.031300,Normal,100,100.000000,2420.510000,0.000000,3408648745522227915,null,1,3,0
144,464,5.028420,Normal,100,100.000000,2420.510000,0.000000,9377987838437648712,null,1,3,0
145,469,5.035260,Normal,100,100.000000,2420.510000,0.000000,16847395984164942792,null,1,3,0
146,475,5.180580,Normal,100,100.000000,2420.510000,0.000000,17002571795433538697,null,1,3,0
147,480,5.028440,Normal,100,100.000000,2420.510000,0.000000,6575324742877882142,null,1,3,0
148,485,5.082620,Normal,66.81,66.810000,2420.510000,803.374000,11343753652049095170,null,1,3,0
149,490,5.083480,Normal,66.81,66.810000,2420.510000,803.374000,5821986869548122297,null,1,3,0
150,496,5.087480,Normal,66.81,66.810000,2420.510000,803.374000,4058257842667313252,null,1,3,0
151,501,5.088590,Normal,66.81,66.810000,2420.510000,803.374000,10113030508581664191,null,1,3,0
152,506,5.082890,Normal,66.81,66.810000,2420.510000,803.374000,10838588723110522474,null,1,3,0
153,511,5.105150,Normal,66.81,66.810000,2420.510000,803.374000,12433470084704308071,null,1,3,0
154,517,5.083820,Normal,66.81,66.810000,2420.510000,803.374000,3686381845553598757,null,1,3,0
155,522,5.083380,Normal,66.81,66.810000,2420.510000,803.374000,6249049196541570542,null,1,3,0
156,527,5.084720,Normal,66.81,66.810000,2420.510000,803.374000,15026476526480494046,null,1,3,0
157,532,5.082870,Normal,66.81,66.810000,2420.510000,803.374000,7850100696998441574,null,1,3,0
158,538,5.163824,Normal,58.98,58.980000,1958.304296,803.373888,2371989663985548884,null,0,3,1
159,537,5.047476,Normal,57.51,57.510000,1890.876850,803.373888,7827708452916102122,null,1,3,1
160,543,5.045045,Normal,57.51,57.510000,1890.876850,803.373888,9974358511845488973,null,0,4,0
161,548,5.345474,Normal,57.51,57.510000,1890.876850,803.373888,16890673976756659648,null,0,4,0
162,554,5.077825,Normal,57.51,57.510000,1890.876850,803.373888,14257055002961893878,null,0,4,0
163,559,5.384419,Normal,57.51,57.510000,1890.876850,803.373888,2672564128018787086,null,0,4,0
164,564,5.071868,Normal,57.51,57.510000,1890.876850,803.373888,3477214764460998186,null,0,4,0
165,574,9.813224,WatchdogAbortRequested,66.62,66.620000,2406.646621,803.373888,17351076979730141828,null,0,4,0
166,580,5.374534,Normal,57.51,57.510000,1890.876850,803.373888,11369550015580455809,null,0,4,0
167,586,5.372651,Normal,57.51,57.510000,1890.876850,803.373888,18261673904417903846,null,0,4,0
168,591,5.338653,Normal,57.51,57.510000,1890.876850,803.373888,4998861809997363184,null,0,4,0
169,596,5.046254,Normal,57.51,57.510000,1890.876850,803.373888,18143954509220648497,null,0,4,0
170,602,5.351513,Normal,57.51,57.510000,1890.876850,803.373888,12522345039928392131,null,0,4,0
171,607,5.043087,Normal,57.51,57.510000,1890.876850,803.373888,11127004414642762131,null,0,4,0
172,612,5.206739,Normal,58.98,58.980000,1958.304296,803.373888,10996749597962981942,null,0,4,0
173,618,5.076498,Normal,57.51,57.510000,1890.876850,803.373888,4074183230058572877,null,0,4,0
