EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.013089,Normal,75.12,75.120000,0.055334,0.013766,14921508010286178949,null,0,1,0
2,10,5.012420,Normal,64,64.000000,0.055334,0.019923,5643427149002281568,null,0,1,0
3,15,5.013475,Normal,64,64.000000,0.055334,0.019923,271321391208788895,null,0,1,0
4,20,5.017591,Normal,64,64.000000,0.055334,0.019923,6709727013648302845,null,0,1,0
5,25,5.015551,Normal,64,64.000000,0.055334,0.019923,12477530550632405707,null,0,1,0
6,30,5.010468,Normal,54.24,54.240000,0.055334,0.025321,1306624368982852578,null,0,1,0
7,35,5.008430,Normal,54.26,54.260000,0.055334,0.025309,12551535550527831704,null,0,1,0
8,40,5.006995,Normal,54.24,54.240000,0.055334,0.025321,8318533844553644115,null,0,1,0
9,45,5.013541,Normal,56.66,56.660000,0.055334,0.023983,18063764233342330195,null,0,1,0
10,50,5.006883,Normal,54.24,54.240000,0.055334,0.025321,5049360403721768497,null,0,1,0
11,55,5.013337,Normal,65.62,65.620000,0.055334,0.019024,17878160102696106270,null,0,1,0
12,60,5.007550,Normal,54.23,54.230000,0.055334,0.025324,11344569722843869084,null,0,1,0
13,65,5.006015,Normal,61.43,61.430000,0.055334,0.021345,6525387620652731439,null,0,1,0
14,71,5.007725,Normal,61.48,61.480000,0.055334,0.021315,283840525789506768,null,0,1,0
15,76,5.007502,Normal,62.75,62.750000,0.055334,0.020610,9522782602686057174,null,0,1,0
16,81,5.008129,Normal,54.26,54.260000,0.055334,0.025309,11583225828882415344,null,0,1,0
17,86,5.010575,Normal,54.24,54.240000,0.055334,0.025321,4789118022543022829,null,0,1,0
18,91,5.017842,Normal,59.86,59.860000,0.055334,0.022209,16270346109244078678,null,0,1,0
19,96,5.009794,Normal,61.43,61.430000,0.055334,0.021345,3330004769448369745,null,0,1,0
20,101,5.010787,Normal,61.43,61.430000,0.055334,0.021345,16479829613302484039,null,0,1,0
21,5,5.010160,Normal,74.21,74.210000,0.055334,0.014272,17514050945686148453,null,1,1,0
22,10,5.011020,Normal,74.21,74.210000,0.055334,0.014272,14945327202240187335,null,1,1,0
23,15,5.008990,Normal,68.48,68.480000,0.055334,0.017439,5618135918108975868,null,1,1,0
24,20,5.009120,Normal,54.11,54.110000,0.055334,0.025392,18187865233440282756,null,1,1,0
