EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.020023,Normal,32.9,32.900000,244.000000,163.722352,14921508010286178949,null,0,1,0
2,10,5.019806,Normal,32.9,32.900000,244.000000,163.722352,10101538263502436884,null,0,1,0
3,15,5.020933,Normal,30.49,30.490000,243.000000,168.898740,10346973009034893901,null,0,1,0
4,20,5.023408,Normal,30.49,30.490000,243.000000,168.898740,18069049565768102882,null,0,1,0
5,25,5.023375,Normal,30.49,30.490000,243.000000,168.898740,12888482828633900124,null,0,1,0
6,30,5.026786,Normal,71.19,71.190000,256.000000,73.761244,10475899001479897097,null,0,1,0
7,35,5.015431,Normal,79.67,79.670000,284.000000,57.735299,11017550653942288753,null,0,1,0
8,40,5.018857,Normal,23.45,23.450000,246.000000,188.307586,420951247554274736,null,0,1,0
9,45,5.020446,Normal,23.45,23.450000,246.000000,188.307586,11142473046071125735,null,0,1,0
10,50,5.018470,Normal,23.45,23.450000,246.000000,188.307586,12451721900827051972,null,0,1,0
11,55,5.028886,Normal,72.5,72.500000,268.000000,73.697629,9083158521763270140,null,0,1,0
12,60,5.043523,Normal,32.94,32.940000,245.000000,164.290049,11564676138723875122,null,0,1,0
13,65,5.020619,Normal,30.49,30.490000,243.000000,168.898740,7470663300204126264,null,0,1,0
14,70,5.020388,Normal,23.45,23.450000,246.000000,188.307586,10659615521740702865,null,0,1,0
15,75,5.027904,Normal,12.66,12.660000,242.000000,211.366169,7434947851232113020,null,0,1,0
16,80,5.019637,Normal,10.88,10.880000,241.000000,214.769689,8160703820814469571,null,0,1,0
17,85,5.019269,Normal,10.88,10.880000,241.000000,214.769689,513850915338040724,null,0,1,0
18,91,5.018351,Normal,15.33,15.330000,247.000000,209.125386,11980175443794162193,null,0,1,0
19,96,5.014178,Normal,20.49,20.490000,253.000000,201.149855,14270505535338278530,null,0,1,0
20,101,5.019459,Normal,56.26,56.260000,245.000000,107.153236,8614438372013179944,null,0,1,0
21,5,5.023490,Normal,31.98,31.980000,250.000000,170.055000,9686720361045965965,null,1,1,0
22,10,5.027530,Normal,31.98,31.980000,250.000000,170.055000,14977320980139403669,null,1,1,0
23,15,5.025630,Normal,31.98,31.980000,250.000000,170.055000,1871591627137445803,null,1,1,0
24,20,5.028230,Normal,31.98,31.980000,250.000000,170.055000,7129054616402336492,null,1,1,0
25,25,5.020510,Normal,24.76,24.760000,241.000000,181.319000,5422601811110845924,null,1,1,0
26,30,5.029740,Normal,33.74,33.740000,250.000000,165.656000,762089674238848521,null,1,1,0
27,35,5.023310,Normal,26.26,26.260000,241.000000,177.714000,18048410261294971436,null,1,1,0
28,40,5.013160,Normal,81.55,81.550000,252.000000,46.503300,4606096117026724049,null,1,1,0
29,45,5.023440,Normal,24.76,24.760000,241.000000,181.319000,14473338074509787936,null,1,1,0
30,50,5.021140,Normal,27.3,27.300000,254.000000,184.650000,8498344972460176288,null,1,1,0
31,55,5.008110,Normal,78.13,78.130000,259.000000,56.641200,15989468198204871203,null,1,1,0
32,60,5.021350,Normal,26.26,26.260000,241.000000,177.714000,3596732167841548344,null,1,1,0
33,65,5.019690,Normal,26.26,26.260000,241.000000,177.714000,14746983111189133578,null,1,1,0
34,70,5.026210,Normal,24.4,24.400000,254.000000,192.025000,13841071966915530667,null,1,1,0
35,75,5.026450,Normal,24.4,24.400000,254.000000,192.025000,5666059333836983120,null,1,1,0
36,80,5.027140,Normal,24.4,24.400000,254.000000,192.025000,2913409055238700056,null,1,1,0
37,85,5.027660,Normal,24.4,24.400000,254.000000,192.025000,15620648585544006860,null,1,1,0
38,90,5.027810,Normal,24.4,24.400000,254.000000,192.025000,5880905713234465333,null,1,1,0
39,96,5.027220,Normal,24.4,24.400000,254.000000,192.025000,7610894835514180844,null,1,1,0
40,101,5.030570,Normal,14.7,14.700000,245.000000,208.993000,4855138988496059549,null,1,1,0
41,5,5.026860,Normal,24.4,24.400000,254.000000,192.025000,17808874148426417796,null,2,1,0
42,10,5.024440,Normal,31.98,31.980000,250.000000,170.055000,11633543647495200375,null,2,1,0
43,15,5.025190,Normal,24.4,24.400000,254.000000,192.025000,5640172564576391019,null,2,1,0
44,20,5.031300,Normal,24.4,24.400000,254.000000,192.025000,13442604047210902029,null,2,1,0
45,25,5.025220,Normal,24.4,24.400000,254.000000,192.025000,16329590515646545778,null,2,1,0
46,30,5.029780,Normal,14.7,14.700000,245.000000,208.993000,16422045157006476828,null,2,1,0
47,35,5.028770,Normal,16.18,16.180000,245.000000,205.348000,4476447403378541253,null,2,1,0
48,40,5.022430,Normal,14.18,14.180000,240.000000,205.964000,4408874252917390650,null,2,1,0
49,45,5.019960,Normal,66.36,66.360000,266.000000,89.490900,3585694571294642860,null,2,1,0
50,50,5.020060,Normal,14.18,14.180000,240.000000,205.964000,2289629708444293079,null,2,1,0
51,55,5.019410,Normal,14.18,14.180000,240.000000,205.964000,1313850426047230203,null,2,1,0
52,60,5.019530,Normal,14.18,14.180000,240.000000,205.964000,6854630524422792756,null,2,1,0
53,65,5.021020,Normal,16.32,16.320000,240.000000,200.830000,891065145645596778,null,2,1,0
54,70,5.020340,Normal,16.32,16.320000,240.000000,200.830000,17534345993762660905,null,2,1,0
55,75,5.020180,Normal,14.18,14.180000,240.000000,205.964000,15043927084102213564,null,2,1,0
56,80,5.018410,Normal,80.97,80.970000,284.000000,54.047900,921965070002624763,null,2,1,0
57,85,5.020910,Normal,24.87,24.870000,258.000000,193.841000,5365120471253462871,null,2,1,0
58,90,5.016470,Normal,14.18,14.180000,240.000000,205.964000,12597516564174483273,null,2,1,0
59,96,5.023900,Normal,16.18,16.180000,245.000000,205.348000,13960633949113653035,null,2,1,0
60,101,5.022310,Normal,29.14,29.140000,244.000000,172.890000,4430237911736362255,null,2,1,0
61,5,5.016690,Normal,61.37,61.370000,253.000000,97.744600,15837001027272843000,null,3,1,0
62,10,5.021150,Normal,13.45,13.450000,238.000000,205.991000,625404552481149274,null,3,1,0
63,15,5.019480,Normal,15.76,15.760000,248.000000,208.921000,6709285937789361054,null,3,1,0
64,20,5.021190,Normal,13.45,13.450000,238.000000,205.991000,12162087210659168310,null,3,1,0
65,25,5.020550,Normal,13.45,13.450000,238.000000,205.991000,440615048405943591,null,3,1,0
66,30,5.027410,Normal,27.68,27.680000,255.000000,184.406000,6130748348547612334,null,3,1,0
67,35,5.017290,Normal,61.37,61.370000,253.000000,97.744600,9833805654224744380,null,3,1,0
68,40,5.019150,Normal,24.31,24.310000,248.000000,187.716000,8952066237404114582,null,3,1,0
69,45,5.021340,Normal,13.45,13.450000,238.000000,205.991000,1211246856466079501,null,3,1,0
70,50,5.023790,Normal,14.53,14.530000,241.000000,205.991000,17104044744811013760,null,3,1,0
71,55,5.022230,Normal,14.53,14.530000,241.000000,205.991000,9453069272044457498,null,3,1,0
72,60,5.019080,Normal,13.97,13.970000,243.000000,209.045000,16270249222214715487,null,3,1,0
73,65,5.023480,Normal,14.53,14.530000,241.000000,205.991000,14035461279254133174,null,3,1,0
74,70,5.022780,Normal,14.53,14.530000,241.000000,205.991000,10212259640643749259,null,3,1,0
75,75,5.020790,Normal,13.45,13.450000,238.000000,205.991000,677781983418795485,null,3,1,0
76,80,5.021360,Normal,29.25,29.250000,244.000000,172.631000,8350613665741399182,null,3,1,0
77,85,5.018950,Normal,15.03,15.030000,248.000000,210.716000,15691856789004264726,null,3,1,0
78,90,5.020010,Normal,13.45,13.450000,238.000000,205.991000,11448048946322100619,null,3,1,0
79,95,5.016670,Normal,76.2,76.200000,284.000000,67.578600,9000470167572598483,null,3,1,0
80,100,5.021120,Normal,13.45,13.450000,238.000000,205.991000,13593338448521464295,null,3,1,0
81,5,5.023400,Normal,11.34,11.340000,236.000000,209.241000,15967469245584910126,null,4,1,0
82,10,5.022470,Normal,11.34,11.340000,236.000000,209.241000,17398987104164056686,null,4,1,0
83,15,5.020580,Normal,9.79,9.790000,243.000000,219.221000,10099786704224630259,null,4,1,0
84,20,5.022930,Normal,9.79,9.790000,243.000000,219.221000,6039570510003710187,null,4,1,0
85,25,5.022820,Normal,9.79,9.790000,243.000000,219.221000,11217353936417669217,null,4,1,0
86,30,5.023050,Normal,9.79,9.790000,243.000000,219.221000,12100378305347162295,null,4,1,0
87,35,5.019450,Normal,9.79,9.790000,243.000000,219.221000,3712533205605407794,null,4,1,0
88,40,5.022770,Normal,15.03,15.030000,248.000000,210.716000,12958004332558654968,null,4,1,0
89,45,5.024490,Normal,9.79,9.790000,243.000000,219.221000,2807737449466418320,null,4,1,0
90,50,5.021640,Normal,13.12,13.120000,240.000000,208.507000,9622418703583593062,null,4,1,0
91,55,5.020230,Normal,9.79,9.790000,243.000000,219.221000,16254372753671198248,null,4,1,0
92,60,5.022030,Normal,9.79,9.790000,243.000000,219.221000,13749057345124427731,null,4,1,0
93,65,5.020330,Normal,9.79,9.790000,243.000000,219.221000,2224569171244363195,null,4,1,0
94,70,5.022470,Normal,9.79,9.790000,243.000000,219.221000,1825867322500182595,null,4,1,0
95,75,5.022130,Normal,9.79,9.790000,243.000000,219.221000,4965337544823574466,null,4,1,0
96,80,5.021860,Normal,15.01,15.010000,240.000000,203.987000,10338896248144222420,null,4,1,0
97,85,5.019360,Normal,9.79,9.790000,243.000000,219.221000,14926312789203454537,null,4,1,0
98,90,5.022010,Normal,15.03,15.030000,248.000000,210.716000,5848664914500917814,null,4,1,0
99,95,5.024330,Normal,55.97,55.970000,258.000000,113.587000,427116646808541821,null,4,1,0
100,101,5.022400,Normal,21.25,21.250000,261.000000,205.535000,15697694747429429090,null,4,1,0
101,5,5.019100,Normal,76.2,76.200000,284.000000,67.578600,9112596215255141847,null,5,1,0
102,10,5.018580,Normal,76.24,76.240000,284.000000,67.485300,7984900426356014403,null,5,1,0
103,15,5.018920,Normal,76.2,76.200000,284.000000,67.578600,17700674760620355595,null,5,1,0
104,20,5.019850,Normal,79.91,79.910000,284.000000,57.054500,7201776531784081388,null,5,1,0
105,25,5.018860,Normal,76.2,76.200000,284.000000,67.578600,6701516106231070730,null,5,1,0
106,30,5.017720,Normal,76.2,76.200000,284.000000,67.578600,13361740430921478146,null,5,1,0
107,35,5.011090,Normal,41.88,41.880000,260.000000,151.104000,4582747390230961991,null,5,1,0
108,40,5.012470,Normal,82.65,82.650000,274.000000,47.548300,16400841559970247456,null,5,1,0
109,45,5.014860,Normal,40.51,40.510000,254.000000,151.104000,8363256921890694153,null,5,1,0
110,50,5.013410,Normal,54.61,54.610000,256.000000,116.190000,11020248115152938380,null,5,1,0
111,55,5.015700,Normal,41.88,41.880000,260.000000,151.104000,12910031846695083566,null,5,1,0
112,60,5.012320,Normal,41.88,41.880000,260.000000,151.104000,6784592073101973569,null,5,1,0
113,65,5.012610,Normal,40.74,40.740000,255.000000,151.104000,14103461610362593205,null,5,1,0
114,70,5.013900,Normal,40.74,40.740000,255.000000,151.104000,11539930807508764580,null,5,1,0
115,75,5.012400,Normal,77.55,77.550000,255.000000,57.258800,2856795008750899298,null,5,1,0
116,80,5.012310,Normal,40.74,40.740000,255.000000,151.104000,4998707940913227766,null,5,1,0
117,85,5.016180,Normal,15.03,15.030000,248.000000,210.716000,4887776785755848611,null,5,1,0
118,90,5.018870,Normal,16.68,16.680000,243.000000,202.463000,15786544579717314571,null,5,1,0
119,96,5.019520,Normal,9.79,9.790000,243.000000,219.221000,17352040030141108650,null,5,1,0
120,101,5.016840,Normal,9.79,9.790000,243.000000,219.221000,7686995696056471614,null,5,1,0
121,5,5.022370,Normal,14.87,14.870000,243.000000,206.860000,9780203583707233689,null,6,1,0
122,10,5.030980,Normal,24.8,24.800000,245.000000,184.240000,2738998000721329484,null,6,1,0
123,15,5.018390,Normal,14.87,14.870000,243.000000,206.860000,18336645636746358870,null,6,1,0
124,20,5.020550,Normal,16.95,16.950000,248.000000,205.974000,10430870351543335230,null,6,1,0
125,25,5.023750,Normal,14.87,14.870000,243.000000,206.860000,5067090313668998178,null,6,1,0
126,30,5.024330,Normal,19.42,19.420000,256.000000,206.297000,9349324400397823569,null,6,1,0
127,35,5.025250,Normal,24.8,24.800000,245.000000,184.240000,6555934235744962847,null,6,1,0
128,40,5.021100,Normal,14.87,14.870000,243.000000,206.860000,14273922129375939757,null,6,1,0
129,45,5.021210,Normal,14.87,14.870000,243.000000,206.860000,10272331148800803922,null,6,1,0
130,50,5.020390,Normal,12.95,12.950000,243.000000,211.531000,16367168959440434628,null,6,1,0
131,55,5.033990,Normal,23.23,23.230000,249.000000,191.168000,599272894747083554,null,6,1,0
132,60,5.017230,Normal,14.02,14.020000,245.000000,210.645000,15906692820482366633,null,6,1,0
133,65,5.019000,Normal,14.45,14.450000,244.000000,208.745000,6475573733748014524,null,6,1,0
134,70,5.019960,Normal,12.95,12.950000,243.000000,211.531000,1761499741232108421,null,6,1,0
135,75,5.019050,Normal,10.81,10.810000,238.000000,212.262000,14161110741131896495,null,6,1,0
136,80,5.015630,Normal,10.81,10.810000,238.000000,212.262000,15091867053378831717,null,6,1,0
137,85,5.018740,Normal,11.11,11.110000,240.000000,213.336000,16701418417708180210,null,6,1,0
138,90,5.017070,Normal,10.81,10.810000,238.000000,212.262000,15820808508015534354,null,6,1,0
139,95,5.017760,Normal,10.81,10.810000,238.000000,212.262000,15383774652117651372,null,6,1,0
140,101,5.017200,Normal,10.81,10.810000,238.000000,212.262000,4903147510304214877,null,6,1,0
141,5,5.024280,Normal,25.57,25.570000,250.000000,186.082000,18273107419658988086,null,7,1,0
