EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.009074,Normal,6.17,6.170000,24408.292171,22901.485260,14921508010286178949,null,0,1,0
2,10,5.010209,Normal,6.35,6.350000,24365.505494,22818.402123,2823934824078185206,null,0,1,0
3,15,5.008832,Normal,6.38,6.380000,24650.793920,23078.726694,844706301316953147,null,0,1,0
4,20,5.008450,Normal,6.17,6.170000,24408.292171,22901.485260,13575339350133640537,null,0,1,0
5,25,5.008135,Normal,6.17,6.170000,24408.292171,22901.485260,10926055034921966546,null,0,1,0
6,30,5.008194,Normal,6.17,6.170000,24408.292171,22901.485260,13290681019215308220,null,0,1,0
7,35,5.057223,Normal,5.98,5.980000,24379.571835,22920.548365,16957666276679199244,null,0,1,0
8,40,5.012209,Normal,9.78,9.780000,24978.630905,22536.483379,9790877350325995247,null,0,1,0
9,45,5.012877,Normal,5.72,5.720000,24336.348372,22943.775995,5398713608842390699,null,0,1,0
10,50,5.010141,Normal,6.26,6.260000,24517.867390,22984.051168,16296325783509183914,null,0,1,0
11,55,5.009510,Normal,6.1,6.100000,24469.646062,22977.172711,4862113567422649290,null,0,1,0
12,60,5.013499,Normal,6.67,6.670000,24379.395992,22752.302770,8542899556648158530,null,0,1,0
13,66,5.010827,Normal,5.72,5.720000,24336.348372,22943.775995,6355832886424843503,null,0,1,0
14,71,5.011109,Normal,5.72,5.720000,24336.348372,22943.775995,406438657183827800,null,0,1,0
15,76,5.015627,Normal,5.72,5.720000,24336.348372,22943.775995,4063701962894822506,null,0,1,0
16,81,5.015836,Normal,5.71,5.710000,24468.603985,23071.754649,8067444574291892353,null,0,1,0
17,86,5.017370,Normal,5.71,5.710000,24468.603985,23071.754649,5288539429821468710,null,0,1,0
18,91,5.008420,Normal,6.17,6.170000,24408.292171,22901.485260,18060637416333092177,null,0,1,0
19,96,5.010902,Normal,5.74,5.740000,24455.522703,23052.721590,13643529543844845644,null,0,1,0
20,101,5.015489,Normal,6.48,6.480000,24379.395992,22799.912637,12132936937375222276,null,0,1,0
21,106,5.009087,Normal,6.13,6.130000,24468.521823,22969.508917,10531611474823462578,null,0,1,1
22,111,5.013372,Normal,5.71,5.710000,24468.603985,23071.754649,11104681131043936249,null,0,1,1
23,116,5.016829,Normal,5.71,5.710000,24468.603985,23071.754649,12987150502430944891,null,0,1,1
24,121,5.016198,Normal,5.71,5.710000,24468.603985,23071.754649,13026713797103047930,null,0,1,1
25,126,5.009351,Normal,5.66,5.660000,24468.603985,23083.669152,18196501381936038597,null,0,1,1
26,132,5.009248,Normal,5.66,5.660000,24468.603985,23083.669152,14350402005488685283,null,0,2,0
27,137,5.014189,Normal,5.66,5.660000,24468.603985,23083.669152,4006612030649529053,null,0,2,0
28,142,5.009813,Normal,4.44,4.440000,24408.292171,23325.305642,4120013263623126573,null,0,2,0
29,147,5.012766,Normal,4.44,4.440000,24408.292171,23325.305642,15137971244205869587,null,0,2,0
30,152,5.008765,Normal,5.91,5.910000,24408.292171,22964.691467,11930571360329004307,null,0,2,0
31,157,5.006675,Normal,7.13,7.130000,24672.921856,22913.762628,16351406269826208947,null,0,2,0
32,162,5.006300,Normal,6.35,6.350000,24406.801109,22856.591568,2681852541124159095,null,0,2,1
33,167,5.008790,Normal,6.08,6.080000,24455.995978,22968.430386,7552358908443972577,null,0,2,1
34,172,5.006770,Normal,6.39,6.390000,24568.183335,22999.319209,11075370059158817184,null,0,2,1
35,177,5.004719,Normal,7.92,7.920000,24898.496172,22926.735418,9496873607581363851,null,0,2,1
36,182,5.009494,Normal,4.44,4.440000,24408.292171,23325.305642,16433844647075254182,null,0,2,1
37,187,5.004932,Normal,8.69,8.690000,24938.939297,22771.737052,5697246128164719592,null,0,2,1
38,192,5.010324,Normal,6.6,6.600000,24490.733949,22875.352520,17253863937223086023,null,0,2,1
39,197,5.008675,Normal,7.52,7.520000,24623.513048,22771.645486,1248288861091054052,null,0,2,1
40,202,5.008734,Normal,7.19,7.190000,24537.077497,22772.344769,3240573903634880714,null,0,2,1
41,207,5.011046,Normal,7.13,7.130000,24519.596349,22772.344769,16005159251460412085,null,0,2,1
42,213,5.005943,Normal,5.89,5.890000,24379.983046,22944.818722,15092110740176273526,null,0,2,1
43,218,5.006961,Normal,7.13,7.130000,24672.921856,22913.762628,14982354137674177220,null,0,2,1
44,223,5.009925,Normal,4.44,4.440000,24408.292171,23325.305642,17719110066475153234,null,0,2,1
