EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004726,Normal,31.52,31.520000,34.142100,23.380597,14921508010286178949,null,0,1,0
2,10,5.006095,Normal,31.52,31.520000,34.142100,23.380597,10101538263502436884,null,0,1,0
3,15,5.005048,Normal,33.84,33.840000,33.970520,22.475874,10346973009034893901,null,0,1,0
4,20,5.004990,Normal,31.52,31.520000,34.142100,23.380597,635589708496059671,null,0,1,0
5,25,5.004821,Normal,30.71,30.710000,33.798940,23.420193,5948685825087948624,null,0,1,0
6,30,5.005934,Normal,30.71,30.710000,33.798940,23.420193,4597123006338656835,null,0,1,0
7,35,5.005988,Normal,31.54,31.540000,33.798940,23.137769,7127532972619092953,null,0,1,0
8,40,5.004923,Normal,34.58,34.580000,33.970520,22.224165,11183717294807096620,null,0,1,0
9,45,5.005864,Normal,33.95,33.950000,34.142100,22.551228,14478073837646034113,null,0,1,0
10,50,5.013683,Normal,33.05,33.050000,34.384730,23.022285,11677552007241727003,null,0,1,0
11,55,5.005502,Normal,36.43,36.430000,34.142100,21.705164,12917510691586148595,null,0,1,0
12,60,5.003907,Normal,31.54,31.540000,33.798940,23.137769,7363453468325357854,null,0,1,0
13,65,5.005909,Normal,30.71,30.710000,33.798940,23.420193,6662751367374755774,null,0,1,0
14,70,5.005013,Normal,32.83,32.830000,33.627360,22.585916,15415290316682780515,null,0,1,0
15,75,5.010248,Normal,31.54,31.540000,33.798940,23.137769,8049170089085202581,null,0,1,0
16,80,5.007241,Normal,34.69,34.690000,34.142100,22.299463,4377604304300178125,null,0,1,0
17,85,5.006027,Normal,31.54,31.540000,33.798940,23.137769,8043365025517006400,null,0,1,0
18,90,5.006309,Normal,30.71,30.710000,33.798940,23.420193,3773182470468751137,null,0,1,0
19,95,5.005209,Normal,31.25,31.250000,34.142100,23.472217,2861183227548455869,null,0,1,0
20,100,5.004104,Normal,33.27,33.270000,33.556310,22.393682,2750363479711834011,null,0,1,0
21,5,5.012390,Normal,41.98,41.980000,34.384700,19.949900,9686720361045965965,null,1,1,0
22,10,5.009020,Normal,36.82,36.820000,34.142100,21.570200,14977320980139403669,null,1,1,0
23,15,5.006700,Normal,36.82,36.820000,34.142100,21.570200,6900896254888489057,null,1,1,0
