EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.022241,Normal,28.64,28.640000,6826.000000,4871.224938,14921508010286178949,null,0,1,0
2,10,5.024939,Normal,28.49,28.490000,6825.999997,4881.426611,2823934824078185206,null,0,1,0
3,15,5.020734,Normal,28.49,28.490000,6825.999997,4881.426611,14403042972698526843,null,0,1,0
4,20,5.024759,Normal,30.37,30.370000,6825.999996,4753.015331,17878160102696106270,null,0,1,0
5,25,5.020322,Normal,28.45,28.450000,6825.999997,4884.145451,4953176355233792838,null,0,1,0
6,31,5.020391,Normal,28.45,28.450000,6825.999997,4884.145451,13845169214147194247,null,0,1,0
7,36,5.018889,Normal,28.45,28.450000,6825.999997,4884.145451,16152439357033806954,null,0,1,0
8,41,5.024588,Normal,28.49,28.490000,6825.999997,4881.426611,3372698482070746358,null,0,1,0
9,46,5.032294,Normal,28.96,28.960000,6825.999996,4849.390706,4552755752880926440,null,0,1,0
10,51,5.021171,Normal,28.49,28.490000,6825.999997,4881.426611,6310899559831387469,null,0,1,0
11,57,5.016580,Normal,28.45,28.450000,6825.999997,4884.145451,16212940492063372502,null,0,1,0
12,62,5.022849,Normal,30.19,30.190000,6825.999996,4764.897772,2604638866072876193,null,0,1,0
13,67,5.016787,Normal,28.57,28.570000,6825.999998,4875.662484,2441688160292591395,null,0,1,0
14,72,5.017568,Normal,28.57,28.570000,6825.999998,4875.755831,8683817217222751575,null,0,1,0
15,77,5.016120,Normal,28.49,28.490000,6825.999997,4881.426611,1892968537442156004,null,0,1,0
16,82,5.018557,Normal,28.63,28.630000,6826.000000,4871.932667,2814756197111476349,null,0,1,0
17,87,5.014306,Normal,29.71,29.710000,6825.999997,4798.051026,10490516469096167259,null,0,1,0
18,93,5.018732,Normal,28.45,28.450000,6825.999997,4884.145451,11695041479610220446,null,0,1,0
19,98,5.017656,Normal,28.45,28.450000,6825.999997,4884.145451,7040482131495544149,null,0,1,0
20,103,5.017967,Normal,28.49,28.490000,6825.999997,4881.426611,4372346955277495878,null,0,1,0
21,5,5.017660,Normal,1.79769e+308,,,4501.680000,8723278136865304665,null,1,1,0
22,10,5.037500,Normal,1.79769e+308,,,4498.340000,4970148594231515670,null,1,1,0
23,15,5.038530,Normal,1.79769e+308,,,4501.680000,2098913149819046562,null,1,1,0
24,20,5.015210,Normal,29.49,29.490000,6826.000000,4812.910000,16096926607947553079,null,1,1,0
25,25,5.017910,Normal,29.49,29.490000,6826.000000,4812.910000,16694637474619434949,null,1,1,0
26,31,5.015080,Normal,29.49,29.490000,6826.000000,4812.910000,17806737890496766564,null,1,1,0
27,36,5.014490,Normal,29.19,29.190000,6826.000000,4833.190000,16013003481142567195,null,1,1,0
28,41,5.019270,Normal,29.53,29.530000,6826.000000,4810.480000,18416081085579910440,null,1,1,0
29,46,5.023950,Normal,29.49,29.490000,6826.000000,4812.910000,1661670308857954000,null,1,1,0
30,51,5.018840,Normal,29.49,29.490000,6826.000000,4812.910000,12328965079153651599,null,1,1,0
31,56,5.017480,Normal,29.53,29.530000,6826.000000,4810.510000,14842389205821660439,null,1,1,0
32,62,5.019310,Normal,29.49,29.490000,6826.000000,4812.910000,16527932359164519481,null,1,1,0
33,67,5.018130,Normal,29.19,29.190000,6826.000000,4833.190000,6545371333829026995,null,1,1,0
34,72,5.017950,Normal,29.49,29.490000,6826.000000,4812.910000,10839579095972956378,null,1,1,0
35,77,5.039230,Normal,1.79769e+308,,,4501.680000,17212612470647822008,null,1,1,0
36,82,5.021720,Normal,29.49,29.490000,6826.000000,4812.910000,1612051157741837018,null,1,1,0
37,87,5.015170,Normal,29.49,29.490000,6826.000000,4812.910000,12652133539815422058,null,1,1,0
38,93,5.013870,Normal,29.19,29.190000,6826.000000,4833.190000,1397933428060168984,null,1,1,0
39,98,5.014570,Normal,29.53,29.530000,6826.000000,4810.480000,53890109828318634,null,1,1,0
40,103,5.019570,Normal,30.06,30.060000,6826.000000,4774.110000,9772590690624499882,null,1,1,0
41,108,5.026417,Normal,28.61,28.610000,6825.999998,4873.118864,990896411236202641,null,0,1,1
42,113,5.025354,Normal,28.49,28.490000,6825.999997,4881.426611,8304939100131351327,null,0,1,1
