EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.007178,Normal,34.96,34.960000,21228.000000,13807.069690,14921508010286178949,null,0,1,0
2,10,5.008008,Normal,34.78,34.780000,21228.000000,13845.529863,5643427149002281568,null,0,1,0
3,15,5.057362,Normal,35,35.000000,21228.000000,13797.216473,271321391208788895,null,0,1,0
4,20,5.006643,Normal,34.78,34.780000,21228.000000,13845.529863,6709727013648302845,null,0,1,0
5,25,5.009179,Normal,34.81,34.810000,21228.000000,13838.028478,12477530550632405707,null,0,1,0
6,30,5.046538,Normal,34.85,34.850000,21228.000000,13830.139850,1306624368982852578,null,0,1,0
7,35,5.009101,Normal,34.86,34.860000,21228.000000,13827.918244,16449025980178702649,null,0,1,0
8,40,5.015161,Normal,34.78,34.780000,21228.000000,13845.529863,17047907728642263097,null,0,1,0
9,45,5.007905,Normal,34.78,34.780000,21228.000000,13845.529863,17914966802921813061,null,0,1,0
10,50,5.006258,Normal,41.52,41.520000,21081.000000,12328.905365,435339654445841590,null,0,1,0
11,55,5.006223,Normal,35.01,35.010000,21228.000000,13795.862458,12917510691586148595,null,0,1,0
12,60,5.067514,Normal,34.78,34.780000,21228.000000,13845.529863,13964071529318666704,null,0,1,0
13,65,5.011829,Normal,34.78,34.780000,21228.000000,13845.529863,11811313438669396076,null,0,1,0
14,70,5.162884,Normal,34.78,34.780000,21228.000000,13845.529863,8808371701914235026,null,0,1,0
15,75,5.194530,Normal,34.81,34.810000,21228.000000,13839.169143,17878160102696106270,null,0,1,0
16,80,5.015932,Normal,34.85,34.850000,21228.000000,13829.477240,6389865117513611435,null,0,1,0
17,85,5.062498,Normal,34.78,34.780000,21228.000000,13845.529863,6513515546483084098,null,0,1,0
18,90,5.011144,Normal,44.67,44.670000,21228.000000,11744.874332,6302350429563461903,null,0,1,0
19,96,5.234643,Normal,34.78,34.780000,21228.000000,13845.529863,7646819812570790734,null,0,1,0
20,101,5.290485,Normal,34.9,34.900000,21228.000000,13818.761076,18060637416333092177,null,0,1,0
21,5,5.006610,Normal,37.45,37.450000,20698.000000,12946.300000,17514050945686148453,null,1,1,0
22,10,5.003700,Normal,37.45,37.450000,20698.000000,12946.300000,14945327202240187335,null,1,1,0
23,15,5.012140,Normal,38.92,38.920000,20756.000000,12677.700000,5618135918108975868,null,1,1,0
24,20,5.050400,Normal,37.27,37.270000,20296.000000,12730.900000,14451080528597731927,null,1,1,0
25,25,5.085830,Normal,34.92,34.920000,21228.000000,13815.200000,2008866043198203729,null,1,1,0
26,30,5.007860,Normal,36.2,36.200000,21228.000000,13544.200000,12958196362911473347,null,1,1,0
27,35,5.060380,Normal,34.92,34.920000,21228.000000,13815.200000,434588622264425953,null,1,1,0
28,40,5.007070,Normal,34.93,34.930000,21228.000000,13813.200000,14339747839926656418,null,1,1,0
29,45,5.006360,Normal,34.85,34.850000,21228.000000,13830.100000,1911609352720659774,null,1,1,0
30,50,5.007820,Normal,34.85,34.850000,21228.000000,13830.100000,9841135908221269336,null,1,1,0
31,55,5.070570,Normal,34.85,34.850000,21228.000000,13830.100000,5787592349966110269,null,1,1,0
32,60,5.289610,Normal,34.86,34.860000,21228.000000,13827.900000,4514455403616857645,null,1,1,0
33,65,5.007180,Normal,44.61,44.610000,21228.000000,11758.200000,17610234326345932335,null,1,1,0
34,70,5.071590,Normal,34.85,34.850000,21228.000000,13830.100000,18425513126596843074,null,1,1,0
35,76,5.130770,Normal,34.85,34.850000,21228.000000,13830.100000,12671740859541146601,null,1,1,0
36,81,5.109030,Normal,34.85,34.850000,21228.000000,13830.100000,17948741317521539562,null,1,1,0
37,86,5.006270,Normal,34.85,34.850000,21228.000000,13830.100000,4396862725963733649,null,1,1,0
38,91,5.065140,Normal,34.81,34.810000,21228.000000,13839.200000,12452943721327225173,null,1,1,0
39,96,5.007380,Normal,34.81,34.810000,21228.000000,13839.200000,2880013047644367810,null,1,1,0
40,101,5.121260,Normal,34.81,34.810000,21228.000000,13839.200000,8129022753305198634,null,1,1,0
41,106,5.003097,Normal,43.74,43.740000,20419.000000,11488.735881,13712272866700555907,null,0,1,1
42,111,5.113451,Normal,34.78,34.780000,21228.000000,13845.529863,15153943005815854848,null,0,1,1
43,116,5.008930,Normal,34.78,34.780000,21228.000000,13845.529863,14515948739855448219,null,0,1,1
44,121,5.006126,Normal,34.78,34.780000,21228.000000,13845.529863,9955697115973691874,null,0,1,1
45,126,5.006716,Normal,34.78,34.780000,21228.000000,13845.529863,4520658838536128391,null,0,1,1
46,106,5.006720,Normal,34.78,34.780000,21228.000000,13845.529863,14507842454647076699,null,1,1,1
47,111,5.084502,Normal,34.78,34.780000,21228.000000,13845.529863,9034223524074589751,null,1,1,1
48,116,5.205018,Normal,34.78,34.780000,21228.000000,13845.529863,7233255856379949340,null,1,1,1
49,121,5.007121,Normal,34.78,34.780000,21228.000000,13845.529863,6544791072412795871,null,1,1,1
50,126,5.010771,Normal,34.37,34.370000,21228.000000,13931.391833,14147082285266592791,null,1,1,1
51,132,5.006192,Normal,34.23,34.230000,21228.000000,13961.161658,10563261474222101265,null,0,2,0
52,137,5.003117,Normal,33.04,33.040000,21228.000000,14214.819799,15639419291236372404,null,0,2,0
53,142,5.008995,Normal,34.94,34.940000,21228.000000,13810.373824,14694319947228303171,null,0,2,0
54,147,5.004971,Normal,33.04,33.040000,21228.000000,14214.819799,16812018914332709666,null,0,2,0
55,152,5.100407,Normal,35.91,35.910000,20669.000000,13246.319841,16427266833751612278,null,0,2,0
