EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003757,Normal,33.25,33.250000,1925736.999995,1285394.812541,14921508010286178949,null,0,1,0
2,10,5.005836,Normal,23.2,23.200000,1701477.000000,1306674.617575,2823934824078185206,null,0,1,0
3,15,5.010618,Normal,22.6,22.600000,1688191.000000,1306674.617575,14403042972698526843,null,0,1,0
4,20,5.005320,Normal,32.02,32.020000,1922227.999994,1306674.617575,2945426333498293579,null,0,1,0
5,25,5.006499,Normal,23.2,23.200000,1701477.000000,1306674.617575,11678854740144460115,null,0,1,0
6,30,5.005558,Normal,22.6,22.600000,1688191.000000,1306674.617575,2090949422123066960,null,0,1,0
7,35,5.004970,Normal,23.03,23.030000,1635397.000000,1258773.310356,12600866760872575975,null,0,1,0
8,40,5.017372,Normal,22.6,22.600000,1688191.000000,1306674.617575,16129693236078334129,null,0,1,0
9,45,5.004620,Normal,33.36,33.360000,1922139.999994,1280929.580574,4862187164370781574,null,0,1,0
10,50,5.005803,Normal,29.02,29.020000,1829295.999999,1298511.627281,6130978886901976715,null,0,1,0
11,55,5.004377,Normal,29.99,29.990000,1843142.999999,1290448.163609,472822737697570641,null,0,1,0
12,60,5.004555,Normal,32.18,32.180000,1918841.999995,1301356.334142,16080314484600567712,null,0,1,0
13,65,5.005559,Normal,31.72,31.720000,1909701.000000,1303978.440516,9088307464864265819,null,0,1,0
14,70,5.004966,Normal,24.41,24.410000,1728521.000000,1306674.617575,72785221587193447,null,0,1,0
15,75,5.020695,Normal,31.87,31.870000,1903010.999995,1296599.326584,10908131072459223329,null,0,1,0
16,80,5.006320,Normal,25.63,25.630000,1784901.999999,1327399.814167,15445767633767627569,null,0,1,0
17,85,5.030570,Normal,32.66,32.660000,1921492.999995,1293936.776677,1788769127666857960,null,0,1,0
18,90,5.004571,Normal,32.45,32.450000,1926977.999995,1301686.703068,9101885629601521197,null,0,1,0
19,95,5.006511,Normal,23.2,23.200000,1701477.000000,1306674.617575,6824981440407282570,null,0,1,0
20,100,5.005314,Normal,38.75,38.750000,1912674.000000,1171539.337614,2298248333026345365,null,0,1,0
21,5,5.006240,Normal,27.48,27.480000,1734190.000000,1257720.000000,8723278136865304665,null,1,1,0
22,10,5.003900,Normal,37.24,37.240000,1955210.000000,1227060.000000,4970148594231515670,null,1,1,0
23,15,5.005400,Normal,25.64,25.640000,1650020.000000,1226910.000000,2098913149819046562,null,1,1,0
24,20,5.006660,Normal,29.62,29.620000,1631550.000000,1148320.000000,14941587328240492291,null,1,1,0
25,25,5.005260,Normal,29.62,29.620000,1631550.000000,1148320.000000,2792895396170894892,null,1,1,0
26,30,5.005370,Normal,25.64,25.640000,1650020.000000,1226910.000000,9414181165683156458,null,1,1,0
27,35,5.005500,Normal,25.64,25.640000,1650020.000000,1226910.000000,18368262985047444403,null,1,1,0
28,40,5.005500,Normal,25.64,25.640000,1650020.000000,1226910.000000,8431264211995136302,null,1,1,0
29,45,5.018170,Normal,26.67,26.670000,1770100.000000,1297980.000000,8168469344796460727,null,1,1,0
30,50,5.009050,Normal,24.24,24.240000,1573470.000000,1192110.000000,16474772260083114791,null,1,1,0
31,55,5.007240,Normal,26.8,26.800000,1655470.000000,1211770.000000,14242542135783722833,null,1,1,0
32,60,5.004630,Normal,24.3,24.300000,1574880.000000,1192110.000000,6157757531828114936,null,1,1,0
33,65,5.005230,Normal,21.85,21.850000,1564550.000000,1222630.000000,12292251179791854842,null,1,1,0
34,70,5.004700,Normal,26.83,26.830000,1617110.000000,1183190.000000,13231236489640302370,null,1,1,0
35,75,5.004990,Normal,19.11,19.110000,1520940.000000,1230280.000000,4159508569994625067,null,1,1,0
36,80,5.004850,Normal,19.11,19.110000,1520940.000000,1230280.000000,4930835712834684296,null,1,1,0
37,85,5.005100,Normal,23.68,23.680000,1557410.000000,1188620.000000,15934333927572268530,null,1,1,0
38,90,5.005980,Normal,19.15,19.150000,1521770.000000,1230280.000000,17904494492101558380,null,1,1,0
39,95,5.006030,Normal,52.66,52.660000,2499850.000000,1183540.000000,2709989241754745937,null,1,1,0
40,100,5.004970,Normal,63.64,63.640000,1626830.000000,591492.000000,5692909084568563563,null,1,1,0
41,5,5.011410,Normal,26.49,26.490000,1808390.000000,1329340.000000,15446065792237984030,null,2,1,0
42,10,5.010910,Normal,23.76,23.760000,1744170.000000,1329760.000000,4202048695090355429,null,2,1,0
43,15,5.015190,Normal,22.91,22.910000,1694480.000000,1306250.000000,17562165566599045681,null,2,1,0
44,20,5.012960,Normal,26.17,26.170000,1755290.000000,1295880.000000,12984883052126952833,null,2,1,0
45,25,5.011640,Normal,29.99,29.990000,1866130.000000,1306530.000000,1994242043608599922,null,2,1,0
46,30,5.011660,Normal,27.06,27.060000,1791020.000000,1306310.000000,13730243990571569918,null,2,1,0
47,35,5.010330,Normal,27.91,27.910000,1801730.000000,1298800.000000,6710516153966101831,null,2,1,0
48,40,5.011370,Normal,25.93,25.930000,1815240.000000,1344520.000000,2649826212026488053,null,2,1,0
49,45,5.012120,Normal,26.32,26.320000,1772790.000000,1306280.000000,13985929474624644699,null,2,1,0
