EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003872,Normal,44.99,44.990000,1500013000.000006,825091581.333206,14921508010286178949,null,0,1,0
2,10,5.003684,Normal,50.93,50.930000,1683347916.666667,826089454.355935,2823934824078185206,null,0,1,0
3,15,5.003005,Normal,48.54,48.540000,1593348520.000000,820007304.653881,844706301316953147,null,0,1,0
4,20,5.003284,Normal,46.77,46.770000,1550014150.000006,825088583.370140,13575339350133640537,null,0,1,0
5,25,5.003447,Normal,42.37,42.370000,1475012550.000000,850006166.458518,10926055034921966546,null,0,1,0
6,30,5.002932,Normal,33.33,33.330000,1500012100.000000,1000005085.505941,16740374584774211926,null,0,1,0
7,35,5.003251,Normal,33.33,33.330000,1500013100.000000,1000004572.750859,15566179723134062124,null,0,1,0
8,40,5.004317,Normal,49.58,49.580000,1600013400.000000,806793629.426792,1307886365978403084,null,0,1,0
9,45,5.002874,Normal,50,50.000000,1600013400.000000,800006101.750000,1211801674033732574,null,0,1,0
10,50,5.002382,Normal,50,50.000000,1600014050.000000,800004689.172789,8417674758348920402,null,0,1,0
11,55,5.002713,Normal,51.52,51.520000,1650014600.000000,800005648.504883,14896565257402557777,null,0,1,0
12,60,5.003288,Normal,33.33,33.330000,1500012100.000000,1000005177.968488,3294962772343063016,null,0,1,0
13,65,5.003416,Normal,47.83,47.830000,1533351422.916454,800006199.544741,557944281895787271,null,0,1,0
14,70,5.005062,Normal,46,46.000000,1666681333.333333,900006038.743333,7308259572284505480,null,0,1,0
15,75,5.007811,Normal,41.68,41.680000,1375014725.000000,801932229.714734,10759454804867121993,null,0,1,0
16,80,5.003291,Normal,47.83,47.830000,1533351422.916454,800006199.544741,15980496833870860722,null,0,1,0
17,85,5.002958,Normal,47.83,47.830000,1533349564.898695,800006199.544741,6447204706455729812,null,0,1,0
18,90,5.011879,Normal,52.89,52.890000,1700016000.000000,800802670.440157,17902161027923917558,null,0,1,0
19,95,5.003658,Normal,52.94,52.940000,1700015000.000000,800005742.221161,18331591896100395225,null,0,1,0
20,100,5.003397,Normal,49.19,49.190000,1575013941.666667,800233819.100318,12977337688287671063,null,0,1,0
21,5,5.003570,Normal,49.09,49.090000,1571440000.000000,800004000.000000,4742023368992659407,null,1,1,0
22,10,5.003070,Normal,50,50.000000,1600010000.000000,800004000.000000,6256578975208963304,null,1,1,0
23,15,5.003390,Normal,50,50.000000,1600010000.000000,800004000.000000,4212311836723003975,null,1,1,0
24,20,5.002540,Normal,49.21,49.210000,1575010000.000000,800004000.000000,2573251395108725737,null,1,1,0
25,25,5.004270,Normal,48.39,48.390000,1550020000.000000,800003000.000000,1919750748207864055,null,1,1,0
26,30,5.002520,Normal,47.83,47.830000,1533350000.000000,800004000.000000,12170421410415508284,null,1,1,0
27,35,5.002530,Normal,43.86,43.860000,1425010000.000000,800004000.000000,11155293636165913534,null,1,1,0
28,40,5.002720,Normal,48.39,48.390000,1550020000.000000,800006000.000000,14871222249638447989,null,1,1,0
29,45,5.003370,Normal,45.21,45.210000,1460010000.000000,800004000.000000,14100939173762599176,null,1,1,0
30,50,5.002460,Normal,44.83,44.830000,1450010000.000000,800004000.000000,4664716975013271306,null,1,1,0
31,55,5.003180,Normal,48.94,48.940000,1566680000.000000,800004000.000000,3023011172886928766,null,1,1,0
32,60,5.002430,Normal,45.21,45.210000,1460010000.000000,800004000.000000,12458039654747502379,null,1,1,0
33,65,5.003020,Normal,50,50.000000,1600010000.000000,800004000.000000,17176140354722591809,null,1,1,0
34,70,5.003620,Normal,44.26,44.260000,1525010000.000000,850004000.000000,16771745357403473638,null,1,1,0
35,75,5.002720,Normal,50,50.000000,1600020000.000000,800004000.000000,16720328449514882078,null,1,1,0
36,80,5.002740,Normal,50,50.000000,1600010000.000000,800004000.000000,12154330837378840904,null,1,1,0
37,85,5.002560,Normal,43.86,43.860000,1425010000.000000,800004000.000000,353230006098967141,null,1,1,0
38,90,5.003280,Normal,47.54,47.540000,1525010000.000000,800004000.000000,1542786243124565858,null,1,1,0
39,95,5.002940,Normal,44.44,44.440000,1800020000.000000,1000010000.000000,10049588722898240317,null,1,1,0
40,100,5.002710,Normal,50,50.000000,1600010000.000000,800004000.000000,6501878854670690343,null,1,1,0
41,5,5.006240,Normal,49.18,49.180000,1640010000.000000,833492000.000000,13833839775346593887,null,2,1,0
42,10,5.003000,Normal,43.59,43.590000,1587520000.000000,895461000.000000,17419014958330931154,null,2,1,0
43,15,5.003050,Normal,43.39,43.390000,1587520000.000000,898750000.000000,11061388906138207828,null,2,1,0
44,20,5.003300,Normal,49.47,49.470000,1583350000.000000,800004000.000000,8013162906191946081,null,2,1,0
45,25,5.002840,Normal,43.56,43.560000,1587520000.000000,896006000.000000,12184012339022957897,null,2,1,0
46,30,5.004110,Normal,45.63,45.630000,1587520000.000000,863161000.000000,13004434884503877983,null,2,1,0
47,35,5.005400,Normal,47.06,47.060000,1700020000.000000,900005000.000000,9584572589623335759,null,2,1,0
48,40,5.002870,Normal,48.9,48.900000,1583350000.000000,809066000.000000,9700606542686830138,null,2,1,0
49,45,5.003420,Normal,48.46,48.460000,1583350000.000000,816006000.000000,4005057158724683553,null,2,1,0
50,50,5.003730,Normal,41.53,41.530000,1400010000.000000,818573000.000000,1816306111723510289,null,2,1,0
51,55,5.003110,Normal,33.33,33.330000,1500010000.000000,1000010000.000000,5606523174160384338,null,2,1,0
52,60,5.002730,Normal,44.65,44.650000,1450010000.000000,802604000.000000,14579372602566510085,null,2,1,0
53,65,5.003000,Normal,49.98,49.980000,1600010000.000000,800255000.000000,14005424327412466748,null,2,1,0
54,70,5.003310,Normal,33.33,33.330000,1500010000.000000,1000010000.000000,9239681718585611895,null,2,1,0
55,75,5.003530,Normal,33.33,33.330000,1500010000.000000,1000010000.000000,1313614048367289931,null,2,1,0
56,80,5.002420,Normal,38.24,38.240000,1700010000.000000,1050010000.000000,12442166391602586476,null,2,1,0
57,85,5.002540,Normal,49.98,49.980000,1600010000.000000,800255000.000000,9407189078459081238,null,2,1,0
58,90,5.002370,Normal,46.67,46.670000,1500020000.000000,800006000.000000,11310048582128706031,null,2,1,0
59,95,5.003700,Normal,48.57,48.570000,1750020000.000000,900007000.000000,1083950631982347447,null,2,1,0
60,100,5.002440,Normal,46.67,46.670000,1500010000.000000,800004000.000000,666509081114663490,null,2,1,0
61,5,5.005940,Normal,50,50.000000,1600020000.000000,800006000.000000,7691846394389702564,null,3,1,0
62,10,5.003910,Normal,49.78,49.780000,1600010000.000000,803467000.000000,2013473791230577213,null,3,1,0
63,15,5.002930,Normal,45.13,45.130000,1466680000.000000,804828000.000000,14379620491061547535,null,3,1,0
64,20,5.003990,Normal,51.52,51.520000,1650020000.000000,800006000.000000,845719630665339764,null,3,1,0
65,25,5.003470,Normal,46.53,46.530000,1683350000.000000,900007000.000000,17082105968047298671,null,3,1,0
66,30,5.003060,Normal,51.43,51.430000,1750010000.000000,850006000.000000,1576047949649511113,null,3,1,0
67,35,5.003520,Normal,45.76,45.760000,1475010000.000000,800004000.000000,4142164879627569148,null,3,1,0
68,40,5.002860,Normal,40.3,40.300000,1675020000.000000,1000000000.000000,14869887318873902644,null,3,1,0
69,45,5.003150,Normal,47.79,47.790000,1660010000.000000,866672000.000000,1555284640835536621,null,3,1,0
70,50,5.002940,Normal,48,48.000000,1600010000.000000,832056000.000000,6321569784434298509,null,3,1,0
71,55,5.002810,Normal,40.19,40.190000,1533350000.000000,917149000.000000,16694991351021773769,null,3,1,0
72,60,5.003260,Normal,39.74,39.740000,1533350000.000000,924007000.000000,12609446599021379150,null,3,1,0
73,65,5.002640,Normal,46.64,46.640000,1500010000.000000,800465000.000000,6218226301033895496,null,3,1,0
74,70,5.002730,Normal,53.51,53.510000,1800010000.000000,836849000.000000,15052208077585427501,null,3,1,0
75,75,5.002820,Normal,47.74,47.740000,1722240000.000000,900005000.000000,3392814927276598427,null,3,1,0
76,80,5.002740,Normal,41.3,41.300000,1533350000.000000,900006000.000000,14984998280980596800,null,3,1,0
77,85,5.003100,Normal,47.5,47.500000,1714300000.000000,900007000.000000,16129326052192665082,null,3,1,0
