EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004897,Normal,6.41,6.410000,11857.371258,11097.621695,14921508010286178949,null,0,1,0
2,10,5.003125,Normal,5.56,5.560000,11801.185729,11145.218731,2823934824078185206,null,0,1,0
3,15,5.002939,Normal,5.56,5.560000,11801.185729,11145.218731,14403042972698526843,null,0,1,0
4,20,5.002755,Normal,5.86,5.860000,11801.185729,11109.910469,17878160102696106270,null,0,1,0
5,25,5.002932,Normal,5.56,5.560000,11801.185729,11145.218731,4953176355233792838,null,0,1,0
6,30,5.002918,Normal,5.56,5.560000,11801.185729,11145.218731,7475797912735248108,null,0,1,0
7,35,5.003037,Normal,5.56,5.560000,11801.185729,11145.218731,2814756197111476349,null,0,1,0
8,40,5.003218,Normal,5.71,5.710000,11801.185729,11127.640908,5891509694437369548,null,0,1,0
9,45,5.003782,Normal,5.61,5.610000,11801.185729,11139.040637,1978230459851294288,null,0,1,0
10,50,5.004522,Normal,5.52,5.520000,11801.185729,11149.690868,14718808688324299525,null,0,1,0
11,55,5.003090,Normal,4.61,4.610000,11857.371258,11311.177439,10284486605315243061,null,0,1,0
12,60,5.002541,Normal,4.59,4.590000,11857.371258,11313.364546,13840029545858144229,null,0,1,0
13,65,5.002638,Normal,4.15,4.150000,11801.185729,11311.732999,18378351555111800982,null,0,1,0
14,70,5.002604,Normal,4.15,4.150000,11801.185729,11311.989363,17181123415605004629,null,0,1,0
15,75,5.003149,Normal,4.13,4.130000,11801.185729,11313.231044,3595546236346836728,null,0,1,0
16,80,5.003479,Normal,5.61,5.610000,11801.185729,11139.598501,12427100638398323865,null,0,1,0
17,85,5.003613,Normal,5.78,5.780000,11801.185729,11118.959729,13681507013655879686,null,0,1,0
18,90,5.002987,Normal,4.13,4.130000,11801.185729,11313.231044,7838267023356663937,null,0,1,0
19,95,5.002833,Normal,4.86,4.860000,11891.263051,11312.806162,17073361441745478703,null,0,1,0
20,100,5.002694,Normal,4.15,4.150000,11801.185729,11311.501878,15106153703926216688,null,0,1,0
21,5,5.005720,Normal,9.38,9.380000,11801.200000,10693.800000,8723278136865304665,null,1,1,0
22,10,5.002970,Normal,10.17,10.170000,11891.300000,10681.700000,4970148594231515670,null,1,1,0
23,15,5.003910,Normal,9.53,9.530000,11801.200000,10676.000000,2098913149819046562,null,1,1,0
24,20,5.002730,Normal,3.97,3.970000,11801.200000,11332.800000,16096926607947553079,null,1,1,0
25,25,5.002720,Normal,3.97,3.970000,11801.200000,11332.800000,16694637474619434949,null,1,1,0
26,30,5.002940,Normal,3.97,3.970000,11801.200000,11333.000000,17806737890496766564,null,1,1,0
