EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.009887,Normal,54.62,54.620000,-270.000000,-417.464789,14921508010286178949,null,0,1,0
2,10,5.010748,Normal,58.24,58.240000,-275.000000,-435.156724,10101538263502436884,null,0,1,0
3,15,5.007965,Normal,56.95,56.950000,-270.000000,-423.776629,10346973009034893901,null,0,1,0
4,20,5.018935,Normal,54.62,54.620000,-270.000000,-417.464789,635589708496059671,null,0,1,0
5,25,5.045494,Normal,49.12,49.120000,-285.000000,-425.000000,5948685825087948624,null,0,1,0
6,30,5.010626,Normal,34.92,34.920000,-315.000000,-425.000000,4597123006338656835,null,0,1,0
7,35,5.010190,Normal,48.4,48.400000,-285.000000,-422.949999,13561848488861619479,null,0,1,0
8,40,5.008182,Normal,34.92,34.920000,-315.000000,-425.000000,15804098045120514658,null,0,1,0
9,46,5.010146,Normal,49.12,49.120000,-285.000000,-425.000000,8956571215087929164,null,0,1,0
10,51,5.009877,Normal,23.27,23.270000,-340.000000,-419.134615,496319202405423846,null,0,1,0
11,56,5.062288,Normal,41.67,41.670000,-300.000000,-425.000000,6517822855365976570,null,0,1,0
12,61,5.007751,Normal,42.37,42.370000,-295.000000,-420.000000,3870397262630698162,null,0,1,0
13,66,5.008077,Normal,23.27,23.270000,-340.000000,-419.134615,16528479222407037476,null,0,1,0
14,71,5.008504,Normal,37.29,37.290000,-295.000000,-405.000000,3187480668374581693,null,0,1,0
15,76,5.011357,Normal,34.92,34.920000,-315.000000,-425.000000,8531822287580859697,null,0,1,0
16,81,5.010891,Normal,52.73,52.730000,-275.000000,-420.000000,2861183227548455869,null,0,1,0
17,86,5.010750,Normal,41.57,41.570000,-295.000000,-417.637795,12920139823398613932,null,0,1,0
18,92,5.010806,Normal,19.12,19.120000,-340.000000,-405.000000,4169432349945083283,null,0,1,0
19,97,5.004113,Normal,1.075e+15,1075000000000000.000000,0.000000,-1075.000000,2771030771036639417,null,0,1,0
20,102,5.008642,Normal,28.57,28.570000,-315.000000,-405.000000,11682939706871400339,null,0,1,0
21,5,5.040480,Normal,52.14,52.140000,-280.000000,-426.000000,9686720361045965965,null,1,1,0
22,10,5.012160,Normal,56.36,56.360000,-275.000000,-430.000000,14977320980139403669,null,1,1,0
23,15,5.028580,Normal,60.38,60.380000,-265.000000,-425.000000,1871591627137445803,null,1,1,0
24,20,5.025540,Normal,52.14,52.140000,-280.000000,-426.000000,7129054616402336492,null,1,1,0
25,25,5.010070,Normal,37.9,37.900000,-310.000000,-427.500000,5422601811110845924,null,1,1,0
26,30,5.009610,Normal,37.9,37.900000,-310.000000,-427.500000,762089674238848521,null,1,1,0
27,35,5.011270,Normal,84.37,84.370000,-240.000000,-442.500000,18048410261294971436,null,1,1,0
28,40,5.014130,Normal,38.06,38.060000,-310.000000,-428.000000,4606096117026724049,null,1,1,0
29,46,5.016860,Normal,41.84,41.840000,-310.000000,-439.701000,14473338074509787936,null,1,1,0
30,51,5.027900,Normal,38.27,38.270000,-310.000000,-428.623000,8498344972460176288,null,1,1,0
31,56,5.010630,Normal,44.26,44.260000,-305.000000,-440.000000,15989468198204871203,null,1,1,0
