instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/1_b1c1s1_seed-5_20260504_045212,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/1_b1c1s1_seed-5_20260504_045212/run.log
cost266-UUE.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/2_cost266-UUE_seed-5_20260504_051810,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/2_cost266-UUE_seed-5_20260504_051810/run.log
csched007.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/3_csched007_seed-5_20260504_054213,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/3_csched007_seed-5_20260504_054213/run.log
cvs16r128-89.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/4_cvs16r128-89_seed-5_20260504_061100,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/4_cvs16r128-89_seed-5_20260504_061100/run.log
eilA101-2.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/5_eilA101-2_seed-5_20260504_063507,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/5_eilA101-2_seed-5_20260504_063507/run.log
momentum1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/6_momentum1_seed-5_20260504_070637,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/6_momentum1_seed-5_20260504_070637/run.log
mushroom-best.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/7_mushroom-best_seed-5_20260504_073116,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/7_mushroom-best_seed-5_20260504_073116/run.log
neos-1456979.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/8_neos-1456979_seed-5_20260504_080233,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/8_neos-1456979_seed-5_20260504_080233/run.log
neos-3024952-loue.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/9_neos-3024952-loue_seed-5_20260504_082738,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/9_neos-3024952-loue_seed-5_20260504_082738/run.log
neos-3555904-turama.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/10_neos-3555904-turama_seed-5_20260504_085050,/scratch/yorig/mpils-results-grid-seconds-5-watchdog/medium-1/1proc/seed-5/10_neos-3555904-turama_seed-5_20260504_085050/run.log
