EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.007413,Normal,14.93,14.930000,29330.000000,24950.850130,14921508010286178949,null,0,1,0
2,10,5.005867,Normal,17.93,17.930000,29938.000000,24570.607243,2823934824078185206,null,0,1,0
3,15,5.004391,Normal,12.3,12.300000,29374.000000,25761.500601,844706301316953147,null,0,1,0
4,20,5.009042,Normal,1.79769e+308,,,23935.499208,300411628152950630,null,0,1,0
5,25,5.021916,Normal,18.63,18.630000,30234.000000,24601.761404,9083158521763270140,null,0,1,0
6,30,5.003871,Normal,12.86,12.860000,29374.000000,25597.746145,9001690191229605544,null,0,1,0
7,35,5.004163,Normal,12.86,12.860000,29374.000000,25597.746145,11415306107196363309,null,0,1,0
8,40,5.006086,Normal,18.69,18.690000,30109.000000,24480.486971,6527031708453753794,null,0,1,0
9,45,5.004445,Normal,12.86,12.860000,29374.000000,25597.746145,7659158754409217640,null,0,1,0
10,50,5.004652,Normal,12.3,12.300000,29374.000000,25761.500601,11902767629914320588,null,0,1,0
11,55,5.006744,Normal,16.38,16.380000,29288.000000,24490.976775,6223247206059747895,null,0,1,0
12,60,5.004588,Normal,12.86,12.860000,29374.000000,25597.746145,4489300530619657510,null,0,1,0
13,65,5.003888,Normal,18.03,18.030000,30014.000000,24601.761404,6052723598238457172,null,0,1,0
14,70,5.005697,Normal,20.19,20.190000,30407.000000,24266.591038,11525842961022546707,null,0,1,0
15,75,5.005170,Normal,12.86,12.860000,29374.000000,25597.746145,15318864388476554974,null,0,1,0
16,80,5.006421,Normal,1.79769e+308,,,24946.739966,13174234656614120845,null,0,1,0
17,85,5.006626,Normal,16.78,16.780000,29546.000000,24588.770370,10934190324494141854,null,0,1,0
18,90,5.007220,Normal,17.72,17.720000,29620.000000,24370.643137,3242524941886811588,null,0,1,0
19,95,5.005481,Normal,12.86,12.860000,29374.000000,25597.746145,5930117111388534364,null,0,1,0
20,100,5.005250,Normal,12.86,12.860000,29374.000000,25597.746145,15035330770833123862,null,0,1,0
21,5,5.008850,Normal,16.44,16.440000,29260.000000,24449.700000,4742023368992659407,null,1,1,0
22,10,5.009350,Normal,16.44,16.440000,29260.000000,24449.700000,6256578975208963304,null,1,1,0
23,15,5.007410,Normal,15.12,15.120000,29286.000000,24859.200000,4212311836723003975,null,1,1,0
24,20,5.006830,Normal,15.12,15.120000,29286.000000,24859.200000,14659532201374470097,null,1,1,0
25,25,5.007170,Normal,15.12,15.120000,29286.000000,24859.200000,7832980973092839478,null,1,1,0
26,30,5.005920,Normal,16.44,16.440000,29260.000000,24449.700000,11589986422924436707,null,1,1,0
27,35,5.007620,Normal,22.74,22.740000,31014.000000,23960.300000,15008739759133435838,null,1,1,0
28,40,5.020920,Normal,18.65,18.650000,30520.000000,24829.000000,7066433123911404016,null,1,1,0
29,45,5.008570,Normal,18.31,18.310000,30702.000000,25080.800000,3726326741898268060,null,1,1,0
30,50,5.005560,Normal,17.29,17.290000,29356.000000,24280.000000,13846000479945690300,null,1,1,0
31,55,5.009000,Normal,16.75,16.750000,29358.000000,24441.600000,7466830108553696683,null,1,1,0
32,60,5.004080,Normal,14.58,14.580000,29074.000000,24834.300000,16331831745406348566,null,1,1,0
33,65,5.008010,Normal,14.52,14.520000,29054.000000,24834.300000,17136039322288558584,null,1,1,0
34,70,5.022010,Normal,18.65,18.650000,30520.000000,24829.000000,12438567954715191403,null,1,1,0
35,75,5.004630,Normal,14.58,14.580000,29074.000000,24834.300000,14763842322984858974,null,1,1,0
36,80,5.003730,Normal,14.58,14.580000,29074.000000,24834.300000,18192676915368903457,null,1,1,0
37,85,5.008750,Normal,15.77,15.770000,29476.000000,24829.000000,2912912136454910237,null,1,1,0
38,90,5.007560,Normal,17.41,17.410000,29710.000000,24538.700000,2719815998148061108,null,1,1,0
39,95,5.004660,Normal,14.58,14.580000,29074.000000,24834.300000,10106088261651867993,null,1,1,0
40,100,5.004470,Normal,14.58,14.580000,29074.000000,24834.300000,15616218973257262806,null,1,1,0
41,5,5.008770,Normal,22.61,22.610000,31766.000000,24582.400000,13833839775346593887,null,2,1,0
42,10,5.007680,Normal,14.69,14.690000,28745.000000,24522.200000,17419014958330931154,null,2,1,0
43,15,5.008080,Normal,14.69,14.690000,28745.000000,24522.200000,11061388906138207828,null,2,1,0
44,20,5.009000,Normal,18.73,18.730000,30171.000000,24520.200000,11231762849979703210,null,2,1,0
45,25,5.008140,Normal,15.82,15.820000,29378.000000,24729.600000,4021161396097349975,null,2,1,0
46,30,5.008590,Normal,14.69,14.690000,28745.000000,24522.200000,2110190193800242787,null,2,1,0
47,35,5.008590,Normal,17.06,17.060000,29579.000000,24532.900000,2952963931719238993,null,2,1,0
48,40,5.005460,Normal,1.79769e+308,,,24727.700000,892473242910074610,null,2,1,0
49,45,5.008910,Normal,15.04,15.040000,28833.000000,24497.500000,4319810178887772173,null,2,1,0
50,50,5.008410,Normal,16,16.000000,29195.000000,24522.900000,16026061458554457200,null,2,1,0
51,55,5.008960,Normal,14.69,14.690000,28745.000000,24522.200000,8373413376205961007,null,2,1,0
52,60,5.009720,Normal,16.49,16.490000,29493.000000,24630.600000,2938321305877998074,null,2,1,0
53,65,5.008240,Normal,33.05,33.050000,36469.000000,24414.500000,17197593857723287682,null,2,1,0
54,70,5.008960,Normal,14.69,14.690000,28745.000000,24522.200000,11286956968231974035,null,2,1,0
55,75,5.010180,Normal,1.79769e+308,,,23774.300000,9049259930251807613,null,2,1,0
56,80,5.008580,Normal,14.69,14.690000,28745.000000,24522.200000,18234457961739462727,null,2,1,0
57,85,5.009270,Normal,18.4,18.400000,30594.000000,24965.600000,918506758518568928,null,2,1,0
58,90,5.007830,Normal,15.65,15.650000,29071.000000,24522.200000,14360153169732367030,null,2,1,0
59,95,5.009130,Normal,14.84,14.840000,28795.000000,24522.200000,15031292858039138987,null,2,1,0
60,100,5.008480,Normal,14.69,14.690000,28745.000000,24522.200000,13004434884503877983,null,2,1,0
61,5,5.013610,Normal,1.79769e+308,,,23631.500000,7691846394389702564,null,3,1,0
62,10,5.012110,Normal,1.79769e+308,,,23412.600000,2013473791230577213,null,3,1,0
63,15,5.012260,Normal,1.79769e+308,,,23631.500000,11266682804268049439,null,3,1,0
64,20,5.005650,Normal,20.72,20.720000,30751.000000,24378.700000,2748598918444556601,null,3,1,0
65,25,5.006060,Normal,20.44,20.440000,30641.000000,24378.700000,2654854295276811030,null,3,1,0
66,30,5.007380,Normal,18.84,18.840000,29754.000000,24149.300000,7734231108737896312,null,3,1,0
67,35,5.005880,Normal,16.14,16.140000,28982.000000,24303.400000,12102830315166402229,null,3,1,0
68,40,5.005980,Normal,15.11,15.110000,28932.000000,24561.600000,9525510395246580656,null,3,1,0
69,45,5.008950,Normal,18.84,18.840000,29754.000000,24149.300000,2739667448403045562,null,3,1,0
70,50,5.005450,Normal,14.21,14.210000,29284.000000,25123.400000,3921486529501665129,null,3,1,0
71,55,5.006320,Normal,14.21,14.210000,29284.000000,25123.400000,5406554679180740829,null,3,1,0
72,60,5.006120,Normal,13.73,13.730000,28846.000000,24884.700000,1064177303367213457,null,3,1,0
73,65,5.006000,Normal,21.44,21.440000,30736.000000,24145.900000,13693784984237249128,null,3,1,0
74,70,5.006000,Normal,11.96,11.960000,29296.000000,25793.400000,6347222790832933342,null,3,1,0
