EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.011257,Normal,57.07,57.070000,0.055334,0.023757,14921508010286178949,null,0,1,0
2,10,5.009899,Normal,57.07,57.070000,0.055334,0.023757,10101538263502436884,null,0,1,0
3,15,5.010781,Normal,57.07,57.070000,0.055334,0.023757,10346973009034893901,null,0,1,0
4,20,5.011077,Normal,57.07,57.070000,0.055334,0.023757,635589708496059671,null,0,1,0
5,25,5.008744,Normal,60.68,60.680000,0.055334,0.021759,5948685825087948624,null,0,1,0
6,30,5.009177,Normal,57.07,57.070000,0.055334,0.023757,6762843893550650360,null,0,1,0
7,35,5.010100,Normal,57.07,57.070000,0.055334,0.023757,13290681019215308220,null,0,1,0
8,40,5.009115,Normal,51.37,51.370000,0.055334,0.026906,844706301316953147,null,0,1,0
9,45,5.008627,Normal,51.37,51.370000,0.055334,0.026906,7816284278214281566,null,0,1,0
10,50,5.010711,Normal,51.79,51.790000,0.055334,0.026674,8088409074837519470,null,0,1,0
11,55,5.009863,Normal,51.37,51.370000,0.055334,0.026906,10475899001479897097,null,0,1,0
12,60,5.010505,Normal,100,100.000000,38.110578,0.000013,300411628152950630,null,0,1,0
13,65,5.030624,Normal,100,100.000000,6.079095,0.000013,9083158521763270140,null,0,1,0
14,71,5.009464,Normal,57.3,57.300000,0.055334,0.023626,17336362436364057645,null,0,1,0
15,76,5.008847,Normal,52.77,52.770000,0.055334,0.026133,5541539097495145389,null,0,1,0
16,81,5.007884,Normal,51.92,51.920000,0.055334,0.026602,18428952309918769053,null,0,1,0
17,86,5.022012,Normal,58.05,58.050000,0.055334,0.023213,6052723598238457172,null,0,1,0
18,91,5.020622,Normal,52.77,52.770000,0.055334,0.026133,11415306107196363309,null,0,1,0
19,96,5.007661,Normal,58.43,58.430000,0.055334,0.023003,11525842961022546707,null,0,1,0
20,101,5.009439,Normal,54.17,54.170000,0.055334,0.025359,9001690191229605544,null,0,1,0
21,5,5.016560,Normal,82.17,82.170000,0.071139,0.012683,9686720361045965965,null,1,1,0
22,10,5.014070,Normal,82.17,82.170000,0.071139,0.012683,14977320980139403669,null,1,1,0
23,15,5.013290,Normal,82.17,82.170000,0.071139,0.012683,1871591627137445803,null,1,1,0
