EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.183085,Normal,126966,126966.270000,-33.200000,-42186.000000,14921508010286178949,null,0,1,0
2,10,5.025887,Normal,126966,126966.270000,-33.200000,-42186.000000,5643427149002281568,null,0,1,0
3,16,5.018273,Normal,126966,126966.270000,-33.200000,-42186.000000,2823934824078185206,null,0,1,0
4,21,5.017160,Normal,126966,126966.270000,-33.200000,-42186.000000,12911295086759950527,null,0,1,0
5,26,5.008680,Normal,126966,126966.270000,-33.200000,-42186.000000,15495703117619861868,null,0,1,0
6,31,5.020844,Normal,126966,126966.270000,-33.200000,-42186.000000,13964071529318666704,null,0,1,0
7,37,5.024350,Normal,126966,126966.270000,-33.200000,-42186.000000,635589708496059671,null,0,1,0
8,42,5.014124,Normal,126966,126966.270000,-33.200000,-42186.000000,16450644818478286277,null,0,1,0
9,47,5.027983,Normal,126966,126966.270000,-33.200000,-42186.000000,2077675631147850639,null,0,1,0
10,53,5.007782,Normal,126966,126966.270000,-33.200000,-42186.000000,2225858521084382651,null,0,1,0
11,58,5.013412,Normal,126966,126966.270000,-33.200000,-42186.000000,3895283216737288575,null,0,1,0
12,63,5.023463,Normal,18.01,18.010000,-34.700000,-40.950000,16957666276679199244,null,0,1,0
13,68,5.020973,Normal,18.01,18.010000,-34.700000,-40.950000,2703195584121430106,null,0,1,0
14,74,5.030111,Normal,18.01,18.010000,-34.700000,-40.950000,13539448550712089660,null,0,1,0
15,79,5.022037,Normal,18.01,18.010000,-34.700000,-40.950000,9328298672788675529,null,0,1,0
16,84,5.016796,Normal,18.01,18.010000,-34.700000,-40.950000,13425842319572370773,null,0,1,0
17,101,5.027102,Normal,81360.5,81360.540000,-33.200000,-27044.900000,6962149414314999923,null,0,1,0
18,106,5.034755,Normal,81360.5,81360.540000,-33.200000,-27044.900000,14435525882683381056,null,0,1,0
19,111,5.025159,Normal,81360.5,81360.540000,-33.200000,-27044.900000,8377981177332969130,null,0,1,0
20,117,5.008186,Normal,126966,126966.270000,-33.200000,-42186.000000,10709422651670981369,null,0,1,0
21,5,5.212330,Normal,126966,126966.000000,-33.200000,-42186.000000,17514050945686148453,null,1,1,0
22,10,5.017790,Normal,126966,126966.000000,-33.200000,-42186.000000,14945327202240187335,null,1,1,0
23,16,5.010830,Normal,126966,126966.000000,-33.200000,-42186.000000,5618135918108975868,null,1,1,0
24,21,5.016390,Normal,126966,126966.000000,-33.200000,-42186.000000,14451080528597731927,null,1,1,0
25,26,5.017250,Normal,126966,126966.000000,-33.200000,-42186.000000,14848801465634500120,null,1,1,0
26,31,5.008610,Normal,126966,126966.000000,-33.200000,-42186.000000,5751493537778056445,null,1,1,0
27,37,5.011260,Normal,126966,126966.000000,-33.200000,-42186.000000,3285289725500150287,null,1,1,0
28,42,5.025080,Normal,126966,126966.000000,-33.200000,-42186.000000,2978541634261456060,null,1,1,0
29,47,5.007840,Normal,126966,126966.000000,-33.200000,-42186.000000,3333717581537672010,null,1,1,0
30,53,5.007950,Normal,126966,126966.000000,-33.200000,-42186.000000,8725071177841226662,null,1,1,0
31,84,31.497600,WatchdogAbortRequested,126966,126966.000000,-33.200000,-42186.000000,14748301322663243038,null,1,1,0
32,90,5.060150,Normal,23.34,23.340000,-33.200000,-40.950000,3951780388709143150,null,1,1,0
33,95,5.052600,Normal,23.34,23.340000,-33.200000,-40.950000,13358767806886336984,null,1,1,0
34,100,5.084000,Normal,81360.5,81360.500000,-33.200000,-27044.900000,2507356171558555583,null,1,1,0
35,106,5.037090,Normal,81360.5,81360.500000,-33.200000,-27044.900000,3448301790977818805,null,1,1,0
36,111,5.113300,Normal,81360.5,81360.500000,-33.200000,-27044.900000,6717838031736334030,null,1,1,0
37,116,5.150640,Normal,81360.5,81360.500000,-33.200000,-27044.900000,11910258049108487762,null,1,1,0
38,122,5.008980,Normal,81360.5,81360.500000,-33.200000,-27044.900000,18371850501316574144,null,1,1,0
39,127,5.055080,Normal,81360.5,81360.500000,-33.200000,-27044.900000,8764217621889107146,null,1,1,0
40,169,41.663200,WatchdogAbortRequested,81360.5,81360.500000,-33.200000,-27044.900000,2105799461666854115,null,1,1,0
41,175,5.950668,Normal,121371,121370.780000,-33.200000,-40328.300000,9737618245863125003,null,0,1,1
42,180,5.027282,Normal,83716,83715.960000,-33.200000,-27826.900000,9983820288976421391,null,0,1,1
43,186,5.025380,Normal,83716,83715.960000,-33.200000,-27826.900000,10363370314756386445,null,0,1,1
44,208,22.240935,WatchdogAbortRequested,83716,83715.960000,-33.200000,-27826.900000,9527437579712775590,null,0,1,1
45,213,5.008281,Normal,126966,126966.270000,-33.200000,-42186.000000,7273542058181643066,null,0,1,1
46,219,5.013675,Normal,126966,126966.270000,-33.200000,-42186.000000,15418176047967766964,null,0,1,1
47,224,5.008626,Normal,126966,126966.270000,-33.200000,-42186.000000,16530701370656331071,null,0,1,1
48,229,5.013317,Normal,126966,126966.270000,-33.200000,-42186.000000,1401916807461564406,null,0,1,1
49,234,5.012338,Normal,126966,126966.270000,-33.200000,-42186.000000,17764143443116987715,null,0,1,1
50,240,5.016926,Normal,126966,126966.270000,-33.200000,-42186.000000,9781184767616232319,null,0,1,1
51,245,5.011006,Normal,126966,126966.270000,-33.200000,-42186.000000,4812684819568906326,null,0,1,1
52,250,5.015307,Normal,126966,126966.270000,-33.200000,-42186.000000,15504937401847636464,null,0,1,1
53,256,5.007888,Normal,126966,126966.270000,-33.200000,-42186.000000,10140944008688587507,null,0,1,1
54,261,5.011311,Normal,126966,126966.270000,-33.200000,-42186.000000,4742527215136735322,null,0,1,1
55,266,5.008111,Normal,126966,126966.270000,-33.200000,-42186.000000,471968054494632486,null,0,1,1
56,271,5.021441,Normal,126966,126966.270000,-33.200000,-42186.000000,1018400287882025891,null,0,1,1
57,277,5.024233,Normal,126966,126966.270000,-33.200000,-42186.000000,18226317941090007565,null,0,1,1
58,282,5.007841,Normal,126966,126966.270000,-33.200000,-42186.000000,6265729667444986231,null,0,1,1
59,287,5.007970,Normal,126966,126966.270000,-33.200000,-42186.000000,13891401785758415796,null,0,1,1
60,293,6.065621,WatchdogAbortRequested,121371,121370.780000,-33.200000,-40328.300000,4805646437031335870,null,0,1,1
61,300,5.949162,Normal,96153.9,96153.920000,-33.200000,-31956.300000,9947332979062849329,null,0,1,1
62,305,5.076846,Normal,80546.7,80546.690000,-34.700000,-27984.400000,16388111136858470013,null,0,1,1
63,310,5.055880,Normal,83716,83715.960000,-33.200000,-27826.900000,6836083255942251158,null,0,1,1
64,316,5.020479,Normal,83716,83715.960000,-33.200000,-27826.900000,12456413819519616523,null,0,1,1
65,321,5.025770,Normal,83716,83715.960000,-33.200000,-27826.900000,4570912956393036108,null,0,1,1
66,326,5.056409,Normal,83716,83715.960000,-33.200000,-27826.900000,12725658518616500172,null,0,1,1
67,332,5.072000,Normal,83716,83715.960000,-33.200000,-27826.900000,9957603447408091687,null,0,1,1
68,174,5.076711,Normal,83716,83715.960000,-33.200000,-27826.900000,3147816627678247940,null,1,1,1
69,180,5.093150,Normal,83716,83715.960000,-33.200000,-27826.900000,2843034638640044085,null,1,1,1
70,186,5.068708,Normal,83716,83715.960000,-33.200000,-27826.900000,7095257946068223856,null,1,1,1
71,191,5.035197,Normal,83716,83715.960000,-33.200000,-27826.900000,12389127345131700044,null,1,1,1
72,213,5.007736,Normal,126966,126966.270000,-33.200000,-42186.000000,16945445944001928730,null,1,1,1
73,219,5.007764,Normal,126966,126966.270000,-33.200000,-42186.000000,15198406928889121944,null,1,1,1
