EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.003286,Normal,31.97,31.970000,450.000000,306.132921,14921508010286178949,null,0,1,0
2,10,5.008684,Normal,30.73,30.730000,440.000000,304.787937,5643427149002281568,null,0,1,0
3,15,5.008240,Normal,30.74,30.740000,440.000000,304.736223,271321391208788895,null,0,1,0
4,20,5.022366,Normal,30.81,30.810000,440.000000,304.420567,6709727013648302845,null,0,1,0
5,25,5.005087,Normal,30.9,30.900000,440.000000,304.058997,12477530550632405707,null,0,1,0
6,30,5.005056,Normal,32.95,32.950000,453.000000,303.735753,1306624368982852578,null,0,1,0
7,35,5.003166,Normal,29.22,29.220000,432.000000,305.770657,16449025980178702649,null,0,1,0
8,40,5.002837,Normal,33.38,33.380000,457.000000,304.459198,12911295086759950527,null,0,1,0
9,45,5.009954,Normal,28.22,28.220000,426.000000,305.770657,16832464135030190944,null,0,1,0
10,50,5.006212,Normal,25.28,25.280000,408.000000,304.870916,10923156754805954171,null,0,1,0
11,55,5.004274,Normal,25.17,25.170000,408.000000,305.311142,225225992589744676,null,0,1,0
12,60,5.003091,Normal,25.82,25.820000,411.000000,304.873894,12177974374938362909,null,0,1,0
13,65,5.008339,Normal,29.93,29.930000,436.000000,305.496335,3647938714190175995,null,0,1,0
14,70,5.003688,Normal,25.49,25.490000,412.000000,306.979926,8858816964007690931,null,0,1,0
15,75,5.004208,Normal,25.89,25.890000,411.000000,304.577528,5026486471953731323,null,0,1,0
16,80,5.005196,Normal,25.7,25.700000,411.000000,305.375797,17141709582118843724,null,0,1,0
17,85,5.007810,Normal,25.67,25.670000,411.000000,305.495174,16075568005294871437,null,0,1,0
18,90,5.006182,Normal,25.28,25.280000,408.000000,304.870916,6126637277378111190,null,0,1,0
19,95,5.003297,Normal,25.75,25.750000,411.000000,305.170912,6360404141954357704,null,0,1,0
20,100,5.013796,Normal,30.82,30.820000,443.000000,306.482954,6395861715561416588,null,0,1,0
21,5,5.003250,Normal,1.79769e+308,,,295.921000,17514050945686148453,null,1,1,0
22,10,5.005330,Normal,1.79769e+308,,,295.921000,14945327202240187335,null,1,1,0
23,15,5.029510,Normal,38.2,38.200000,478.000000,295.412000,5618135918108975868,null,1,1,0
24,20,5.003940,Normal,15.12,15.120000,367.000000,311.503000,18187865233440282756,null,1,1,0
25,25,5.006750,Normal,26.09,26.090000,410.000000,303.041000,6352249871399618991,null,1,1,0
26,30,5.007960,Normal,33.9,33.900000,459.000000,303.386000,5887789484999041970,null,1,1,0
27,35,5.003200,Normal,26.36,26.360000,414.000000,304.874000,2352161512120613707,null,1,1,0
28,40,5.008900,Normal,32.7,32.700000,451.000000,303.518000,1911609352720659774,null,1,1,0
29,45,5.004710,Normal,15.26,15.260000,367.000000,310.993000,11079110717234960284,null,1,1,0
30,50,5.004120,Normal,17.78,17.780000,379.000000,311.629000,9717182111409497984,null,1,1,0
31,55,5.025160,Normal,17.78,17.780000,379.000000,311.629000,213189888493006919,null,1,1,0
32,60,5.014770,Normal,26,26.000000,411.000000,304.124000,2008866043198203729,null,1,1,0
33,65,5.016350,Normal,15.12,15.120000,367.000000,311.503000,1909665970034136010,null,1,1,0
34,70,5.013560,Normal,17.78,17.780000,379.000000,311.629000,11212756154728337090,null,1,1,0
35,75,5.050180,Normal,22.31,22.310000,383.000000,297.548000,13367209153052939679,null,1,1,0
36,80,5.004230,Normal,15.26,15.260000,367.000000,310.993000,6120471616851675178,null,1,1,0
37,85,5.002950,Normal,25.48,25.480000,412.000000,307.004000,15157659602213745442,null,1,1,0
38,90,5.003570,Normal,23.55,23.550000,404.000000,308.842000,15414758884709059809,null,1,1,0
39,95,5.005660,Normal,17.37,17.370000,375.000000,309.858000,18159211228023991627,null,1,1,0
40,100,5.003080,Normal,17.78,17.780000,379.000000,311.629000,8614373469259619137,null,1,1,0
41,105,5.013527,Normal,27.11,27.110000,419.000000,305.426529,8228105070676288356,null,0,1,1
42,110,5.003681,Normal,27.16,27.160000,419.000000,305.202424,16559045772761797765,null,0,1,1
43,115,5.007357,Normal,27.15,27.150000,419.000000,305.260419,11300946343371705051,null,0,1,1
44,120,5.004474,Normal,27.3,27.300000,419.000000,304.592636,7013756273376646824,null,0,1,1
45,125,5.004894,Normal,14.28,14.280000,364.000000,312.009755,9291039854409617157,null,0,1,1
46,105,5.005210,Normal,27.2,27.200000,419.000000,305.037144,3878475042617807336,null,1,1,1
47,110,5.007011,Normal,27.16,27.160000,419.000000,305.202550,4157941681162962343,null,1,1,1
48,115,5.003348,Normal,27.16,27.160000,419.000000,305.202550,3148876289288815322,null,1,1,1
49,120,5.004416,Normal,27.16,27.160000,419.000000,305.202424,10167645909647626943,null,1,1,1
50,125,5.003558,Normal,31.01,31.010000,441.000000,304.266894,993347898146872705,null,1,1,1
51,130,5.003583,Normal,26.96,26.960000,416.000000,303.857861,4144470518877248067,null,0,2,0
52,135,5.006594,Normal,14.39,14.390000,364.000000,311.609861,17279260851085461193,null,0,2,0
53,140,5.006676,Normal,22.87,22.870000,396.000000,305.425534,4914175962347247587,null,0,2,0
54,145,5.010833,Normal,26.56,26.560000,415.000000,304.779015,14413122145738881738,null,0,2,0
55,150,5.023677,Normal,18.21,18.210000,381.000000,311.628871,10565013042709620385,null,0,2,0
56,155,5.003371,Normal,32.84,32.840000,456.000000,306.233422,5461320244952360050,null,0,2,0
57,130,5.022570,Normal,25,25.000000,400.000000,300.001000,15900706100560335298,null,1,2,0
58,135,5.003140,Normal,1.79769e+308,,,299.110000,578871884878067899,null,1,2,0
59,140,5.002970,Normal,25,25.000000,400.000000,300.001000,5226127374492355536,null,1,2,0
60,145,5.003500,Normal,18.14,18.140000,382.000000,312.714000,18340190864484090025,null,1,2,0
61,150,5.004410,Normal,29.3,29.300000,426.000000,301.164000,7919711951335018248,null,1,2,0
62,155,5.005300,Normal,28.96,28.960000,446.000000,316.855000,12489792956160639656,null,1,2,0
63,160,5.003217,Normal,1.79769e+308,,,305.170519,3213027063185982129,null,0,2,1
64,165,5.011697,Normal,1.79769e+308,,,306.010026,5653003331524500376,null,0,2,1
65,170,5.003286,Normal,27.21,27.210000,427.000000,310.804074,6637244530135873388,null,0,2,1
66,175,5.002923,Normal,36.01,36.010000,480.000000,307.153767,4321419114265868982,null,0,2,1
67,160,5.005487,Normal,14.87,14.870000,365.000000,310.739596,14242128362660094893,null,1,2,1
68,165,5.004193,Normal,17.8,17.800000,375.000000,308.267942,6576556518472304000,null,1,2,1
69,170,5.003964,Normal,39.59,39.590000,476.000000,287.566667,4505993059050378999,null,1,2,1
70,175,5.003494,Normal,13.9,13.900000,360.000000,309.953031,17967527398787788006,null,1,2,1
71,180,5.002868,Normal,32.11,32.110000,440.000000,298.719908,3736601991998490081,null,0,3,0
72,185,5.005294,Normal,14.35,14.350000,360.000000,308.323994,16665814852260692114,null,0,3,0
