EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.379249,Normal,66.81,66.810000,2420.506503,803.373888,14921508010286178949,null,0,1,0
2,11,5.401408,Normal,66.81,66.810000,2420.506503,803.373888,5643427149002281568,null,0,1,0
3,16,5.043904,Normal,66.81,66.810000,2420.506503,803.373888,2823934824078185206,null,0,1,0
4,21,5.043335,Normal,66.81,66.810000,2420.506503,803.373888,12911295086759950527,null,0,1,0
5,27,5.346854,Normal,66.81,66.810000,2420.506503,803.373888,15495703117619861868,null,0,1,0
6,32,5.045304,Normal,66.81,66.810000,2420.506503,803.373888,13964071529318666704,null,0,1,0
7,37,5.043689,Normal,66.81,66.810000,2420.506503,803.373888,635589708496059671,null,0,1,0
8,43,5.411634,Normal,66.81,66.810000,2420.506503,803.373888,16450644818478286277,null,0,1,0
9,48,5.072571,Normal,66.81,66.810000,2420.506503,803.373888,2077675631147850639,null,0,1,0
10,53,5.370580,Normal,66.81,66.810000,2420.506503,803.373888,2225858521084382651,null,0,1,0
11,59,5.415423,Normal,66.81,66.810000,2420.506503,803.373888,3895283216737288575,null,0,1,0
12,65,5.803217,Normal,66.62,66.620000,2406.646621,803.373888,16957666276679199244,null,0,1,0
13,70,5.338328,Normal,66.62,66.620000,2406.646621,803.373888,2703195584121430106,null,0,1,0
14,76,5.041957,Normal,66.62,66.620000,2406.646621,803.373888,13539448550712089660,null,0,1,0
15,81,5.143919,Normal,66.62,66.620000,2406.646621,803.373888,9328298672788675529,null,0,1,0
16,86,5.365593,Normal,66.62,66.620000,2406.646621,803.373888,13425842319572370773,null,0,1,0
17,92,5.045930,Normal,66.62,66.620000,2406.646621,803.373888,6962149414314999923,null,0,1,0
18,97,5.316007,Normal,66.62,66.620000,2406.646621,803.373888,14435525882683381056,null,0,1,0
19,103,5.383919,Normal,66.62,66.620000,2406.646621,803.373888,8377981177332969130,null,0,1,0
20,108,5.045222,Normal,66.62,66.620000,2406.646621,803.373888,10709422651670981369,null,0,1,0
21,9,9.082120,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,17514050945686148453,null,1,1,0
22,17,8.091830,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,14945327202240187335,null,1,1,0
23,25,8.061600,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,5618135918108975868,null,1,1,0
24,34,8.146910,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,14451080528597731927,null,1,1,0
25,42,8.243380,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,14848801465634500120,null,1,1,0
26,51,8.346040,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,5751493537778056445,null,1,1,0
27,59,8.064920,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,3285289725500150287,null,1,1,0
28,68,9.183040,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,2978541634261456060,null,1,1,0
29,77,8.199020,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,3333717581537672010,null,1,1,0
30,85,8.557520,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,8725071177841226662,null,1,1,0
31,99,14.012500,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,14748301322663243038,null,1,1,0
32,108,8.231540,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,3951780388709143150,null,1,1,0
33,116,8.072990,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,12634236830647523392,null,1,1,0
34,124,8.100080,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,15823925639589622959,null,1,1,0
35,132,7.995740,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,9159601316026271736,null,1,1,0
36,140,7.871480,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,7632777321881233189,null,1,1,0
37,148,7.834950,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,4552727314284299719,null,1,1,0
38,156,7.835270,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,577999152070366662,null,1,1,0
39,164,7.843620,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,10348151185329211802,null,1,1,0
40,172,7.870530,WatchdogAbortRequested,66.81,66.810000,2420.510000,803.374000,1324915913078627237,null,1,1,0
41,178,5.048222,Normal,58.98,58.980000,1958.304296,803.373888,9737618245863125003,null,0,1,1
42,178,5.036719,Normal,100,100.000000,2420.506503,0.000000,3147816627678247940,null,1,1,1
43,183,5.043721,Normal,58.98,58.980000,1958.304296,803.373888,8540004607318485689,null,0,2,0
44,188,5.047765,Normal,58.98,58.980000,1958.304296,803.373888,9029655809396651145,null,0,2,0
45,193,5.044613,Normal,58.98,58.980000,1958.304296,803.373888,15172865629877078327,null,0,2,0
46,199,5.045412,Normal,58.98,58.980000,1958.304296,803.373888,8806038048573958976,null,0,2,0
47,204,5.030012,Normal,100,100.000000,2420.506503,0.000000,9527437579712775590,null,0,2,0
48,209,5.044824,Normal,58.98,58.980000,1958.304296,803.373888,18119666191998831871,null,0,2,0
49,183,5.030850,Normal,100,100.000000,2420.510000,0.000000,10779356066083467832,null,1,2,0
50,188,5.028490,Normal,100,100.000000,2420.510000,0.000000,9288603721795891252,null,1,2,0
51,193,5.037000,Normal,100,100.000000,2420.510000,0.000000,9546561887223324504,null,1,2,0
52,199,5.029850,Normal,100,100.000000,2420.510000,0.000000,2881193885282360221,null,1,2,0
53,204,5.088590,Normal,100,100.000000,2420.510000,0.000000,13426799736554859220,null,1,2,0
54,209,5.033630,Normal,100,100.000000,2420.510000,0.000000,2275481976572612319,null,1,2,0
55,214,5.044928,Normal,58.98,58.980000,1958.304296,803.373888,362444322776317635,null,0,2,1
56,219,5.044821,Normal,58.98,58.980000,1958.304296,803.373888,3580408498437219305,null,0,2,1
57,225,5.044334,Normal,58.98,58.980000,1958.304296,803.373888,9022893695999418451,null,0,2,1
58,230,5.043799,Normal,58.98,58.980000,1958.304296,803.373888,8916658849756157110,null,0,2,1
59,235,5.052904,Normal,58.98,58.980000,1958.304296,803.373888,6168706701938631356,null,0,2,1
60,240,5.042965,Normal,58.98,58.980000,1958.304296,803.373888,14207319421086711538,null,0,2,1
61,245,5.041572,Normal,58.98,58.980000,1958.304296,803.373888,1768016903646627223,null,0,2,1
62,251,5.044279,Normal,58.98,58.980000,1958.304296,803.373888,13724573972966636075,null,0,2,1
63,256,5.045005,Normal,58.98,58.980000,1958.304296,803.373888,16680386550537895026,null,0,2,1
64,261,5.047579,Normal,58.98,58.980000,1958.304296,803.373888,11964012416039452971,null,0,2,1
65,266,5.043495,Normal,58.98,58.980000,1958.304296,803.373888,13289387294809065583,null,0,2,1
66,272,5.045461,Normal,58.98,58.980000,1958.304296,803.373888,2650302971589648839,null,0,2,1
67,277,5.143809,Normal,58.98,58.980000,1958.304296,803.373888,266052936187188415,null,0,2,1
68,282,5.044830,Normal,58.98,58.980000,1958.304296,803.373888,13545044107706029612,null,0,2,1
69,287,5.047496,Normal,58.98,58.980000,1958.304296,803.373888,4454552601948338953,null,0,2,1
70,292,5.044043,Normal,58.98,58.980000,1958.304296,803.373888,18212015908896370039,null,0,2,1
71,298,5.042033,Normal,58.98,58.980000,1958.304296,803.373888,893102941063127492,null,0,2,1
72,303,5.042643,Normal,58.98,58.980000,1958.304296,803.373888,437531092010278220,null,0,2,1
73,308,5.049902,Normal,58.98,58.980000,1958.304296,803.373888,9031517161733637283,null,0,2,1
74,313,5.044073,Normal,58.98,58.980000,1958.304296,803.373888,17150540056235603123,null,0,2,1
75,318,5.044807,Normal,58.98,58.980000,1958.304296,803.373888,5770137284952700379,null,0,2,1
76,324,5.133112,Normal,58.98,58.980000,1958.304296,803.373888,3220883211754347066,null,0,2,1
77,214,5.046550,Normal,58.98,58.980000,1958.304296,803.373888,16444520795252225850,null,1,2,1
78,219,5.053083,Normal,58.98,58.980000,1958.304296,803.373888,14714042743718346457,null,1,2,1
79,225,5.062184,Normal,58.98,58.980000,1958.304296,803.373888,10899458930434470506,null,1,2,1
80,230,5.046440,Normal,58.98,58.980000,1958.304296,803.373888,4128135550895017259,null,1,2,1
81,235,5.063565,Normal,58.98,58.980000,1958.304296,803.373888,5803895996088642981,null,1,2,1
82,240,5.046393,Normal,58.98,58.980000,1958.304296,803.373888,13466079406009614930,null,1,2,1
83,245,5.045838,Normal,58.98,58.980000,1958.304296,803.373888,16567250532988692715,null,1,2,1
84,251,5.045179,Normal,58.98,58.980000,1958.304296,803.373888,1900004705170082014,null,1,2,1
85,256,5.048695,Normal,58.98,58.980000,1958.304296,803.373888,13631841122899866490,null,1,2,1
86,261,5.056548,Normal,58.98,58.980000,1958.304296,803.373888,11458321592963139537,null,1,2,1
87,266,5.045837,Normal,58.98,58.980000,1958.304296,803.373888,14596102505285578893,null,1,2,1
88,272,5.045649,Normal,58.98,58.980000,1958.304296,803.373888,364218941862672730,null,1,2,1
89,277,5.051627,Normal,58.98,58.980000,1958.304296,803.373888,15395755972883334885,null,1,2,1
90,282,5.046972,Normal,58.98,58.980000,1958.304296,803.373888,11071213187965031036,null,1,2,1
91,287,5.046623,Normal,58.98,58.980000,1958.304296,803.373888,1192710491621733112,null,1,2,1
92,292,5.056881,Normal,58.98,58.980000,1958.304296,803.373888,13962599876923580438,null,1,2,1
93,298,5.056043,Normal,58.98,58.980000,1958.304296,803.373888,8356407680291500709,null,1,2,1
94,303,5.045840,Normal,58.98,58.980000,1958.304296,803.373888,130028002400043866,null,1,2,1
95,308,5.050397,Normal,58.98,58.980000,1958.304296,803.373888,18354528478312966418,null,1,2,1
96,313,5.046884,Normal,58.98,58.980000,1958.304296,803.373888,13294019571047358406,null,1,2,1
97,318,5.047762,Normal,58.98,58.980000,1958.304296,803.373888,13156652548020635387,null,1,2,1
98,329,5.049338,Normal,58.98,58.980000,1958.304296,803.373888,4241535864000047471,null,0,3,0
99,334,5.121346,Normal,58.98,58.980000,1958.304296,803.373888,17150540056235603123,null,0,3,0
100,339,5.042372,Normal,58.98,58.980000,1958.304296,803.373888,4454552601948338953,null,0,3,0
101,345,5.042432,Normal,58.98,58.980000,1958.304296,803.373888,10833289074480522657,null,0,3,0
102,350,5.139611,Normal,58.98,58.980000,1958.304296,803.373888,6918720321485707504,null,0,3,0
103,355,5.039981,Normal,58.98,58.980000,1958.304296,803.373888,18119666191998831871,null,0,3,0
104,360,5.041485,Normal,58.98,58.980000,1958.304296,803.373888,11071213187965031036,null,0,3,0
105,366,5.040382,Normal,58.98,58.980000,1958.304296,803.373888,437531092010278220,null,0,3,0
106,371,5.040976,Normal,58.98,58.980000,1958.304296,803.373888,14748096058739521500,null,0,3,0
107,376,5.049640,Normal,58.98,58.980000,1958.304296,803.373888,893102941063127492,null,0,3,0
108,381,5.038415,Normal,58.98,58.980000,1958.304296,803.373888,7021766145823057841,null,0,3,0
109,386,5.040838,Normal,58.98,58.980000,1958.304296,803.373888,362444322776317635,null,0,3,0
110,392,5.039967,Normal,58.98,58.980000,1958.304296,803.373888,2488042186201200644,null,0,3,0
111,397,5.041270,Normal,58.98,58.980000,1958.304296,803.373888,15016089314924146064,null,0,3,0
112,402,5.040404,Normal,58.98,58.980000,1958.304296,803.373888,5868222753019070274,null,0,3,0
113,407,5.038053,Normal,58.98,58.980000,1958.304296,803.373888,14412939983997469680,null,0,3,0
114,412,5.038493,Normal,58.98,58.980000,1958.304296,803.373888,4035148945271922222,null,0,3,0
115,418,5.043359,Normal,58.98,58.980000,1958.304296,803.373888,13724573972966636075,null,0,3,0
116,423,5.036903,Normal,58.98,58.980000,1958.304296,803.373888,13449941359025176518,null,0,3,0
117,432,9.433833,WatchdogAbortRequested,66.62,66.620000,2406.646621,803.373888,10363370314756386445,null,0,3,0
118,438,5.230856,Normal,58.98,58.980000,1958.304296,803.373888,17290916099432765372,null,0,3,0
119,443,5.239693,Normal,58.98,58.980000,1958.304296,803.373888,13294019571047358406,null,0,3,0
120,448,5.248408,Normal,58.98,58.980000,1958.304296,803.373888,1328392239527274356,null,0,3,0
