EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.005110,Normal,20.69,20.690000,203.000000,161.000000,14921508010286178949,null,0,1,0
2,10,5.005465,Normal,21.55,21.550000,203.000000,159.246479,10101538263502436884,null,0,1,0
3,15,5.017781,Normal,20.69,20.690000,203.000000,161.000000,10346973009034893901,null,0,1,0
4,20,5.007390,Normal,20.69,20.690000,203.000000,161.000000,635589708496059671,null,0,1,0
5,25,5.006174,Normal,20.69,20.690000,203.000000,161.000000,5948685825087948624,null,0,1,0
6,30,5.006664,Normal,20.69,20.690000,203.000000,161.000000,6762843893550650360,null,0,1,0
7,35,5.012703,Normal,20.69,20.690000,203.000000,161.000000,13290681019215308220,null,0,1,0
8,40,5.006542,Normal,22.78,22.780000,204.000000,157.532110,844706301316953147,null,0,1,0
9,45,5.008241,Normal,20.69,20.690000,203.000000,161.000000,2225858521084382651,null,0,1,0
10,50,5.017303,Normal,20.69,20.690000,203.000000,161.000000,281880667954374288,null,0,1,0
11,55,5.007524,Normal,20.69,20.690000,203.000000,161.000000,16450644818478286277,null,0,1,0
12,60,5.007543,Normal,20.69,20.690000,203.000000,161.000000,13964071529318666704,null,0,1,0
13,65,5.011737,Normal,23.38,23.380000,201.000000,154.000000,16957666276679199244,null,0,1,0
14,70,5.008211,Normal,20.69,20.690000,203.000000,161.000000,5643427149002281568,null,0,1,0
15,75,5.009089,Normal,20.69,20.690000,203.000000,161.000000,13575339350133640537,null,0,1,0
16,80,5.007472,Normal,1.79769e+308,,,166.211944,12351453347240979420,null,0,1,0
17,85,5.006781,Normal,21.09,21.090000,203.000000,160.189542,18392939659909934726,null,0,1,0
18,90,5.007523,Normal,20.69,20.690000,203.000000,161.000000,5988662020493846908,null,0,1,0
19,95,5.012737,Normal,29.56,29.560000,227.000000,159.909091,8683817217222751575,null,0,1,0
20,100,5.019208,Normal,20.69,20.690000,203.000000,161.000000,5834950261831871145,null,0,1,0
21,5,5.004990,Normal,17.76,17.760000,196.000000,161.190000,9686720361045965965,null,1,1,0
22,10,5.004700,Normal,17.74,17.740000,196.000000,161.231000,14977320980139403669,null,1,1,0
23,15,5.004910,Normal,17.74,17.740000,196.000000,161.231000,6900896254888489057,null,1,1,0
24,20,5.019630,Normal,17.41,17.410000,203.000000,167.667000,310494264194603193,null,1,1,0
25,25,5.025580,Normal,17.41,17.410000,203.000000,167.667000,2125836475504906485,null,1,1,0
26,30,5.009080,Normal,17.98,17.980000,203.000000,166.500000,964893865006021887,null,1,1,0
27,35,5.006800,Normal,21.74,21.740000,207.000000,162.000000,13235688858974276600,null,1,1,0
28,40,5.012490,Normal,13.64,13.640000,187.000000,161.500000,6082614815342637118,null,1,1,0
29,45,5.012640,Normal,15.8,15.800000,193.000000,162.500000,3674795258040911695,null,1,1,0
30,50,5.004810,Normal,17.59,17.590000,199.000000,164.000000,16862882046688165633,null,1,1,0
31,55,5.009110,Normal,13.67,13.670000,186.000000,160.565000,12487485451894038281,null,1,1,0
32,60,5.009680,Normal,12.1,12.100000,186.000000,163.500000,7526451244397573097,null,1,1,0
33,65,5.010420,Normal,12.1,12.100000,186.000000,163.500000,10262790849039795694,null,1,1,0
34,70,5.010550,Normal,15.63,15.630000,191.000000,161.156000,1798191797705699452,null,1,1,0
35,75,5.010070,Normal,14.38,14.380000,189.000000,161.820000,4312519990963461274,null,1,1,0
36,80,5.008830,Normal,14.79,14.790000,188.000000,160.201000,14636051367706554978,null,1,1,0
37,85,5.007340,Normal,12.1,12.100000,186.000000,163.500000,10040317739646451597,null,1,1,0
38,90,5.010150,Normal,12.1,12.100000,186.000000,163.500000,235543707372456243,null,1,1,0
39,95,5.010590,Normal,21.5,21.500000,200.000000,157.000000,15589517269303270386,null,1,1,0
40,100,5.010910,Normal,11.96,11.960000,186.000000,163.750000,18123877653052273642,null,1,1,0
41,5,5.015740,Normal,22.44,22.440000,205.000000,159.000000,17808874148426417796,null,2,1,0
42,10,5.013510,Normal,21.18,21.180000,203.000000,160.000000,11633543647495200375,null,2,1,0
43,15,5.013400,Normal,21.18,21.180000,203.000000,160.000000,1620289614995745304,null,2,1,0
44,20,5.012710,Normal,19.6,19.600000,200.000000,160.800000,7512659995048598680,null,2,1,0
45,25,5.013980,Normal,19.37,19.370000,202.000000,162.875000,13113998047631930243,null,2,1,0
46,30,5.013820,Normal,21.29,21.290000,202.000000,159.000000,2389381045527653740,null,2,1,0
47,35,5.014250,Normal,17.71,17.710000,199.000000,163.750000,6128404325453838238,null,2,1,0
48,40,5.014350,Normal,17.71,17.710000,199.000000,163.750000,15153653968834184989,null,2,1,0
49,45,5.010660,Normal,19.4,19.400000,198.000000,159.592000,8958158645336373513,null,2,1,0
50,50,5.015360,Normal,17.71,17.710000,199.000000,163.750000,14704169968021520637,null,2,1,0
51,55,5.015300,Normal,17.71,17.710000,199.000000,163.750000,7040633702073103690,null,2,1,0
52,60,5.005420,Normal,15.27,15.270000,192.000000,162.679000,17877128485092744161,null,2,1,0
53,65,5.016420,Normal,17.59,17.590000,199.000000,164.000000,10664405421444153377,null,2,1,0
54,70,5.011230,Normal,19.75,19.750000,200.000000,160.500000,12124627551035032970,null,2,1,0
55,75,5.005880,Normal,15.27,15.270000,192.000000,162.679000,8906604740017169041,null,2,1,0
